return_period,duration,longitude,latitude,historical_low_mm/hour,historical_mm/hour,historical_upp_mm/hour,ssp245_low_mm/hour,ssp245_mm/hour,ssp245_upp_mm/hour,ssp585_low_mm/hour,ssp585_mm/hour,ssp585_upp_mm/hour
2,1,114.360,22.395,83.760,98.350,112.950,98.900,114.620,130.330,104.710,125.940,147.170
2,2,114.360,22.395,122.030,143.080,164.120,150.140,176.490,202.840,151.590,184.430,217.260
2,3,114.360,22.395,140.740,167.230,193.730,176.870,211.410,245.950,192.230,234.050,275.860
2,4,114.360,22.395,155.440,184.870,214.310,199.980,241.130,282.280,222.310,268.820,315.330
2,5,114.360,22.395,167.160,199.190,231.220,218.080,263.100,308.120,243.340,294.770,346.200
2,6,114.360,22.395,175.580,209.870,244.160,227.660,275.520,323.380,258.210,313.370,368.520
2,9,114.360,22.395,195.410,236.450,277.480,260.770,316.690,372.610,293.800,358.130,422.470
2,12,114.360,22.395,203.460,246.640,289.820,279.580,340.660,401.740,313.680,383.950,454.220
2,18,114.360,22.395,215.260,261.630,308.000,294.700,361.480,428.260,337.280,418.650,500.010
2,24,114.360,22.395,222.910,272.110,321.310,305.870,374.780,443.700,349.350,435.360,521.370
2,48,114.360,22.395,246.890,299.370,351.850,326.570,400.660,474.760,364.190,456.860,549.530
2,72,114.360,22.395,259.210,311.130,363.050,342.440,417.530,492.630,374.830,467.570,560.310
2,96,114.360,22.395,273.500,326.350,379.200,351.020,424.240,497.470,384.300,477.500,570.690
2,120,114.360,22.395,276.940,329.900,382.860,358.290,432.580,506.860,388.780,484.500,580.210
2,144,114.360,22.395,279.370,332.530,385.690,362.150,439.850,517.540,393.530,491.840,590.150
2,168,114.360,22.395,280.920,335.400,389.890,366.360,446.520,526.680,403.440,504.950,606.460
5,1,114.360,22.395,126.940,150.620,174.300,147.190,174.120,201.060,168.470,212.700,256.930
5,2,114.360,22.395,185.760,221.420,257.080,229.070,273.590,318.100,248.470,323.800,399.130
5,3,114.360,22.395,221.260,269.070,316.890,279.110,338.490,397.870,316.720,407.560,498.410
5,4,114.360,22.395,246.020,299.890,353.770,320.600,392.560,464.520,362.280,463.530,564.790
5,5,114.360,22.395,265.340,322.700,380.060,350.470,427.770,505.070,398.140,509.940,621.730
5,6,114.360,22.395,280.550,341.220,401.890,368.960,452.740,536.530,424.560,544.460,664.360
5,9,114.360,22.395,320.080,393.460,466.840,424.470,518.100,611.720,488.340,625.870,763.400
5,12,114.360,22.395,334.330,411.930,489.520,457.620,557.910,658.210,524.760,671.850,818.950
5,18,114.360,22.395,356.370,441.650,526.920,487.770,597.190,706.620,577.880,749.390,920.900
5,24,114.360,22.395,371.740,463.010,554.280,507.310,622.220,737.140,605.550,786.110,966.660
5,48,114.360,22.395,406.130,501.480,596.840,542.660,675.330,808.000,640.140,845.770,1051.400
5,72,114.360,22.395,418.030,510.470,602.920,561.410,696.410,831.410,653.400,858.460,1063.520
5,96,114.360,22.395,435.040,525.950,616.860,567.440,700.460,833.480,665.070,868.500,1071.940
5,120,114.360,22.395,437.930,532.410,626.900,578.080,712.120,846.160,675.700,883.570,1091.430
5,144,114.360,22.395,441.100,536.060,631.030,592.080,736.110,880.150,687.900,902.630,1117.360
5,168,114.360,22.395,448.440,550.670,652.900,603.450,759.420,915.390,705.480,934.280,1163.070
10,1,114.360,22.395,152.620,188.950,225.290,177.720,218.910,260.090,210.240,289.230,368.230
10,2,114.360,22.395,225.090,280.410,335.740,277.470,347.100,416.740,310.880,459.280,607.680
10,3,114.360,22.395,272.160,349.580,427.000,341.240,437.140,533.050,396.860,568.500,740.140
10,4,114.360,22.395,304.470,391.390,478.300,392.710,511.250,629.780,454.500,642.290,830.070
10,5,114.360,22.395,327.910,419.070,510.240,429.610,555.650,681.690,500.330,706.700,913.060
10,6,114.360,22.395,347.150,443.180,539.210,454.250,592.760,731.260,534.790,755.480,976.180
10,9,114.360,22.395,398.600,516.840,635.090,521.340,671.960,822.580,617.210,867.290,1117.360
10,12,114.360,22.395,416.520,542.510,668.500,562.100,722.040,881.980,662.720,928.480,1194.240
10,18,114.360,22.395,446.150,586.520,726.890,600.720,776.330,951.950,731.280,1047.490,1363.700
10,24,114.360,22.395,466.080,618.030,769.980,627.110,812.490,997.880,770.150,1103.810,1437.460
10,48,114.360,22.395,506.650,662.300,817.960,672.580,897.740,1122.900,823.650,1213.670,1603.690
10,72,114.360,22.395,518.280,665.820,813.360,694.780,920.310,1145.830,837.170,1223.780,1610.390
10,96,114.360,22.395,535.900,677.070,818.230,701.190,922.590,1143.990,850.680,1229.320,1607.950
10,120,114.360,22.395,539.170,690.660,842.150,713.650,935.630,1157.620,863.790,1251.310,1638.820
10,144,114.360,22.395,542.850,695.410,847.980,734.510,979.510,1224.500,879.550,1282.550,1685.550
10,168,114.360,22.395,556.650,725.140,893.630,753.230,1023.870,1294.510,908.700,1340.340,1771.980
25,1,114.360,22.395,177.100,242.080,307.060,211.220,282.470,353.710,252.070,414.970,577.870
25,2,114.360,22.395,265.580,364.180,462.780,325.660,452.030,578.400,359.330,702.980,1046.630
25,3,114.360,22.395,325.080,469.120,613.160,399.510,581.200,762.900,466.050,845.550,1225.060
25,4,114.360,22.395,368.290,528.010,687.740,456.680,686.070,915.460,542.760,947.070,1351.370
