return_period,duration,longitude,latitude,historical_low,historical,historical_upp,ssp245_low,ssp245,ssp245_upp,ssp585_low,ssp585,ssp585_upp
2,1,114.14,22.28,72.89,84.67,96.45,93.10,114.51,135.92,112.12,132.20,152.28
2,2,114.14,22.28,106.92,125.44,143.97,138.18,171.98,205.78,173.67,204.01,234.35
2,3,114.14,22.28,128.78,151.28,173.78,164.36,208.33,252.30,204.04,242.01,279.97
2,4,114.14,22.28,144.72,170.98,197.24,193.13,246.09,299.06,225.52,270.41,315.31
2,5,114.14,22.28,155.89,184.60,213.31,197.63,253.24,308.85,241.75,291.39,341.03
2,6,114.14,22.28,164.47,195.84,227.21,206.94,266.01,325.08,257.16,310.86,364.56
2,9,114.14,22.28,177.64,213.65,249.66,226.57,293.79,361.01,281.25,343.43,405.62
2,12,114.14,22.28,184.38,222.49,260.60,254.96,330.43,405.90,299.72,367.92,436.13
2,18,114.14,22.28,197.41,238.07,278.73,270.26,348.94,427.61,319.53,394.93,470.32
2,24,114.14,22.28,202.71,245.06,287.41,269.05,347.48,425.92,336.07,417.61,499.16
2,48,114.14,22.28,216.55,263.95,311.35,304.99,387.15,469.30,352.67,438.19,523.71
2,72,114.14,22.28,220.36,268.27,316.17,311.07,393.11,475.15,369.05,454.16,539.28
2,96,114.14,22.28,223.00,271.49,319.98,314.62,396.94,479.26,378.17,462.95,547.74
2,120,114.14,22.28,228.91,278.04,327.17,325.07,411.49,497.92,391.96,479.83,567.71
2,144,114.14,22.28,231.55,281.72,331.88,334.24,426.25,518.26,399.83,488.76,577.69
2,168,114.14,22.28,236.31,287.27,338.22,334.29,427.83,521.37,399.84,489.46,579.09
5,1,114.14,22.28,109.01,129.50,149.99,155.27,186.25,217.22,169.90,195.10,220.30
5,2,114.14,22.28,163.83,196.94,230.04,235.21,285.31,335.41,263.06,303.51,343.96
5,3,114.14,22.28,198.05,239.30,280.56,288.58,357.36,426.15,317.21,374.24,431.26
5,4,114.14,22.28,225.14,274.45,323.76,337.98,420.68,503.38,359.53,431.66,503.78
5,5,114.14,22.28,244.08,300.44,356.81,354.88,447.71,540.53,389.54,471.77,553.99
5,6,114.14,22.28,260.83,323.54,386.24,376.07,481.47,586.87,418.24,509.18,600.11
5,9,114.14,22.28,287.63,365.07,442.51,421.80,553.40,685.00,466.57,576.86,687.15
5,12,114.14,22.28,300.13,384.44,468.75,467.73,612.90,758.07,502.01,622.78,743.55
5,18,114.14,22.28,320.15,409.80,499.44,493.88,645.25,796.62,541.43,673.60,805.76
5,24,114.14,22.28,331.75,427.22,522.68,499.50,653.02,806.54,575.10,721.16,867.22
5,48,114.14,22.28,359.68,465.73,571.78,550.86,708.83,866.80,612.47,777.42,942.37
5,72,114.14,22.28,364.21,473.64,583.07,558.62,716.29,873.95,629.15,792.30,955.45
5,96,114.14,22.28,368.38,478.00,587.63,562.64,721.05,879.46,639.09,799.07,959.06
5,120,114.14,22.28,376.70,486.01,595.32,582.65,746.58,910.51,661.53,824.23,986.92
5,144,114.14,22.28,381.91,492.99,604.07,605.47,780.29,955.12,673.17,835.26,997.36
5,168,114.14,22.28,389.16,501.19,613.22,610.55,794.42,978.29,676.21,842.28,1008.34
10,1,114.14,22.28,131.80,163.66,195.52,190.59,235.00,279.41,200.73,232.93,265.12
10,2,114.14,22.28,200.25,252.72,305.19,289.81,365.18,440.55,312.65,365.49,418.33
10,3,114.14,22.28,242.61,309.44,376.28,357.61,469.28,580.94,382.91,465.08,547.26
10,4,114.14,22.28,277.09,358.63,440.17,417.38,550.60,683.82,439.42,548.96,658.51
10,5,114.14,22.28,302.14,398.03,493.93,443.44,601.62,759.80,478.46,606.38,734.29
10,6,114.14,22.28,324.41,432.47,540.54,473.99,658.99,844.00,516.18,659.35,802.53
10,9,114.14,22.28,361.77,501.57,641.37,539.72,780.54,1021.36,580.53,760.91,941.29
10,12,114.14,22.28,378.25,534.17,690.09,595.53,852.77,1110.00,626.06,823.80,1021.54
10,18,114.14,22.28,402.93,566.77,730.62,630.01,896.80,1163.59,675.50,892.29,1109.09
10,24,114.14,22.28,419.94,597.24,774.53,642.31,918.67,1195.02,720.75,963.09,1205.44
10,48,114.14,22.28,455.62,654.11,852.60,707.21,979.93,1252.66,779.90,1062.64,1345.37
10,72,114.14,22.28,460.02,669.33,878.63,717.14,987.92,1258.71,798.10,1073.65,1349.20
10,96,114.14,22.28,464.75,673.32,881.89,721.15,993.59,1266.03,809.18,1075.31,1341.44
10,120,114.14,22.28,474.82,680.12,885.41,745.29,1025.95,1306.61,835.44,1102.98,1370.52
10,144,114.14,22.28,480.95,690.06,899.17,774.21,1076.73,1379.24,848.98,1112.83,1376.68
10,168,114.14,22.28,489.79,699.58,909.37,785.01,1109.16,1433.30,855.62,1128.78,1401.93
25,1,114.14,22.28,156.44,212.71,268.97,222.18,298.08,373.97,227.49,276.77,326.04
25,2,114.14,22.28,239.94,334.57,429.19,334.76,471.96,609.17,359.50,439.63,519.75
25,3,114.14,22.28,290.88,414.34,537.80,406.39,627.79,849.19,446.42,583.77,721.13
25,4,114.14,22.28,332.56,486.98,641.41,471.82,733.12,994.43,517.01,710.39,903.78
25,5,114.14,22.28,364.68,551.67,738.66,503.57,830.39,1157.21,564.33,795.97,1027.61
25,6,114.14,22.28,392.36,605.97,819.58,543.29,932.80,1322.31,612.15,873.71,1135.27
25,9,114.14,22.28,440.02,730.40,1020.78,628.01,1150.89,1673.78,690.08,1033.52,1376.95
25,12,114.14,22.28,457.90,791.15,1124.40,695.84,1233.20,1770.55,743.97,1121.65,1499.33
25,18,114.14,22.28,488.94,833.36,1177.78,741.92,1295.66,1849.40,798.08,1214.83,1631.59
25,24,114.14,22.28,512.12,891.67,1271.21,761.66,1349.29,1936.91,854.57,1324.99,1795.42
25,48,114.14,22.28,549.90,980.39,1410.87,858.13,1406.90,1955.66,949.09,1510.84,2072.58
25,72,114.14,22.28,548.93,1014.83,1480.72,874.15,1414.67,1955.19,975.36,1511.56,2047.76
25,96,114.14,22.28,553.93,1015.77,1477.61,877.29,1421.95,1966.61,991.92,1500.39,2008.86
25,120,114.14,22.28,568.25,1016.23,1464.22,901.25,1461.56,2021.86,1020.45,1525.93,2031.40
25,144,114.14,22.28,572.84,1031.13,1489.42,927.85,1540.77,2153.69,1036.51,1529.98,2023.44
25,168,114.14,22.28,583.93,1041.08,1498.22,945.46,1613.43,2281.41,1048.51,1564.77,2081.03
50,1,114.14,22.28,170.44,253.88,337.32,235.52,345.95,456.39,239.21,306.66,374.11
50,2,114.14,22.28,262.41,404.71,547.01,348.94,555.64,762.34,382.97,491.77,600.58
50,3,114.14,22.28,317.42,505.92,694.41,409.48,759.12,1108.77,477.81,674.73,871.64
50,4,114.14,22.28,361.49,601.11,840.73,473.30,883.17,1293.04,553.88,840.48,1127.07
50,5,114.14,22.28,396.66,692.54,988.42,499.11,1028.92,1558.73,603.48,952.21,1300.94
50,6,114.14,22.28,425.84,766.82,1107.80,538.10,1178.98,1819.86,656.72,1052.64,1448.57
50,9,114.14,22.28,473.69,953.14,1432.60,620.68,1501.99,2383.30,735.71,1269.30,1802.89
50,12,114.14,22.28,486.04,1046.92,1607.80,700.19,1584.48,2468.76,791.38,1379.36,1967.33
50,18,114.14,22.28,522.77,1096.06,1669.35,755.34,1663.86,2572.38,841.94,1492.66,2143.37
50,24,114.14,22.28,547.23,1187.21,1827.20,775.71,1755.27,2734.82,901.52,1640.99,2380.45
50,48,114.14,22.28,576.62,1307.95,2039.28,913.66,1798.51,2683.36,1022.07,1921.07,2820.07
50,72,114.14,22.28,562.95,1368.03,2173.11,937.75,1805.16,2672.57,1061.59,1908.72,2755.84
50,96,114.14,22.28,568.56,1363.55,2158.53,939.31,1814.08,2688.84,1087.59,1881.73,2675.87
50,120,114.14,22.28,589.94,1353.60,2117.25,958.73,1857.31,2755.90,1116.78,1900.29,2683.80
50,144,114.14,22.28,590.22,1373.29,2156.36,972.81,1963.96,2955.10,1135.84,1895.84,2655.84
50,168,114.14,22.28,603.83,1381.91,2159.99,990.43,2083.60,3176.77,1151.00,1951.78,2752.57
100,1,114.14,22.28,179.64,299.28,418.92,240.25,394.42,548.58,245.18,334.29,423.40
100,2,114.14,22.28,276.68,483.44,690.21,346.03,642.66,939.29,397.76,541.24,684.73
100,3,114.14,22.28,332.67,610.33,888.00,379.94,902.35,1424.75,495.26,767.54,1039.81
100,4,114.14,22.28,375.10,733.32,1091.54,437.05,1045.69,1654.34,570.51,979.01,1387.51
100,5,114.14,22.28,409.17,860.06,1310.95,441.61,1254.14,2066.68,617.49,1121.80,1626.12
