return_period,duration,longitude,latitude,historical_low,historical,historical_upp,ssp245_low,ssp245,ssp245_upp,ssp585_low,ssp585,ssp585_upp
2,1,113.95,22.25,69.53,81.55,93.57,89.05,107.19,125.33,96.22,114.45,132.69
2,2,113.95,22.25,104.49,124.25,144.01,134.88,166.01,197.14,148.24,176.06,203.88
2,3,113.95,22.25,121.30,145.70,170.10,155.55,195.44,235.34,187.61,223.34,259.08
2,4,113.95,22.25,134.64,162.03,189.41,170.34,215.87,261.40,213.67,256.96,300.26
2,5,113.95,22.25,148.82,179.96,211.10,182.80,233.64,284.48,234.03,283.69,333.36
2,6,113.95,22.25,157.28,191.44,225.59,192.76,246.32,299.87,251.18,305.65,360.12
2,9,113.95,22.25,169.24,209.20,249.17,211.30,272.74,334.19,289.79,355.76,421.74
2,12,113.95,22.25,175.45,218.42,261.40,224.35,292.46,360.57,315.06,388.41,461.76
2,18,113.95,22.25,187.18,236.49,285.80,244.99,321.03,397.06,339.60,421.75,503.91
2,24,113.95,22.25,195.97,249.89,303.80,255.30,334.27,413.24,348.09,436.49,524.89
2,48,113.95,22.25,210.40,271.06,331.72,269.89,355.12,440.35,376.02,469.66,563.29
2,72,113.95,22.25,222.50,284.38,346.25,279.47,365.58,451.68,392.07,487.38,582.69
2,96,113.95,22.25,230.81,293.17,355.53,292.99,382.75,472.51,399.25,495.33,591.41
2,120,113.95,22.25,242.77,305.69,368.62,300.38,391.06,481.74,407.35,502.58,597.82
2,144,113.95,22.25,250.53,314.99,379.44,307.88,399.48,491.09,411.20,506.53,601.85
2,168,113.95,22.25,250.90,315.18,379.46,311.74,405.00,498.25,413.12,509.06,605.00
5,1,113.95,22.25,106.27,129.42,152.57,144.10,177.71,211.32,149.86,183.70,217.53
5,2,113.95,22.25,164.47,201.40,238.33,227.81,285.13,342.44,231.94,285.30,338.66
5,3,113.95,22.25,195.85,244.72,293.60,274.87,354.58,434.28,296.23,361.91,427.59
5,4,113.95,22.25,218.58,275.49,332.40,306.37,401.44,496.51,345.03,425.14,505.25
