return_period,duration,longitude,latitude,historical_low_mm/hour,historical_mm/hour,historical_upp_mm/hour,ssp245_low_mm/hour,ssp245_mm/hour,ssp245_upp_mm/hour,ssp585_low_mm/hour,ssp585_mm/hour,ssp585_upp_mm/hour
2,1,114.220,22.545,89.770,103.760,117.740,99.010,117.060,135.100,133.060,152.330,171.600
2,2,114.220,22.545,126.010,145.800,165.590,149.080,176.620,204.160,194.460,225.510,256.560
2,3,114.220,22.545,140.450,165.690,190.930,176.700,211.660,246.620,232.990,272.410,311.830
2,4,114.220,22.545,152.790,182.300,211.820,195.400,235.800,276.200,260.870,306.730,352.590
2,5,114.220,22.545,164.310,196.670,229.030,212.410,258.080,303.750,281.590,331.830,382.060
2,6,114.220,22.545,170.570,205.270,239.980,227.300,276.670,326.040,296.480,350.730,404.980
2,9,114.220,22.545,188.210,223.860,259.520,251.630,307.830,364.030,339.800,403.430,467.060
2,12,114.220,22.545,204.280,244.870,285.460,270.630,331.040,391.440,356.960,426.570,496.170
2,18,114.220,22.545,207.800,251.090,294.380,289.590,356.370,423.140,377.260,455.090,532.920
2,24,114.220,22.545,221.370,266.940,312.510,307.660,377.340,447.020,389.740,469.590,549.440
2,48,114.220,22.545,243.000,290.640,338.280,326.430,402.410,478.380,405.480,488.330,571.190
2,72,114.220,22.545,258.840,307.420,356.000,349.260,430.310,511.360,418.190,503.340,588.490
2,96,114.220,22.545,278.730,330.540,382.360,356.470,435.670,514.880,430.240,514.750,599.260
2,120,114.220,22.545,288.610,339.650,390.690,363.440,442.820,522.210,441.140,528.010,614.880
2,144,114.220,22.545,296.220,348.030,399.840,374.980,458.400,541.820,448.300,536.750,625.190
2,168,114.220,22.545,303.590,356.260,408.920,380.950,466.630,552.310,457.890,549.600,641.320
5,1,114.220,22.545,132.820,158.870,184.910,151.870,189.260,226.660,192.530,222.360,252.180
5,2,114.220,22.545,187.380,229.650,271.930,230.720,283.690,336.660,290.760,341.340,391.930
5,3,114.220,22.545,216.770,280.760,344.750,280.550,350.430,420.310,354.180,420.150,486.120
5,4,114.220,22.545,240.470,319.900,399.320,316.690,398.410,480.120,402.590,483.070,563.540
5,5,114.220,22.545,261.000,347.290,433.580,348.720,439.320,529.910,436.670,525.810,614.950
5,6,114.220,22.545,272.230,369.210,466.200,374.590,470.350,566.110,463.530,561.290,659.040
5,9,114.220,22.545,296.470,398.920,501.370,417.640,522.220,626.790,535.480,648.730,761.980
5,12,114.220,22.545,325.410,437.190,548.970,447.870,560.410,672.950,569.660,694.360,819.050
5,18,114.220,22.545,334.690,460.790,586.890,484.570,608.680,732.780,612.270,755.530,898.790
5,24,114.220,22.545,355.120,483.940,612.750,512.090,639.010,765.940,632.770,781.270,929.760
5,48,114.220,22.545,387.070,511.710,636.350,553.010,697.720,842.420,662.830,826.970,991.100
5,72,114.220,22.545,405.580,525.930,646.280,586.620,736.400,886.180,682.000,849.110,1016.220
5,96,114.220,22.545,434.570,552.640,670.700,591.550,739.520,887.490,693.730,859.950,1026.180
5,120,114.220,22.545,445.680,555.700,665.710,599.760,746.730,893.690,711.020,877.830,1044.650
5,144,114.220,22.545,455.730,564.950,674.170,622.410,775.630,928.840,723.210,892.860,1062.520
5,168,114.220,22.545,465.820,574.800,683.780,636.970,802.460,967.940,744.070,930.010,1115.940
10,1,114.220,22.545,160.790,203.170,245.550,184.380,255.540,326.700,228.630,270.630,312.620
10,2,114.220,22.545,229.400,304.320,379.240,281.800,374.820,467.840,350.520,424.400,498.270
10,3,114.220,22.545,269.970,398.580,527.190,347.060,472.450,597.830,429.440,528.930,628.430
10,4,114.220,22.545,300.910,467.670,634.420,395.430,541.600,687.760,492.670,617.640,742.610
10,5,114.220,22.545,328.060,507.990,687.920,435.780,596.070,756.370,535.450,675.210,814.980
10,6,114.220,22.545,341.180,551.150,761.120,468.230,635.530,802.820,569.940,725.380,880.820
10,9,114.220,22.545,375.100,595.490,815.890,520.500,699.730,878.960,659.190,838.800,1018.420
10,12,114.220,22.545,411.370,645.780,880.190,558.590,749.240,939.890,703.260,903.710,1104.160
10,18,114.220,22.545,420.940,701.590,982.250,605.410,816.250,1027.090,760.070,995.090,1230.110
10,24,114.220,22.545,448.050,724.980,1001.910,638.710,850.270,1061.830,787.440,1031.730,1276.010
10,48,114.220,22.545,488.200,742.980,997.760,695.670,944.880,1194.080,834.330,1112.170,1390.010
10,72,114.220,22.545,508.380,744.070,979.770,733.330,986.220,1239.110,856.920,1138.680,1420.440
10,96,114.220,22.545,540.310,761.060,981.810,738.420,988.830,1239.240,869.590,1148.230,1426.880
10,120,114.220,22.545,552.350,751.220,950.080,747.570,994.040,1240.520,889.030,1165.650,1442.270
10,144,114.220,22.545,563.140,757.410,951.690,775.900,1032.380,1288.860,904.600,1185.700,1466.810
10,168,114.220,22.545,574.720,766.100,957.480,800.500,1084.310,1368.130,938.420,1254.570,1570.720
25,1,114.220,22.545,191.520,269.960,348.410,207.880,368.540,529.200,268.090,333.880,399.670
25,2,114.220,22.545,276.620,428.090,579.550,327.730,519.650,711.580,417.000,537.180,657.360
25,3,114.220,22.545,320.540,621.130,921.730,408.070,672.320,936.560,510.930,680.270,849.600
25,4,114.220,22.545,349.940,759.710,1169.480,470.990,776.470,1081.950,592.310,811.090,1029.870
25,5,114.220,22.545,384.750,823.600,1262.440,517.600,848.960,1180.310,644.280,891.790,1139.300
25,6,114.220,22.545,387.200,922.080,1456.970,556.510,898.560,1240.600,685.880,965.860,1245.830
25,9,114.220,22.545,445.470,1000.800,1556.130,613.730,974.770,1335.800,792.010,1115.860,1439.720
25,12,114.220,22.545,488.150,1061.870,1635.590,662.630,1040.280,1417.940,842.690,1211.380,1580.060
25,18,114.220,22.545,470.460,1208.800,1947.140,716.360,1135.960,1555.560,911.260,1353.580,1795.900
25,24,114.220,22.545,518.290,1216.870,1915.460,757.970,1170.040,1582.110,949.290,1409.240,1869.200
25,48,114.220,22.545,582.440,1188.830,1795.210,830.720,1331.640,1832.560,1025.850,1561.060,2096.280
25,72,114.220,22.545,612.780,1146.450,1680.110,869.120,1368.200,1867.270,1050.760,1592.080,2133.390
25,96,114.220,22.545,647.920,1123.820,1599.710,878.380,1371.870,1865.360,1069.000,1598.440,2127.880
25,120,114.220,22.545,666.630,1080.170,1493.710,890.550,1371.170,1851.800,1087.720,1608.990,2130.260
25,144,114.220,22.545,678.730,1075.330,1471.920,921.700,1421.920,1922.140,1107.250,1636.550,2165.850
25,168,114.220,22.545,692.810,1078.140,1463.470,961.830,1526.520,2091.210,1162.820,1771.590,2380.350
50,1,114.220,22.545,208.770,328.730,448.690,202.090,480.300,758.520,292.130,382.500,472.860
50,2,114.220,22.545,301.500,547.260,793.020,339.590,653.650,967.720,458.000,626.910,795.820
50,3,114.220,22.545,324.780,863.590,1402.400,423.370,862.630,1301.890,558.430,803.500,1048.570
50,4,114.220,22.545,331.220,1091.660,1852.090,494.880,1000.410,1505.930,651.280,973.680,1296.070
50,5,114.220,22.545,369.940,1180.240,1990.540,542.500,1086.280,1630.050,707.860,1075.290,1442.710
50,6,114.220,22.545,338.500,1356.150,2373.790,585.080,1142.360,1699.640,751.620,1171.730,1591.840
50,9,114.220,22.545,427.700,1480.090,2532.480,641.530,1223.140,1804.750,865.590,1351.860,1838.120
50,12,114.220,22.545,474.880,1538.940,2603.010,699.170,1301.770,1904.370,914.910,1475.500,2036.090
50,18,114.220,22.545,382.730,1820.630,3258.530,751.970,1423.040,2094.100,984.240,1666.720,2349.190
50,24,114.220,22.545,470.480,1792.970,3115.450,802.260,1452.440,2102.610,1031.040,1741.270,2451.510
50,48,114.220,22.545,582.600,1683.930,2785.260,877.700,1684.220,2490.750,1132.270,1972.550,2812.830
50,72,114.220,22.545,638.710,1575.120,2511.530,915.180,1708.790,2502.410,1157.300,2005.630,2853.960
50,96,114.220,22.545,683.690,1489.700,2295.700,930.670,1715.010,2499.350,1184.430,2008.060,2831.690
50,120,114.220,22.545,717.890,1401.460,2085.040,947.670,1706.580,2465.480,1200.580,2007.090,2813.610
50,144,114.220,22.545,733.270,1380.460,2027.660,977.190,1766.700,2556.200,1222.650,2041.210,2859.760
50,168,114.220,22.545,750.980,1374.070,1997.150,1026.330,1930.640,2834.950,1294.920,2250.980,3207.040
