return_period,duration,longitude,latitude,historical_low_mm/hour,historical_mm/hour,historical_upp_mm/hour,ssp245_low_mm/hour,ssp245_mm/hour,ssp245_upp_mm/hour,ssp585_low_mm/hour,ssp585_mm/hour,ssp585_upp_mm/hour
2,1,114.220,22.405,80.300,92.970,105.640,96.900,112.510,128.110,118.620,138.780,158.950
2,2,114.220,22.405,114.800,134.560,154.310,146.760,172.780,198.800,168.700,204.700,240.690
2,3,114.220,22.405,137.870,164.010,190.160,179.900,213.130,246.350,204.670,248.040,291.410
2,4,114.220,22.405,154.500,185.360,216.230,207.550,247.130,286.700,243.980,294.260,344.550
2,5,114.220,22.405,167.930,202.870,237.810,223.240,265.920,308.590,268.130,324.630,381.130
2,6,114.220,22.405,178.240,215.740,253.230,232.880,278.550,324.210,284.840,346.110,407.380
2,9,114.220,22.405,195.560,237.520,279.480,258.560,313.120,367.670,324.870,395.900,466.940
2,12,114.220,22.405,204.200,247.350,290.500,273.850,335.780,397.710,341.410,419.660,497.910
2,18,114.220,22.405,214.790,259.740,304.690,287.160,354.440,421.710,379.880,468.930,557.980
2,24,114.220,22.405,223.560,270.930,318.290,306.470,376.140,445.810,389.330,483.240,577.150
2,48,114.220,22.405,249.230,299.740,350.260,321.660,396.500,471.350,391.440,490.440,589.440
2,72,114.220,22.405,264.080,315.830,367.580,331.490,405.130,478.760,395.630,494.520,593.420
2,96,114.220,22.405,273.300,326.950,380.600,346.170,419.240,492.300,413.100,511.400,609.690
2,120,114.220,22.405,285.720,339.650,393.580,357.940,431.520,505.100,421.560,520.520,619.470
2,144,114.220,22.405,289.570,342.650,395.720,370.130,447.010,523.900,430.510,533.900,637.280
2,168,114.220,22.405,296.230,350.850,405.460,373.880,451.750,529.620,431.590,537.510,643.420
5,1,114.220,22.405,118.500,141.030,163.560,144.620,168.060,191.500,177.570,208.590,239.620
5,2,114.220,22.405,174.690,212.730,250.780,223.860,263.460,303.060,268.930,330.260,391.590
5,3,114.220,22.405,217.130,268.000,318.860,278.720,327.140,375.550,326.980,405.450,483.910
5,4,114.220,22.405,248.670,310.180,371.700,324.450,380.180,435.910,387.560,471.190,554.830
5,5,114.220,22.405,274.900,345.120,415.350,348.990,408.180,467.370,429.990,522.200,614.400
5,6,114.220,22.405,293.120,368.950,444.780,366.520,429.540,492.550,459.930,558.350,656.770
5,9,114.220,22.405,324.330,411.580,498.830,415.070,489.730,564.380,527.680,635.340,743.010
5,12,114.220,22.405,336.290,428.130,519.960,449.250,535.250,621.250,565.100,686.930,808.760
5,18,114.220,22.405,352.530,448.860,545.190,477.190,573.130,669.070,631.270,760.360,889.450
5,24,114.220,22.405,368.210,470.130,572.040,506.670,608.690,710.720,654.530,799.160,943.790
5,48,114.220,22.405,404.220,511.670,619.130,541.100,666.980,792.860,679.260,869.420,1059.580
5,72,114.220,22.405,422.740,529.580,636.430,548.260,674.580,800.900,683.670,874.730,1065.780
5,96,114.220,22.405,435.620,545.250,654.890,563.400,686.670,809.950,700.310,891.890,1083.480
5,120,114.220,22.405,448.850,558.790,668.740,576.390,698.980,821.580,712.390,899.360,1086.340
5,144,114.220,22.405,448.890,561.110,673.320,596.610,724.760,852.910,731.000,927.920,1124.840
5,168,114.220,22.405,459.840,573.000,686.160,604.360,738.180,872.000,740.450,950.530,1160.600
10,1,114.220,22.405,142.340,178.790,215.230,173.570,205.610,237.660,211.480,258.400,305.320
10,2,114.220,22.405,213.350,278.230,343.120,269.820,326.010,382.200,323.330,433.890,544.440
10,3,114.220,22.405,268.390,356.100,443.810,336.750,403.310,469.880,395.400,539.770,684.140
10,4,114.220,22.405,310.460,417.570,524.670,391.910,466.720,541.530,469.620,609.950,750.280
10,5,114.220,22.405,345.500,468.360,591.220,420.790,499.670,578.550,522.340,673.510,824.670
10,6,114.220,22.405,369.090,501.400,633.710,442.180,526.870,611.550,559.550,718.820,878.100
10,9,114.220,22.405,410.550,565.410,720.280,501.850,604.760,707.670,641.850,807.620,973.380
10,12,114.220,22.405,424.760,591.020,757.270,544.840,668.930,793.010,692.040,884.790,1077.530
10,18,114.220,22.405,445.210,620.300,795.400,581.430,724.510,867.590,770.430,965.840,1161.250
10,24,114.220,22.405,465.190,650.980,836.780,619.230,770.050,920.870,803.150,1032.200,1261.260
10,48,114.220,22.405,508.490,701.810,895.120,671.890,874.100,1076.310,854.150,1194.880,1535.610
10,72,114.220,22.405,528.150,716.640,905.140,679.400,883.400,1087.400,858.550,1207.860,1557.170
10,96,114.220,22.405,541.690,736.140,930.590,695.580,890.170,1084.760,877.450,1221.270,1565.080
10,120,114.220,22.405,555.550,749.670,943.790,708.780,900.370,1091.950,893.100,1221.670,1550.250
10,144,114.220,22.405,553.810,757.610,961.400,732.510,934.080,1135.650,913.980,1262.740,1611.500
10,168,114.220,22.405,566.570,769.820,973.080,744.420,959.450,1174.490,930.450,1314.410,1698.370
25,1,114.220,22.405,166.390,234.530,302.670,205.260,253.960,302.650,241.600,325.740,409.880
25,2,114.220,22.405,252.820,380.840,508.870,316.520,408.020,499.510,350.430,593.960,837.500
25,3,114.220,22.405,320.160,495.560,670.960,395.140,500.340,605.540,432.550,753.770,1075.000
25,4,114.220,22.405,374.340,589.950,805.550,458.470,574.330,690.180,530.000,814.470,1098.930
25,5,114.220,22.405,419.050,667.460,915.870,490.670,612.280,733.900,593.090,891.740,1190.380
25,6,114.220,22.405,449.220,714.950,980.680,513.720,646.930,780.130,636.570,947.540,1258.520
25,9,114.220,22.405,502.010,818.610,1135.220,577.420,747.970,918.520,733.050,1042.300,1351.550
25,12,114.220,22.405,516.260,863.970,1211.680,620.140,839.680,1059.220,791.540,1161.420,1531.290
25,18,114.220,22.405,541.470,909.220,1276.970,661.140,923.630,1186.120,876.610,1240.660,1604.700
25,24,114.220,22.405,564.730,956.190,1347.640,713.720,982.750,1251.790,914.740,1356.970,1799.210
25,48,114.220,22.405,618.560,1019.120,1419.680,789.070,1172.760,1556.450,993.450,1716.460,2439.460
25,72,114.220,22.405,639.380,1021.710,1404.040,800.780,1187.820,1574.860,990.230,1751.770,2513.300
25,96,114.220,22.405,648.100,1047.220,1446.350,823.320,1181.920,1540.520,1024.470,1753.010,2481.550
25,120,114.220,22.405,663.500,1059.600,1455.700,836.820,1186.310,1535.790,1050.210,1733.740,2417.270
25,144,114.220,22.405,656.870,1086.340,1515.810,860.130,1231.550,1602.960,1063.990,1794.110,2524.240
25,168,114.220,22.405,670.770,1094.500,1518.230,876.600,1281.120,1685.650,1081.190,1911.550,2741.910
50,1,114.220,22.405,177.810,282.580,387.350,224.650,290.480,356.300,253.390,379.090,504.780
50,2,114.220,22.405,270.450,474.480,678.510,341.640,471.080,600.520,329.130,738.100,1147.080
50,3,114.220,22.405,342.110,624.080,906.050,426.510,572.900,719.290,407.050,952.230,1497.410
50,4,114.220,22.405,402.640,750.950,1099.270,493.460,652.920,812.380,533.970,990.520,1447.080
50,5,114.220,22.405,451.990,854.570,1257.160,526.770,693.730,860.690,603.820,1075.720,1547.630
50,6,114.220,22.405,486.560,915.270,1343.970,548.860,733.930,919.000,650.300,1138.190,1626.080
50,9,114.220,22.405,543.650,1060.800,1577.950,608.720,852.710,1096.690,757.250,1229.580,1701.920
50,12,114.220,22.405,553.080,1129.550,1706.030,642.810,967.700,1292.590,813.240,1387.770,1962.300
50,18,114.220,22.405,580.240,1191.840,1803.430,680.820,1077.230,1473.630,901.050,1456.100,2011.150
50,24,114.220,22.405,602.930,1255.140,1907.360,746.450,1147.170,1547.890,933.300,1621.890,2310.480
