return_period,duration,longitude,latitude,historical_low_mm/hour,historical_mm/hour,historical_upp_mm/hour,ssp245_low_mm/hour,ssp245_mm/hour,ssp245_upp_mm/hour,ssp585_low_mm/hour,ssp585_mm/hour,ssp585_upp_mm/hour
2,1,114.310,22.405,79.710,93.980,108.260,97.220,113.690,130.170,109.010,131.360,153.700
2,2,114.310,22.405,115.600,136.170,156.740,137.340,163.330,189.310,157.450,191.580,225.720
2,3,114.310,22.405,134.660,160.280,185.900,165.480,198.830,232.190,198.590,240.910,283.230
2,4,114.310,22.405,147.380,176.780,206.180,185.120,224.680,264.240,228.760,277.070,325.370
2,5,114.310,22.405,162.250,194.030,225.800,204.610,248.850,293.090,251.130,305.620,360.120
2,6,114.310,22.405,171.480,205.260,239.030,215.440,263.750,312.070,269.520,328.610,387.710
2,9,114.310,22.405,193.510,232.390,271.280,248.530,305.780,363.020,315.920,386.540,457.160
2,12,114.310,22.405,201.770,242.180,282.580,268.190,332.030,395.870,332.310,407.950,483.580
2,18,114.310,22.405,214.860,257.920,300.970,284.730,352.630,420.530,350.970,437.560,524.140
2,24,114.310,22.405,224.540,270.090,315.650,299.080,368.550,438.020,361.480,451.610,541.730
2,48,114.310,22.405,244.270,294.230,344.190,319.940,392.460,464.970,375.310,470.620,565.930
2,72,114.310,22.405,259.770,310.290,360.810,331.500,403.510,475.530,385.540,480.320,575.100
2,96,114.310,22.405,271.560,323.260,374.970,340.560,411.580,482.590,399.760,495.080,590.400
2,120,114.310,22.405,279.890,331.530,383.170,350.180,420.920,491.660,412.110,513.000,613.880
2,144,114.310,22.405,283.330,335.710,388.090,359.150,432.800,506.460,406.570,506.750,606.920
2,168,114.310,22.405,287.890,340.910,393.930,362.590,437.320,512.050,412.370,516.490,620.600
5,1,114.310,22.405,123.500,149.400,175.290,147.320,175.240,203.150,176.840,221.750,266.670
5,2,114.310,22.405,178.880,214.140,249.410,214.880,260.220,305.560,257.770,329.940,402.100
5,3,114.310,22.405,213.560,258.790,304.020,263.780,318.990,374.200,324.170,410.440,496.720
5,4,114.310,22.405,237.690,293.940,350.180,300.510,363.330,426.150,373.020,470.430,567.830
5,5,114.310,22.405,260.330,319.940,379.550,332.920,400.480,468.050,413.040,520.990,628.950
5,6,114.310,22.405,276.160,339.600,403.040,353.280,426.160,499.040,444.950,559.310,673.680
5,9,114.310,22.405,313.460,386.870,460.290,410.100,490.660,571.230,519.660,649.420,779.190
5,12,114.310,22.405,326.140,403.050,479.960,446.440,534.530,622.630,553.970,689.800,825.640
5,18,114.310,22.405,347.170,428.160,509.150,477.440,577.120,676.800,602.410,758.950,915.500
5,24,114.310,22.405,364.060,448.370,532.680,500.040,606.380,712.720,624.380,792.310,960.230
5,48,114.310,22.405,396.120,488.210,580.310,533.790,655.110,776.430,657.540,856.980,1056.430
5,72,114.310,22.405,413.770,503.700,593.630,544.930,667.540,790.160,667.910,864.800,1061.690
5,96,114.310,22.405,429.200,518.760,608.310,552.910,673.150,793.390,684.340,877.670,1070.990
5,120,114.310,22.405,436.810,527.960,619.110,561.810,682.220,802.620,704.300,908.910,1113.510
5,144,114.310,22.405,441.950,534.530,627.110,577.860,702.990,828.110,703.680,907.890,1112.100
5,168,114.310,22.405,448.780,543.860,638.940,585.480,718.030,850.590,720.450,950.420,1180.400
10,1,114.310,22.405,151.620,193.160,234.700,178.580,221.490,264.410,221.190,299.970,378.750
10,2,114.310,22.405,219.030,272.790,326.540,262.780,335.980,409.180,320.790,457.300,593.810
10,3,114.310,22.405,264.280,334.750,405.220,323.140,410.030,496.920,403.700,560.860,718.020
10,4,114.310,22.405,296.850,390.720,484.600,368.420,465.600,562.770,465.220,639.420,813.610
10,5,114.310,22.405,324.580,422.300,520.020,407.490,508.870,610.240,514.880,706.680,898.480
10,6,114.310,22.405,344.580,448.740,552.890,431.830,543.030,654.220,554.410,755.100,955.790
10,9,114.310,22.405,391.660,512.550,633.450,499.390,616.630,733.860,643.030,862.540,1082.060
