return_period,duration,longitude,latitude,historical_low,historical,historical_upp,ssp245_low,ssp245,ssp245_upp,ssp585_low,ssp585,ssp585_upp
2,1,114.23,22.27,77.22,92.44,107.65,93.59,114.30,135.01,124.89,148.49,172.10
2,2,114.23,22.27,111.21,133.06,154.90,141.15,174.42,207.68,179.05,215.39,251.73
2,3,114.23,22.27,131.24,157.62,183.99,175.43,216.99,258.56,213.55,259.68,305.81
2,4,114.23,22.27,147.75,178.19,208.62,201.38,250.42,299.45,241.31,294.81,348.32
2,5,114.23,22.27,159.69,192.94,226.20,217.63,272.81,328.00,261.63,320.95,380.27
2,6,114.23,22.27,168.35,204.10,239.84,225.97,284.47,342.98,280.17,344.40,408.63
2,9,114.23,22.27,184.04,225.36,266.68,248.65,316.32,383.99,312.69,385.88,459.08
2,12,114.23,22.27,192.16,235.88,279.60,260.23,331.72,403.21,335.30,413.86,492.42
2,18,114.23,22.27,202.02,247.97,293.93,280.31,355.68,431.05,358.52,444.04,529.57
2,24,114.23,22.27,207.06,255.00,302.95,290.27,368.89,447.52,371.71,462.37,553.04
2,48,114.23,22.27,221.78,273.64,325.50,311.45,393.26,475.07,390.60,487.36,584.12
2,72,114.23,22.27,231.31,283.85,336.39,317.60,399.96,482.33,401.18,500.69,600.20
2,96,114.23,22.27,234.89,288.07,341.25,327.15,408.97,490.79,410.10,510.58,611.06
2,120,114.23,22.27,238.34,292.15,345.96,339.30,425.27,511.24,422.89,524.93,626.98
2,144,114.23,22.27,242.69,297.73,352.76,352.92,444.51,536.09,435.77,541.38,646.99
2,168,114.23,22.27,246.48,302.29,358.09,356.29,449.97,543.65,441.76,550.17,658.58
5,1,114.23,22.27,122.82,145.99,169.16,155.30,187.57,219.84,195.90,232.92,269.95
5,2,114.23,22.27,177.27,213.52,249.78,238.53,287.77,337.01,288.22,351.81,415.40
5,3,114.23,22.27,211.61,256.97,302.33,297.55,359.74,421.93,351.19,435.09,518.99
5,4,114.23,22.27,240.50,293.77,347.05,345.03,418.85,492.67,401.67,504.14,606.61
5,5,114.23,22.27,261.13,321.13,381.12,378.94,464.32,549.70,439.82,554.45,669.08
5,6,114.23,22.27,277.54,343.38,409.22,397.61,490.32,583.04,474.37,597.32,720.28
5,9,114.23,22.27,310.65,392.38,474.11,447.31,560.15,672.99,534.54,671.16,807.78
5,12,114.23,22.27,325.58,414.97,504.36,471.17,596.85,722.54,573.17,715.16,857.15
5,18,114.23,22.27,341.60,437.31,533.02,503.96,637.23,770.51,615.69,766.45,917.22
5,24,114.23,22.27,352.50,454.02,555.54,524.82,666.30,807.79,644.14,807.22,970.30
5,48,114.23,22.27,377.65,490.35,603.05,559.10,707.24,855.39,683.23,863.96,1044.68
5,72,114.23,22.27,389.42,500.53,611.64,566.78,716.69,866.60,699.38,887.53,1075.68
5,96,114.23,22.27,395.07,506.61,618.15,575.93,723.18,870.42,711.07,900.50,1089.93
