return_period,duration,longitude,latitude,historical_low_mm/hour,historical_mm/hour,historical_upp_mm/hour,ssp245_low_mm/hour,ssp245_mm/hour,ssp245_upp_mm/hour,ssp585_low_mm/hour,ssp585_mm/hour,ssp585_upp_mm/hour
2,1,113.95,22.38,77.85,91.54,105.22,100.20,119.07,137.93,88.49,104.33,120.18
2,2,113.95,22.38,112.59,134.00,155.41,147.91,180.35,212.78,133.50,159.33,185.15
2,3,113.95,22.38,133.36,159.10,184.85,169.83,210.93,252.03,159.24,190.61,221.98
2,4,113.95,22.38,149.80,180.19,210.58,182.34,228.49,274.65,177.18,214.05,250.91
2,5,113.95,22.38,160.96,194.43,227.90,194.49,243.41,292.34,198.61,241.33,284.04
2,6,113.95,22.38,168.94,204.53,240.11,204.15,256.41,308.66,213.53,260.30,307.06
2,9,113.95,22.38,184.36,224.94,265.53,222.96,281.92,340.89,247.19,303.93,360.67
2,12,113.95,22.38,197.94,241.66,285.38,234.10,296.43,358.77,266.26,330.36,394.46
2,18,113.95,22.38,212.26,258.50,304.74,243.25,310.62,377.99,287.13,359.04,430.95
2,24,113.95,22.38,222.91,271.92,320.93,257.31,329.18,401.05,297.93,374.09,450.25
2,48,113.95,22.38,239.60,291.32,343.03,263.38,339.03,414.68,313.98,396.70,479.42
2,72,113.95,22.38,245.34,297.29,349.24,268.55,344.31,420.07,324.21,404.44,484.68
2,96,113.95,22.38,252.07,303.56,355.05,278.95,356.05,433.15,332.40,411.41,490.41
2,120,113.95,22.38,259.58,310.47,361.36,299.38,380.89,462.40,336.59,414.37,492.14
2,144,113.95,22.38,263.33,314.92,366.50,305.70,390.72,475.74,344.86,423.15,501.44
2,168,113.95,22.38,265.73,317.97,370.21,299.90,382.99,466.08,349.62,430.79,511.97
5,1,113.95,22.38,116.62,134.86,153.11,155.27,183.76,212.24,137.32,167.97,198.62
5,2,113.95,22.38,174.79,209.65,244.51,242.14,293.47,344.80,213.42,267.32,321.21
5,3,113.95,22.38,210.35,256.82,303.30,288.48,360.59,432.69,257.24,324.10,390.95
