return_period,duration,longitude,latitude,historical_low_mm/hour,historical_mm/hour,historical_upp_mm/hour,ssp245_low_mm/hour,ssp245_mm/hour,ssp245_upp_mm/hour,ssp585_low_mm/hour,ssp585_mm/hour,ssp585_upp_mm/hour
2,1,114.200,22.375,80.250,92.810,105.370,95.790,112.290,128.790,112.920,134.850,156.770
2,2,114.200,22.375,121.710,141.070,160.440,147.970,177.240,206.520,175.150,212.950,250.740
2,3,114.200,22.375,144.330,168.630,192.930,187.780,227.450,267.120,221.130,268.590,316.050
2,4,114.200,22.375,160.250,189.400,218.560,214.960,263.100,311.250,254.330,307.480,360.630
2,5,114.200,22.375,175.130,208.050,240.980,231.930,283.860,335.780,275.350,334.020,392.680
2,6,114.200,22.375,187.790,223.610,259.440,243.550,298.790,354.020,291.580,353.720,415.870
2,9,114.200,22.375,206.730,247.400,288.070,267.840,331.300,394.770,332.650,404.610,476.580
2,12,114.200,22.375,217.650,259.950,302.250,283.760,354.940,426.120,353.840,433.270,512.700
2,18,114.200,22.375,229.400,274.500,319.610,300.930,377.730,454.540,392.390,483.080,573.780
2,24,114.200,22.375,239.320,287.110,334.900,313.920,394.490,475.070,401.400,496.980,592.570
2,48,114.200,22.375,266.220,319.280,372.340,338.910,422.780,506.650,415.660,518.660,621.670
2,72,114.200,22.375,279.510,332.850,386.190,345.230,427.750,510.270,422.530,525.400,628.270
2,96,114.200,22.375,290.640,343.820,397.000,358.250,439.510,520.770,428.080,529.550,631.020
2,120,114.200,22.375,298.680,351.730,404.770,370.120,452.300,534.490,434.290,537.800,641.300
2,144,114.200,22.375,303.340,356.850,410.360,382.300,468.830,555.360,442.780,548.970,655.160
2,168,114.200,22.375,308.000,362.490,416.980,386.260,474.640,563.030,447.730,554.960,662.190
5,1,114.200,22.375,118.320,139.400,160.480,145.500,171.260,197.030,177.420,210.590,243.760
5,2,114.200,22.375,181.110,214.090,247.080,232.770,274.430,316.090,282.190,336.010,389.830
5,3,114.200,22.375,219.030,261.870,304.710,301.280,354.060,406.830,356.800,428.180,499.570
5,4,114.200,22.375,249.570,302.880,356.190,349.690,412.400,475.120,408.700,489.940,571.180
5,5,114.200,22.375,276.090,337.230,398.370,377.860,445.010,512.170,446.410,538.110,629.810
5,6,114.200,22.375,297.830,365.600,433.380,399.280,473.090,546.900,473.460,571.650,669.850
5,9,114.200,22.375,332.190,413.290,494.400,449.780,542.740,635.690,543.080,656.120,769.170
5,12,114.200,22.375,348.250,433.470,518.680,488.110,599.130,710.140,585.270,712.260,839.240
5,18,114.200,22.375,368.430,459.350,550.260,520.340,642.830,765.310,655.040,798.360,941.680
5,24,114.200,22.375,386.170,481.840,577.500,547.560,681.160,814.750,679.380,834.740,990.090
