return_period,duration,longitude,latitude,historical_low,historical,historical_upp,ssp245_low,ssp245,ssp245_upp,ssp585_low,ssp585,ssp585_upp
2,1,114.02,22.41,77.79,90.41,103.03,96.71,116.68,136.65,104.54,123.65,142.77
2,2,114.02,22.41,109.29,128.68,148.07,148.27,182.20,216.12,150.99,180.72,210.45
2,3,114.02,22.41,131.97,156.38,180.79,172.27,214.27,256.27,178.85,215.62,252.39
2,4,114.02,22.41,146.83,175.45,204.08,188.40,234.74,281.09,203.84,246.67,289.50
2,5,114.02,22.41,157.86,190.27,222.68,199.34,248.42,297.50,222.50,271.23,319.95
2,6,114.02,22.41,165.68,200.84,236.00,207.19,259.77,312.35,237.94,290.91,343.88
2,9,114.02,22.41,178.49,218.34,258.18,228.63,289.27,349.90,272.17,335.72,399.28
2,12,114.02,22.41,189.82,231.73,273.64,238.35,299.84,361.32,291.74,362.11,432.48
2,18,114.02,22.41,202.14,246.52,290.91,257.17,325.65,394.13,313.04,392.90,472.75
2,24,114.02,22.41,209.87,255.76,301.64,270.08,342.36,414.64,321.64,405.95,490.27
2,48,114.02,22.41,230.17,281.44,332.70,287.58,367.13,446.68,337.72,426.06,514.40
2,72,114.02,22.41,239.94,290.32,340.70,301.51,378.41,455.31,350.60,438.81,527.01
2,96,114.02,22.41,243.24,293.25,343.25,308.66,385.73,462.80,361.56,446.77,531.98
2,120,114.02,22.41,249.52,298.59,347.66,318.44,399.02,479.59,367.18,452.62,538.06
2,144,114.02,22.41,254.24,304.55,354.86,325.26,408.37,491.47,374.88,463.16,551.44
2,168,114.02,22.41,256.18,306.89,357.60,331.59,417.11,502.62,376.85,466.95,557.05
5,1,114.02,22.41,115.24,133.60,151.95,155.14,187.72,220.29,161.74,194.51,227.29
5,2,114.02,22.41,167.23,199.27,231.31,246.73,302.04,357.34,240.51,296.90,353.28
5,3,114.02,22.41,204.55,245.77,286.98,294.39,367.90,441.40,289.79,361.71,433.63
5,4,114.02,22.41,231.58,280.88,330.17,324.90,408.93,492.95,333.35,415.90,498.46
5,5,114.02,22.41,252.85,309.33,365.81,344.37,435.42,526.47,368.79,462.02,555.24
5,6,114.02,22.41,268.24,331.91,395.59,362.72,463.14,563.56,395.90,494.15,592.40
5,9,114.02,22.41,296.12,372.68,449.24,405.13,527.05,648.96,457.32,573.12,688.92
5,12,114.02,22.41,313.48,393.36,473.24,422.39,549.13,675.87,496.27,618.68,741.09
5,18,114.02,22.41,332.79,415.48,498.17,461.81,613.65,765.48,544.35,680.99,817.63
5,24,114.02,22.41,345.36,430.27,515.18,486.65,642.29,797.94,565.20,711.57,857.94
5,48,114.02,22.41,380.92,477.22,573.52,524.86,702.28,879.70,597.89,772.83,947.78
5,72,114.02,22.41,390.51,482.10,573.70,531.22,708.22,885.21,611.89,787.23,962.58
5,96,114.02,22.41,393.06,484.59,576.13,540.02,714.27,888.52,618.80,787.49,956.19
5,120,114.02,22.41,398.27,490.10,581.93,559.50,737.90,916.31,625.70,793.39,961.07
5,144,114.02,22.41,406.60,500.97,595.35,574.31,755.32,936.33,638.35,810.44,982.52
5,168,114.02,22.41,408.98,506.66,604.34,586.29,781.42,976.55,647.13,828.22,1009.31
10,1,114.02,22.41,136.72,162.51,188.30,189.44,241.11,292.78,197.01,248.98,300.95
10,2,114.02,22.41,202.19,251.84,301.49,303.72,392.62,481.53,297.68,393.24,488.80
10,3,114.02,22.41,248.43,313.84,379.25,366.35,489.10,611.86,361.36,485.72,610.08
10,4,114.02,22.41,282.99,362.86,442.73,407.86,550.68,693.51,416.61,557.83,699.05
10,5,114.02,22.41,310.55,403.84,497.13,433.86,589.89,745.93,461.87,621.31,780.75
10,6,114.02,22.41,331.29,438.82,546.35,459.16,635.11,811.06,495.03,660.58,826.13
10,9,114.02,22.41,369.31,504.34,639.36,515.96,734.07,952.19,570.13,765.49,960.85
10,12,114.02,22.41,390.08,531.11,672.13,540.47,770.75,1001.03,618.98,823.20,1027.43
10,18,114.02,22.41,413.33,556.32,699.31,595.79,882.69,1169.59,680.79,909.30,1137.80
10,24,114.02,22.41,429.06,574.59,720.12,627.73,918.39,1209.04,710.43,957.48,1204.53
10,48,114.02,22.41,474.65,639.45,804.26,680.15,1016.98,1353.81,760.96,1073.65,1386.33
10,72,114.02,22.41,484.58,636.46,788.34,683.36,1024.08,1364.80,778.72,1087.84,1396.97
10,96,114.02,22.41,486.81,638.76,790.71,693.65,1024.54,1355.44,786.01,1079.01,1372.00
10,120,114.02,22.41,493.19,646.96,800.72,717.78,1054.11,1390.44,793.03,1082.38,1371.74
10,144,114.02,22.41,503.81,662.16,820.51,736.56,1076.74,1416.92,807.03,1105.05,1403.07
10,168,114.02,22.41,506.79,674.52,842.24,754.02,1129.29,1504.56,822.41,1141.83,1461.25
25,1,114.02,22.41,157.33,199.41,241.49,219.53,316.79,414.06,231.95,327.77,423.60
25,2,114.02,22.41,236.28,325.72,415.17,351.13,521.72,692.32,354.88,542.73,730.58
25,3,114.02,22.41,290.21,411.52,532.83,426.66,668.72,910.77,432.95,682.33,931.70
25,4,114.02,22.41,330.86,482.75,634.63,480.98,766.86,1052.74,500.55,780.35,1060.15
25,5,114.02,22.41,362.50,544.69,726.87,514.88,828.72,1142.55,553.44,870.02,1186.61
25,6,114.02,22.41,388.04,602.18,816.31,544.83,906.79,1268.76,590.72,915.82,1240.91
25,9,114.02,22.41,433.47,714.01,994.56,614.44,1070.10,1525.75,671.12,1057.68,1444.23
25,12,114.02,22.41,456.07,750.27,1044.48,649.30,1137.49,1625.68,724.50,1129.20,1533.91
25,18,114.02,22.41,484.30,775.90,1067.50,717.54,1348.97,1980.41,792.10,1249.03,1705.96
25,24,114.02,22.41,504.35,797.94,1091.54,756.45,1390.36,2024.26,829.72,1328.56,1827.40
25,48,114.02,22.41,561.14,891.00,1220.85,819.80,1565.00,2310.21,904.36,1560.23,2216.11
25,72,114.02,22.41,576.42,869.45,1162.47,821.16,1584.40,2347.64,936.34,1571.67,2207.00
25,96,114.02,22.41,578.93,871.70,1164.46,837.68,1567.80,2297.91,955.06,1544.55,2134.05
25,120,114.02,22.41,589.75,887.56,1185.37,863.41,1601.54,2339.67,962.48,1540.19,2117.90
25,144,114.02,22.41,602.42,909.86,1217.30,883.34,1629.45,2375.56,971.62,1571.88,2172.15
25,168,114.02,22.41,603.79,938.13,1272.47,903.20,1744.65,2586.11,994.74,1649.44,2304.14
50,1,114.02,22.41,167.55,227.05,286.54,229.83,379.56,529.28,248.28,394.41,540.54
