return_period,duration,longitude,latitude,historical_low,historical,historical_upp,ssp245_low,ssp245,ssp245_upp,ssp585_low,ssp585,ssp585_upp
2,1,114.14,22.27,73.28,85.77,98.25,93.75,113.99,134.22,117.87,138.74,159.61
2,2,114.14,22.27,109.63,128.13,146.63,139.21,171.65,204.10,178.73,210.33,241.94
2,3,114.14,22.27,130.03,152.91,175.79,165.57,207.71,249.84,206.93,246.32,285.71
2,4,114.14,22.27,144.70,170.98,197.27,185.14,233.73,282.32,230.48,276.96,323.44
2,5,114.14,22.27,155.52,185.17,214.82,198.02,251.80,305.58,246.71,298.20,349.70
2,6,114.14,22.27,165.28,197.80,230.32,206.23,262.80,319.37,263.57,319.05,374.53
2,9,114.14,22.27,178.33,214.41,250.50,225.15,290.17,355.19,287.37,351.71,416.04
2,12,114.14,22.27,187.22,225.72,264.21,243.19,313.68,384.18,304.73,374.71,444.70
2,18,114.14,22.27,199.06,239.84,280.62,257.85,331.33,404.80,326.15,403.96,481.76
2,24,114.14,22.27,203.65,246.49,289.33,266.05,342.68,419.31,340.21,423.89,507.56
2,48,114.14,22.27,216.54,263.96,311.39,302.06,382.99,463.91,356.85,444.96,533.07
2,72,114.14,22.27,219.18,267.45,315.72,308.32,389.03,469.74,371.56,458.38,545.19
2,96,114.14,22.27,220.89,269.56,318.22,312.28,393.35,474.42,380.85,467.50,554.16
2,120,114.14,22.27,225.59,274.81,324.03,322.79,407.79,492.80,395.61,485.31,575.02
2,144,114.14,22.27,228.12,278.12,328.11,332.89,423.62,514.35,406.29,497.56,588.82
2,168,114.14,22.27,233.75,283.98,334.21,331.68,423.59,515.51,406.50,498.45,590.39
5,1,114.14,22.27,111.83,134.28,156.73,153.42,183.08,212.75,177.44,201.85,226.26
5,2,114.14,22.27,167.03,200.52,234.01,233.28,282.04,330.80,270.52,310.98,351.45
5,3,114.14,22.27,200.46,243.00,285.54,285.45,350.92,416.40,323.72,382.43,441.15
5,4,114.14,22.27,225.84,275.16,324.47,324.19,403.04,481.89,368.45,442.07,515.69
5,5,114.14,22.27,246.54,305.12,363.69,351.82,442.91,534.01,399.43,484.07,568.71
5,6,114.14,22.27,264.68,329.74,394.79,370.23,472.93,575.64,429.26,522.11,614.96
5,9,114.14,22.27,289.11,367.15,445.19,415.57,542.86,670.15,478.47,592.73,706.99
5,12,114.14,22.27,303.93,389.68,475.44,449.32,588.38,727.43,511.96,636.41,760.87
5,18,114.14,22.27,322.04,414.16,506.28,475.03,619.51,763.99,553.66,689.17,824.68
5,24,114.14,22.27,333.25,434.11,534.98,492.40,643.86,795.33,585.00,734.95,884.91
5,48,114.14,22.27,359.60,469.00,578.40,545.18,703.97,862.76,622.98,793.36,963.74
5,72,114.14,22.27,363.35,477.24,591.14,552.83,709.95,867.07,636.86,803.30,969.73
5,96,114.14,22.27,366.26,480.63,594.99,557.29,715.41,873.53,646.86,811.80,976.75
5,120,114.14,22.27,373.03,487.47,601.90,577.16,741.01,904.86,669.89,835.91,1001.92
5,144,114.14,22.27,377.48,492.96,608.45,600.82,775.89,950.97,684.78,851.02,1017.25
5,168,114.14,22.27,384.42,499.94,615.46,604.42,787.94,971.45,688.06,858.29,1028.53
10,1,114.14,22.27,136.71,172.14,207.58,188.03,229.99,271.95,208.40,237.37,266.33
10,2,114.14,22.27,204.31,257.17,310.03,287.08,359.51,431.94,320.21,372.11,424.01
10,3,114.14,22.27,246.13,315.45,384.77,353.18,456.94,560.70,391.14,475.91,560.68
10,4,114.14,22.27,279.02,360.78,442.55,403.56,532.87,662.18,449.77,561.03,672.28
10,5,114.14,22.27,306.31,406.94,507.57,439.86,594.18,748.50,490.65,622.11,753.58
10,6,114.14,22.27,330.07,442.79,555.51,467.84,647.13,826.42,529.31,674.65,819.99
10,9,114.14,22.27,364.11,506.18,648.26,532.78,764.39,996.01,595.63,782.94,970.25
10,12,114.14,22.27,382.61,542.34,702.08,576.31,827.85,1079.38,638.87,843.43,1047.99
10,18,114.14,22.27,405.46,576.76,748.05,610.75,870.66,1130.58,690.59,912.11,1133.62
10,24,114.14,22.27,421.50,613.78,806.06,635.09,907.98,1180.87,733.83,983.12,1232.41
10,48,114.14,22.27,456.09,665.08,874.07,700.66,977.45,1254.23,793.51,1086.66,1379.81
10,72,114.14,22.27,458.80,683.78,908.76,710.80,982.32,1253.84,809.05,1091.63,1374.20
10,96,114.14,22.27,462.43,687.81,913.20,715.29,989.03,1262.76,819.94,1096.70,1373.47
10,120,114.14,22.27,470.92,694.00,917.08,739.38,1021.85,1304.31,846.81,1120.81,1394.82
10,144,114.14,22.27,476.13,701.28,926.43,769.35,1073.75,1378.16,863.47,1134.34,1405.20
10,168,114.14,22.27,484.82,707.90,930.99,778.38,1103.98,1429.57,870.61,1150.65,1430.69
25,1,114.14,22.27,164.42,227.71,291.01,221.15,290.62,360.09,235.20,276.17,317.14
25,2,114.14,22.27,246.47,340.50,434.53,334.29,462.70,591.10,364.95,443.57,522.19
25,3,114.14,22.27,296.05,424.70,553.34,405.32,605.15,804.99,454.99,597.97,740.95
25,4,114.14,22.27,336.79,492.56,648.34,463.78,720.35,976.93,527.12,723.29,919.46
25,5,114.14,22.27,369.59,568.39,767.19,504.09,819.03,1133.97,577.42,815.69,1053.97
25,6,114.14,22.27,398.80,623.59,848.38,544.05,917.32,1290.60,626.43,890.78,1155.14
25,9,114.14,22.27,442.94,741.38,1039.82,626.35,1126.29,1626.22,707.24,1064.90,1422.57
25,12,114.14,22.27,461.68,806.09,1150.51,680.14,1217.00,1753.86,758.74,1150.98,1543.23
25,18,114.14,22.27,491.02,858.15,1225.28,727.03,1278.69,1830.35,814.90,1239.69,1664.47
25,24,114.14,22.27,509.92,932.43,1354.95,759.33,1339.54,1919.75,869.49,1354.69,1839.88
25,48,114.14,22.27,549.01,1012.45,1475.89,851.59,1412.49,1973.39,962.89,1548.13,2133.38
25,72,114.14,22.27,539.54,1059.79,1580.04,869.26,1414.07,1958.88,987.79,1542.31,2096.83
25,96,114.14,22.27,544.02,1063.95,1583.88,872.77,1423.16,1973.55,1003.57,1537.86,2072.15
25,120,114.14,22.27,557.22,1065.21,1573.21,897.32,1464.14,2030.96,1033.46,1554.69,2075.92
25,144,114.14,22.27,561.57,1075.13,1588.69,925.92,1544.27,2162.63,1052.34,1560.39,2068.44
25,168,114.14,22.27,575.92,1078.72,1581.52,941.04,1615.18,2289.31,1065.67,1595.77,2125.87
50,1,114.14,22.27,180.76,275.35,369.93,237.27,336.60,435.93,247.20,301.14,355.08
50,2,114.14,22.27,272.00,412.10,552.19,352.52,543.26,734.00,385.80,492.72,599.64
50,3,114.14,22.27,323.80,520.83,717.87,415.49,726.42,1037.36,485.32,691.47,897.62
50,4,114.14,22.27,367.82,610.79,853.76,472.04,878.59,1285.14,562.56,852.94,1143.32
50,5,114.14,22.27,400.23,717.42,1034.62,506.52,1014.17,1521.82,615.81,974.55,1333.28
50,6,114.14,22.27,430.97,791.87,1152.78,549.96,1161.57,1773.18,670.94,1069.93,1468.92
50,9,114.14,22.27,475.75,972.30,1468.85,629.14,1469.99,2310.83,752.39,1308.97,1865.55
50,12,114.14,22.27,487.21,1070.26,1653.31,688.06,1584.75,2481.43,805.73,1417.76,2029.78
