return_period,duration,longitude,latitude,historical_low,historical,historical_upp,ssp245_low,ssp245,ssp245_upp,ssp585_low,ssp585,ssp585_upp
2,1,114.04,22.33,74.05,87.91,101.76,88.03,106.65,125.28,93.29,112.50,131.72
2,2,114.04,22.33,105.94,128.53,151.12,127.06,157.98,188.89,137.01,167.42,197.82
2,3,114.04,22.33,123.54,151.23,178.91,149.44,189.93,230.43,163.50,201.73,239.95
2,4,114.04,22.33,134.98,166.44,197.89,162.68,209.03,255.39,183.19,227.51,271.83
2,5,114.04,22.33,141.60,176.06,210.52,177.15,229.58,282.01,196.88,246.78,296.67
2,6,114.04,22.33,150.59,187.65,224.70,179.30,232.97,286.65,212.71,265.98,319.26
2,9,114.04,22.33,166.64,208.54,250.44,204.73,265.92,327.10,240.47,300.69,360.91
2,12,114.04,22.33,180.47,225.06,269.65,206.82,270.07,333.32,257.44,323.94,390.43
2,18,114.04,22.33,190.76,239.02,287.29,217.69,284.48,351.26,284.60,357.79,430.97
2,24,114.04,22.33,196.74,246.53,296.32,226.62,296.90,367.18,299.05,376.53,454.01
2,48,114.04,22.33,219.57,274.56,329.56,235.88,308.55,381.21,315.99,399.78,483.57
2,72,114.04,22.33,227.53,283.30,339.08,243.98,317.00,390.02,323.23,405.68,488.14
2,96,114.04,22.33,234.11,290.47,346.82,259.20,339.00,418.80,332.02,412.83,493.65
2,120,114.04,22.33,238.74,294.48,350.21,254.05,330.38,406.71,339.89,421.53,503.17
2,144,114.04,22.33,242.20,298.59,354.98,260.22,339.53,418.85,345.85,427.88,509.92
2,168,114.04,22.33,244.13,301.03,357.93,275.73,363.51,451.28,348.35,431.96,515.57
5,1,114.04,22.33,115.94,139.67,163.40,143.90,173.48,203.06,150.98,183.76,216.53
5,2,114.04,22.33,172.90,212.47,252.04,218.45,270.77,323.08,228.66,285.67,342.67
5,3,114.04,22.33,205.73,257.67,309.62,268.39,345.12,421.86,278.38,351.68,424.97
5,4,114.04,22.33,228.37,289.33,350.28,299.89,392.86,485.83,315.70,403.08,490.45
5,5,114.04,22.33,244.35,315.26,386.18,328.61,436.78,544.94,344.12,448.05,551.97
5,6,114.04,22.33,261.43,337.64,413.86,338.27,453.04,567.81,368.53,474.84,581.15
5,9,114.04,22.33,292.13,380.64,469.16,382.11,511.79,641.47,419.45,534.81,650.17
5,12,114.04,22.33,313.39,404.40,495.40,393.68,539.46,685.24,454.56,583.63,712.69
5,18,114.04,22.33,333.68,432.14,530.61,415.91,575.65,735.39,501.30,637.42,773.54
5,24,114.04,22.33,346.28,448.39,550.51,433.87,602.35,770.83,528.49,671.89,815.30
5,48,114.04,22.33,383.20,488.04,592.88,451.88,634.14,816.40,565.38,732.89,900.40
5,72,114.04,22.33,393.77,498.17,602.58,461.04,644.35,827.66,571.95,739.27,906.59
