return_period,duration,longitude,latitude,historical_low_mm/hour,historical_mm/hour,historical_upp_mm/hour,ssp245_low_mm/hour,ssp245_mm/hour,ssp245_upp_mm/hour,ssp585_low_mm/hour,ssp585_mm/hour,ssp585_upp_mm/hour
2,1,113.92,22.39,73.14,86.26,99.38,99.77,119.96,140.15,88.74,105.92,123.10
2,2,113.92,22.39,104.42,124.33,144.24,152.46,185.09,217.71,135.21,160.39,185.57
2,3,113.92,22.39,129.43,154.85,180.27,174.21,214.61,255.00,160.11,191.94,223.77
2,4,113.92,22.39,145.97,175.10,204.22,189.85,234.95,280.04,178.45,216.00,253.55
2,5,113.92,22.39,157.25,189.38,221.52,202.00,249.96,297.92,192.10,234.09,276.08
2,6,113.92,22.39,165.30,199.52,233.74,210.12,260.55,310.99,204.86,250.81,296.77
2,9,113.92,22.39,186.67,225.87,265.06,231.48,288.62,345.75,233.12,286.18,339.24
2,12,113.92,22.39,197.49,238.71,279.93,240.60,302.18,363.75,254.20,314.34,374.49
2,18,113.92,22.39,210.93,254.18,297.44,255.41,323.86,392.32,271.26,338.69,406.12
2,24,113.92,22.39,220.62,265.60,310.57,265.11,336.31,407.50,279.02,350.43,421.85
2,48,113.92,22.39,239.18,287.53,335.88,275.54,352.15,428.75,287.43,362.80,438.17
2,72,113.92,22.39,245.24,293.31,341.38,286.64,364.19,441.73,295.90,370.29,444.67
2,96,113.92,22.39,250.09,297.45,344.82,295.98,373.78,451.58,305.72,379.65,453.57
2,120,113.92,22.39,257.96,305.94,353.91,312.56,391.63,470.71,314.95,388.34,461.74
2,144,113.92,22.39,261.14,309.96,358.79,322.93,405.75,488.57,323.39,398.50,473.61
2,168,113.92,22.39,263.39,313.28,363.17,328.05,411.83,495.60,328.62,406.23,483.85
5,1,113.92,22.39,111.54,131.70,151.87,158.89,189.24,219.59,140.82,173.15,205.47
5,2,113.92,22.39,163.33,199.58,235.83,248.29,299.45,350.62,212.89,263.48,314.07
5,3,113.92,22.39,205.29,250.97,296.64,292.90,362.54,432.19,258.28,325.90,393.52
5,4,113.92,22.39,232.61,284.54,336.46,323.19,406.30,489.41,293.55,374.19,454.84
5,5,113.92,22.39,252.73,310.09,367.45,344.36,435.26,526.16,320.13,410.03,499.93
5,6,113.92,22.39,266.79,328.68,390.57,359.52,455.44,551.36,343.37,438.50,533.63
5,9,113.92,22.39,301.51,368.58,435.66,399.25,504.87,610.49,391.85,497.23,602.61
