return_period,duration,longitude,latitude,historical_low_mm/hour,historical_mm/hour,historical_upp_mm/hour,ssp245_low_mm/hour,ssp245_mm/hour,ssp245_upp_mm/hour,ssp585_low_mm/hour,ssp585_mm/hour,ssp585_upp_mm/hour
2,1,114.280,22.275,76.090,89.450,102.800,86.240,106.730,127.220,116.600,139.270,161.940
2,2,114.280,22.275,112.670,133.560,154.440,132.010,164.620,197.220,167.740,201.880,236.030
2,3,114.280,22.275,133.870,158.570,183.270,162.310,201.980,241.640,198.840,243.300,287.760
2,4,114.280,22.275,149.190,177.470,205.750,182.540,227.390,272.250,221.820,274.610,327.400
2,5,114.280,22.275,161.830,192.700,223.570,198.040,247.160,296.270,237.880,295.160,352.440
2,6,114.280,22.275,170.810,203.500,236.190,207.470,259.520,311.570,254.980,316.920,378.860
2,9,114.280,22.275,189.140,227.850,266.550,228.870,288.500,348.140,286.390,356.220,426.040
2,12,114.280,22.275,197.370,238.100,278.830,241.130,304.280,367.430,305.240,379.570,453.890
2,18,114.280,22.275,207.430,250.470,293.510,252.890,318.970,385.050,330.830,412.040,493.260
2,24,114.280,22.275,213.450,258.640,303.840,260.590,329.730,398.860,344.590,430.820,517.050
2,48,114.280,22.275,230.260,281.140,332.020,292.970,365.540,438.120,358.530,452.520,546.500
2,72,114.280,22.275,236.770,287.530,338.290,298.600,371.930,445.270,363.310,458.570,553.820
2,96,114.280,22.275,240.140,290.670,341.210,305.160,377.580,450.010,379.560,476.160,572.760
2,120,114.280,22.275,243.800,295.500,347.210,314.200,389.390,464.570,388.530,486.810,585.090
2,144,114.280,22.275,247.240,300.280,353.330,327.030,407.090,487.140,391.830,491.980,592.140
2,168,114.280,22.275,250.580,304.490,358.400,332.150,415.030,497.900,398.290,502.820,607.340
5,1,114.280,22.275,115.850,135.020,154.200,147.860,182.340,216.820,183.080,217.650,252.220
5,2,114.280,22.275,175.800,209.440,243.080,229.070,282.210,335.350,269.880,328.960,388.050
5,3,114.280,22.275,209.520,251.330,293.140,279.920,342.440,404.960,331.210,413.180,495.160
5,4,114.280,22.275,236.140,285.040,333.930,315.860,388.010,460.170,378.880,483.530,588.180
5,5,114.280,22.275,257.180,311.240,365.300,343.890,423.510,503.130,408.770,523.510,638.250
5,6,114.280,22.275,271.840,329.330,386.820,362.100,448.000,533.890,440.140,562.670,685.210
5,9,114.280,22.275,308.640,380.080,451.520,405.940,505.970,606.010,495.200,627.980,760.760
5,12,114.280,22.275,322.870,399.290,475.710,429.640,539.190,648.740,525.890,664.760,803.640
5,18,114.280,22.275,339.460,418.260,497.050,451.740,569.440,687.140,570.170,716.230,862.290
5,24,114.280,22.275,351.490,434.060,516.640,469.710,595.040,720.380,599.520,757.000,914.480
5,48,114.280,22.275,382.980,475.640,568.290,514.820,643.710,772.610,636.360,815.340,994.320
5,72,114.280,22.275,389.560,482.460,575.360,521.780,653.870,785.960,644.390,827.650,1010.920
5,96,114.280,22.275,392.990,484.850,576.710,527.360,656.320,785.280,660.960,846.750,1032.530
5,120,114.280,22.275,398.880,494.250,589.620,543.570,676.480,809.400,674.940,860.520,1046.110
5,144,114.280,22.275,405.800,504.670,603.530,569.560,709.340,849.130,685.360,870.990,1056.610
5,168,114.280,22.275,411.480,511.300,611.120,583.270,731.210,879.140,703.130,902.450,1101.780
10,1,114.280,22.275,138.500,165.100,191.690,185.640,239.300,292.950,221.590,272.910,324.220
10,2,114.280,22.275,213.700,264.050,314.400,287.440,368.900,450.360,332.600,427.100,521.600
10,3,114.280,22.275,256.370,320.320,384.280,349.740,443.600,537.450,413.290,551.760,690.220
10,4,114.280,22.275,290.640,366.360,442.080,395.880,505.370,614.860,479.040,662.710,846.390
10,5,114.280,22.275,317.430,401.640,485.850,431.600,553.040,674.480,518.300,720.640,922.980
10,6,114.280,22.275,335.760,425.510,515.260,455.760,588.370,720.970,558.490,772.790,987.090
10,9,114.280,22.275,385.940,501.490,617.040,513.940,670.920,827.890,626.970,853.730,1080.490
10,12,114.280,22.275,404.150,529.480,654.820,546.620,721.220,895.830,663.350,899.260,1135.170
10,18,114.280,22.275,424.010,551.850,679.700,577.790,767.230,956.680,716.610,959.600,1202.590
10,24,114.280,22.275,439.450,573.820,708.190,602.880,807.610,1012.340,756.920,1020.700,1284.480
10,48,114.280,22.275,478.310,631.010,783.720,656.860,862.410,1067.950,808.940,1120.070,1431.200
10,72,114.280,22.275,485.330,638.610,791.880,664.320,877.110,1089.900,818.270,1143.820,1469.380
