return_period,duration,longitude,latitude,historical_low_mm/hour,historical_mm/hour,historical_upp_mm/hour,ssp245_low_mm/hour,ssp245_mm/hour,ssp245_upp_mm/hour,ssp585_low_mm/hour,ssp585_mm/hour,ssp585_upp_mm/hour
2,1,114.15,22.27,71.00,84.29,97.57,91.53,111.22,130.91,120.78,142.28,163.78
2,2,114.15,22.27,106.65,125.44,144.23,138.99,170.71,202.43,176.75,210.47,244.18
2,3,114.15,22.27,124.76,148.20,171.65,161.55,203.34,245.12,202.65,243.57,284.49
2,4,114.15,22.27,140.54,167.31,194.07,182.76,230.70,278.65,224.80,273.27,321.74
2,5,114.15,22.27,152.26,181.90,211.53,196.10,248.78,301.47,240.57,295.02,349.47
2,6,114.15,22.27,162.34,194.62,226.91,205.45,261.23,317.01,253.78,311.58,369.38
2,9,114.15,22.27,177.37,212.55,247.73,224.58,289.58,354.59,277.21,343.23,409.25
2,12,114.15,22.27,186.52,224.51,262.50,247.60,319.88,392.16,294.42,366.13,437.85
2,18,114.15,22.27,195.49,236.18,276.87,256.55,330.70,404.85,313.39,392.22,471.04
2,24,114.15,22.27,199.10,242.13,285.17,264.54,341.85,419.17,327.20,412.33,497.46
2,48,114.15,22.27,210.33,258.30,306.27,299.72,380.41,461.10,353.51,444.46,535.42
2,72,114.15,22.27,213.94,263.03,312.12,306.45,386.87,467.28,368.95,458.48,548.01
2,96,114.15,22.27,215.66,265.22,314.79,311.20,391.83,472.45,375.85,464.09,552.34
2,120,114.15,22.27,221.49,271.84,322.18,320.11,404.01,487.91,390.60,481.73,572.86
2,144,114.15,22.27,223.46,274.09,324.72,329.26,417.58,505.90,398.64,490.90,583.16
2,168,114.15,22.27,228.79,279.52,330.26,327.93,417.32,506.70,401.56,494.79,588.03
5,1,114.15,22.27,112.07,136.44,160.81,149.66,179.33,209.00,181.02,205.36,229.71
5,2,114.15,22.27,164.86,200.01,235.16,231.76,278.71,325.66,272.63,317.06,361.48
5,3,114.15,22.27,196.55,241.83,287.11,280.01,343.49,406.98,322.88,388.91,454.94
5,4,114.15,22.27,222.53,274.96,327.38,319.51,395.52,471.52,366.26,449.76,533.26
