return_period,duration,longitude,latitude,historical_low_mm/hour,historical_mm/hour,historical_upp_mm/hour,ssp245_low_mm/hour,ssp245_mm/hour,ssp245_upp_mm/hour,ssp585_low_mm/hour,ssp585_mm/hour,ssp585_upp_mm/hour
2,1,113.990,22.285,74.410,89.450,104.500,90.730,110.390,130.050,97.650,116.290,134.930
2,2,113.990,22.285,106.080,128.170,150.260,137.160,168.260,199.360,144.070,173.620,203.170
2,3,113.990,22.285,124.350,150.220,176.100,160.770,199.690,238.610,171.650,208.220,244.800
2,4,113.990,22.285,136.360,165.410,194.470,174.010,219.200,264.390,196.530,239.110,281.690
2,5,113.990,22.285,145.740,177.120,208.490,183.470,232.140,280.800,215.600,263.680,311.750
2,6,113.990,22.285,153.980,187.580,221.180,193.670,244.440,295.200,229.350,280.730,332.120
2,9,113.990,22.285,170.050,208.340,246.630,216.740,274.520,332.300,259.510,318.820,378.120
2,12,113.990,22.285,178.210,219.290,260.360,230.460,294.130,357.800,282.970,348.780,414.580
2,18,113.990,22.285,187.930,232.430,276.940,245.050,313.870,382.680,306.070,378.660,451.260
2,24,113.990,22.285,196.110,242.960,289.810,255.680,328.410,401.140,318.530,396.160,473.790
2,48,113.990,22.285,221.850,276.670,331.490,269.580,346.000,422.430,338.770,422.530,506.290
2,72,113.990,22.285,230.760,285.890,341.010,276.830,354.050,431.260,354.590,438.640,522.690
2,96,113.990,22.285,235.640,291.330,347.010,285.510,365.070,444.620,364.490,448.430,532.370
2,120,113.990,22.285,241.360,297.280,353.200,294.620,376.100,457.580,375.200,458.590,541.980
2,144,113.990,22.285,246.150,303.070,359.980,300.910,384.180,467.450,378.420,462.170,545.930
2,168,113.990,22.285,249.520,305.610,361.710,303.880,388.770,473.660,382.370,467.990,553.610
5,1,113.990,22.285,119.020,144.370,169.720,150.670,182.620,214.580,153.760,184.130,214.510
5,2,113.990,22.285,172.220,212.570,252.920,230.990,281.410,331.840,232.560,284.630,336.700
5,3,113.990,22.285,201.840,251.710,301.580,277.300,342.810,408.310,281.300,349.130,416.960
5,4,113.990,22.285,223.650,282.670,341.680,307.400,388.440,469.480,324.340,404.320,484.300
5,5,113.990,22.285,239.930,306.020,372.110,328.860,423.470,518.080,357.880,450.830,543.790
5,6,113.990,22.285,255.100,328.420,401.750,345.770,445.850,545.930,381.760,481.250,580.740
5,9,113.990,22.285,285.510,372.930,460.340,389.010,506.020,623.040,436.130,554.680,673.230
5,12,113.990,22.285,301.290,395.290,489.280,419.980,553.440,686.900,475.620,606.960,738.310
5,18,113.990,22.285,320.850,423.610,526.370,450.640,598.860,747.070,520.590,660.360,800.120
5,24,113.990,22.285,336.120,444.190,552.250,472.270,628.670,785.060,547.840,696.600,845.370
5,48,113.990,22.285,380.530,494.790,609.050,498.910,668.790,838.670,588.050,758.970,929.900
5,72,113.990,22.285,392.850,503.530,614.210,508.980,679.230,849.490,606.220,776.680,947.130
5,96,113.990,22.285,399.810,509.680,619.540,522.210,696.240,870.260,617.870,785.370,952.880
5,120,113.990,22.285,407.140,517.460,627.790,538.950,712.560,886.160,629.920,791.300,952.670
5,144,113.990,22.285,413.710,523.750,633.790,550.600,728.550,906.500,636.110,798.150,960.200
5,168,113.990,22.285,416.070,527.770,639.470,557.750,745.210,932.660,648.180,817.780,987.390
10,1,113.990,22.285,145.990,185.860,225.740,187.840,235.060,282.270,187.640,233.940,280.240
10,2,113.990,22.285,213.410,280.350,347.290,288.800,363.460,438.120,286.900,371.430,455.950
10,3,113.990,22.285,250.850,336.980,423.110,348.800,451.170,553.540,349.730,464.050,578.370
10,4,113.990,22.285,279.990,385.290,490.580,389.520,524.200,658.880,404.670,540.220,675.770
10,5,113.990,22.285,301.270,422.010,542.750,420.730,586.090,751.440,446.210,607.710,769.210
10,6,113.990,22.285,321.710,458.570,595.420,442.940,618.570,794.190,476.950,652.060,827.180
10,9,113.990,22.285,362.600,530.270,697.940,499.650,708.650,917.660,547.660,761.080,974.490
10,12,113.990,22.285,382.680,564.680,746.680,542.330,786.680,1031.030,596.830,830.260,1063.690
10,18,113.990,22.285,408.390,608.500,808.610,584.740,860.610,1136.490,654.500,899.480,1144.450
10,24,113.990,22.285,428.380,638.790,849.210,612.180,903.650,1195.110,689.790,951.440,1213.090
10,48,113.990,22.285,479.560,693.150,906.740,649.470,973.750,1298.030,748.470,1056.690,1364.910
10,72,113.990,22.285,493.640,695.970,898.310,661.890,984.030,1306.160,769.340,1070.940,1372.530
10,96,113.990,22.285,501.310,700.290,899.260,676.170,1002.750,1329.330,782.570,1074.680,1366.780
10,120,113.990,22.285,510.740,708.620,906.500,697.300,1020.170,1343.050,795.230,1070.020,1344.800
10,144,113.990,22.285,518.520,713.060,907.590,712.610,1044.200,1375.790,804.640,1080.400,1356.150
10,168,113.990,22.285,521.180,720.470,919.750,724.380,1077.650,1430.910,824.210,1116.370,1408.540
25,1,113.990,22.285,171.970,244.980,317.990,227.840,307.070,386.290,221.530,303.060,384.590
25,2,113.990,22.285,253.570,382.450,511.340,349.850,476.020,602.200,339.720,498.990,658.270
25,3,113.990,22.285,297.880,470.900,643.930,419.880,605.820,791.770,415.630,639.630,863.640
25,4,113.990,22.285,334.220,552.650,771.090,466.270,728.470,990.670,482.850,749.530,1016.210
25,5,113.990,22.285,359.460,616.140,872.810,507.050,844.200,1181.350,527.250,853.560,1179.860
25,6,113.990,22.285,384.570,681.830,979.100,536.200,894.980,1253.760,562.720,923.760,1284.810
25,9,113.990,22.285,434.260,808.900,1183.540,604.350,1039.170,1473.980,647.270,1097.660,1548.050
25,12,113.990,22.285,454.610,866.570,1278.530,655.130,1176.890,1698.650,706.320,1190.450,1674.590
25,18,113.990,22.285,484.000,939.500,1394.990,708.140,1307.130,1906.130,775.190,1278.590,1781.990
25,24,113.990,22.285,508.110,987.190,1466.270,737.800,1371.480,2005.160,814.290,1355.160,1896.040
25,48,113.990,22.285,557.820,1028.420,1499.010,783.870,1507.900,2231.930,897.810,1547.240,2196.660
25,72,113.990,22.285,576.870,1012.860,1448.850,802.090,1513.920,2225.740,929.650,1548.480,2167.300
25,96,113.990,22.285,585.400,1010.430,1435.450,815.260,1529.380,2243.490,949.020,1538.230,2127.450
25,120,113.990,22.285,601.020,1018.090,1435.160,840.860,1542.680,2244.510,967.110,1506.560,2046.020
25,144,113.990,22.285,611.340,1016.120,1420.900,859.300,1581.620,2303.930,982.640,1523.570,2064.500
25,168,113.990,22.285,616.420,1032.150,1447.890,877.250,1652.920,2428.580,1013.180,1592.220,2171.260
50,1,113.990,22.285,183.550,294.240,404.920,250.970,364.980,478.990,238.560,359.210,479.860
50,2,113.990,22.285,270.430,472.210,674.000,384.020,566.470,748.920,362.730,608.510,854.290
50,3,113.990,22.285,314.890,593.410,871.930,453.960,734.900,1015.840,441.560,796.080,1150.610
50,4,113.990,22.285,351.910,711.370,1070.820,494.560,907.850,1321.130,514.100,937.460,1360.820
