return_period,duration,longitude,latitude,historical_low_mm/hour,historical_mm/hour,historical_upp_mm/hour,ssp245_low_mm/hour,ssp245_mm/hour,ssp245_upp_mm/hour,ssp585_low_mm/hour,ssp585_mm/hour,ssp585_upp_mm/hour
2,1,114.22,22.25,72.02,86.60,101.18,86.68,106.66,126.63,117.51,140.05,162.58
2,2,114.22,22.25,107.70,129.39,151.08,132.46,164.00,195.53,169.98,204.40,238.81
2,3,114.22,22.25,128.43,154.31,180.18,165.09,204.52,243.95,206.13,252.66,299.19
2,4,114.22,22.25,142.47,171.24,200.00,187.13,233.69,280.24,234.92,289.55,344.18
2,5,114.22,22.25,155.92,187.55,219.17,203.91,256.52,309.14,250.91,310.65,370.40
2,6,114.22,22.25,163.98,198.14,232.29,212.51,268.08,323.65,270.86,335.78,400.70
2,9,114.22,22.25,178.09,219.29,260.50,234.45,298.04,361.63,297.03,371.41,445.79
2,12,114.22,22.25,186.09,230.76,275.43,246.88,314.33,381.78,319.09,398.77,478.44
2,18,114.22,22.25,192.29,238.62,284.96,261.94,333.51,405.08,348.40,434.77,521.13
2,24,114.22,22.25,197.01,245.51,294.01,272.23,346.76,421.28,358.33,448.69,539.04
2,48,114.22,22.25,206.68,258.60,310.52,297.11,375.14,453.17,376.43,473.57,570.71
2,72,114.22,22.25,213.45,266.12,318.79,305.80,383.49,461.19,388.29,486.23,584.17
2,96,114.22,22.25,217.17,270.13,323.08,314.26,392.56,470.87,393.65,491.17,588.68
2,120,114.22,22.25,221.32,274.81,328.30,321.70,402.42,483.14,403.98,502.92,601.86
2,144,114.22,22.25,225.08,278.76,332.44,331.18,415.34,499.51,417.31,519.26,621.20
2,168,114.22,22.25,229.45,283.19,336.93,329.88,415.00,500.12,421.51,526.06,630.62
5,1,114.22,22.25,116.12,139.56,163.00,147.70,181.43,215.17,185.26,222.85,260.44
5,2,114.22,22.25,173.51,210.65,247.79,227.23,278.46,329.68,272.95,334.35,395.75
5,3,114.22,22.25,207.08,252.30,297.53,282.94,344.96,406.98,342.93,428.85,514.77
5,4,114.22,22.25,230.74,282.08,333.42,323.99,396.03,468.07,394.62,497.85,601.09
5,5,114.22,22.25,252.90,309.63,366.35,356.95,438.26,519.58,427.05,544.98,662.92
5,6,114.22,22.25,268.67,331.02,393.37,375.38,465.90,556.41,464.55,593.06,721.58
5,9,114.22,22.25,303.36,386.74,470.12,420.46,526.66,632.86,519.43,670.19,820.95
5,12,114.22,22.25,319.51,412.39,505.28,444.96,562.39,679.81,557.08,714.71,872.34
5,18,114.22,22.25,330.59,430.15,529.71,472.51,597.94,723.38,606.99,769.43,931.88
5,24,114.22,22.25,341.19,446.84,552.49,493.20,628.63,764.05,630.70,802.72,974.73
