return_period,duration,longitude,latitude,historical_low_mm/hour,historical_mm/hour,historical_upp_mm/hour,ssp245_low_mm/hour,ssp245_mm/hour,ssp245_upp_mm/hour,ssp585_low_mm/hour,ssp585_mm/hour,ssp585_upp_mm/hour
2,1,114.27,22.52,83.79,96.97,110.15,101.25,117.07,132.90,127.87,149.47,171.07
2,2,114.27,22.52,124.42,145.69,166.95,145.76,169.37,192.98,200.17,234.23,268.30
2,3,114.27,22.52,145.71,172.18,198.66,175.29,205.80,236.31,244.63,288.53,332.42
2,4,114.27,22.52,158.78,188.97,219.15,195.47,230.10,264.73,271.98,324.16,376.33
2,5,114.27,22.52,169.01,201.80,234.59,217.89,257.35,296.81,291.72,350.55,409.37
2,6,114.27,22.52,176.27,211.81,247.35,230.56,273.36,316.15,303.46,367.67,431.88
2,9,114.27,22.52,194.51,234.56,274.60,256.20,305.47,354.73,337.95,412.45,486.95
2,12,114.27,22.52,205.24,248.28,291.33,275.93,329.42,382.90,356.10,438.36,520.63
2,18,114.27,22.52,213.56,258.27,302.98,293.29,351.37,409.45,367.86,454.60,541.34
2,24,114.27,22.52,220.49,267.04,313.58,308.93,370.51,432.10,387.39,476.86,566.33
2,48,114.27,22.52,243.08,292.94,342.80,320.43,389.44,458.45,407.33,501.14,594.95
2,72,114.27,22.52,256.60,306.80,357.00,338.09,408.35,478.61,421.45,517.97,614.49
2,96,114.27,22.52,267.44,319.79,372.13,346.18,416.69,487.20,429.86,526.58,623.31
2,120,114.27,22.52,275.77,327.85,379.93,354.68,425.88,497.08,437.72,535.60,633.47
2,144,114.27,22.52,287.61,338.09,388.57,366.84,441.72,516.60,440.64,541.99,643.34
2,168,114.27,22.52,298.11,346.75,395.40,369.49,445.67,521.86,442.29,546.12,649.95
5,1,114.27,22.52,123.85,146.93,170.01,149.15,172.72,196.29,193.26,225.63,258.01
5,2,114.27,22.52,189.18,231.34,273.51,218.50,256.67,294.84,304.83,357.60,410.37
5,3,114.27,22.52,225.73,281.50,337.28,268.82,319.11,369.40,379.09,448.88,518.66
5,4,114.27,22.52,249.78,316.13,382.47,303.03,360.56,418.09,431.75,518.58,605.41
5,5,114.27,22.52,267.40,342.88,418.35,338.18,401.88,465.57,470.92,570.40,669.88
5,6,114.27,22.52,283.12,368.03,452.94,359.74,428.04,496.34,498.07,608.39,718.71
5,9,114.27,22.52,316.36,418.39,520.42,403.63,481.51,559.40,561.06,690.02,818.98
5,12,114.27,22.52,335.72,444.07,552.41,434.96,517.97,600.99,598.25,742.30,886.34
5,18,114.27,22.52,348.11,468.06,588.02,464.59,554.40,644.20,626.51,787.95,949.40
5,24,114.27,22.52,360.80,484.39,607.98,489.94,583.31,676.68,654.49,818.31,982.14
5,48,114.27,22.52,392.01,516.77,641.54,524.85,641.01,757.17,689.40,870.20,1050.99
5,72,114.27,22.52,408.11,525.55,642.98,547.03,662.92,778.81,711.27,893.52,1075.78
5,96,114.27,22.52,426.04,542.25,658.47,555.42,672.77,790.11,721.22,905.99,1090.76
5,120,114.27,22.52,432.36,549.68,666.99,566.41,683.87,801.34,732.38,916.02,1099.66
5,144,114.27,22.52,440.93,553.53,666.13,587.42,708.21,829.00,745.18,941.98,1138.79
5,168,114.27,22.52,448.94,556.83,664.71,599.12,733.75,868.38,759.83,974.54,1189.25
10,1,114.27,22.52,149.14,185.66,222.18,177.72,210.18,242.64,231.99,277.21,322.44
10,2,114.27,22.52,231.54,304.48,377.41,263.85,319.44,375.04,367.77,443.37,518.98
10,3,114.27,22.52,278.36,379.75,481.13,327.35,402.13,476.92,461.35,563.12,664.89
10,4,114.27,22.52,310.06,434.26,558.46,370.71,456.84,542.98,530.67,661.73,792.79
10,5,114.27,22.52,332.98,478.66,624.35,412.51,506.15,599.79,581.21,734.45,887.68
10,6,114.27,22.52,355.00,522.74,690.48,438.52,538.69,638.87,618.49,792.22,965.95
10,9,114.27,22.52,402.31,607.00,811.69,492.57,607.20,721.82,697.22,902.94,1108.66
10,12,114.27,22.52,427.49,642.61,857.73,529.72,650.88,772.03,745.01,978.74,1212.47
10,18,114.27,22.52,443.98,689.99,936.00,565.57,698.82,832.07,786.44,1059.63,1332.83
10,24,114.27,22.52,460.69,712.67,964.65,595.67,732.01,868.36,819.36,1092.70,1366.04
10,48,114.27,22.52,494.52,742.56,990.60,648.18,832.45,1016.72,870.24,1177.41,1484.59
10,72,114.27,22.52,512.36,735.90,959.43,672.82,852.88,1032.94,895.59,1202.11,1508.63
10,96,114.27,22.52,532.84,749.04,965.25,681.76,864.60,1047.44,907.69,1219.88,1532.07
10,120,114.27,22.52,536.07,759.64,983.22,694.03,875.69,1057.34,919.74,1226.85,1533.96
10,144,114.27,22.52,544.68,753.35,962.02,718.62,904.06,1089.49,940.89,1277.49,1614.09
10,168,114.27,22.52,553.23,749.45,945.66,743.13,958.64,1174.15,971.14,1351.17,1731.19
25,1,114.27,22.52,175.72,242.14,308.55,207.88,258.23,308.58,272.14,343.73,415.31
25,2,114.27,22.52,275.45,421.05,566.64,313.92,404.92,495.91,434.21,556.65,679.08
25,3,114.27,22.52,329.96,543.98,757.99,391.24,517.13,643.01,549.31,717.37,885.44
25,4,114.27,22.52,367.43,637.94,908.46,445.37,591.09,736.81,636.34,860.90,1085.46
