return_period,duration,longitude,latitude,historical_low_mm/hour,historical_mm/hour,historical_upp_mm/hour,ssp245_low_mm/hour,ssp245_mm/hour,ssp245_upp_mm/hour,ssp585_low_mm/hour,ssp585_mm/hour,ssp585_upp_mm/hour
2,1,114.260,22.345,78.920,90.370,101.820,98.650,118.260,137.870,108.530,132.130,155.720
2,2,114.260,22.345,116.440,135.500,154.560,144.710,177.300,209.900,173.460,210.800,248.150
2,3,114.260,22.345,139.350,163.970,188.580,176.130,218.030,259.930,212.150,257.680,303.210
2,4,114.260,22.345,152.620,180.840,209.060,197.370,246.240,295.110,241.890,294.260,346.640
2,5,114.260,22.345,165.630,197.370,229.100,212.790,265.830,318.870,269.900,328.590,387.280
2,6,114.260,22.345,174.850,208.500,242.160,234.320,293.240,352.160,283.170,344.580,405.990
2,9,114.260,22.345,191.330,230.370,269.400,251.660,316.770,381.880,319.030,388.910,458.790
2,12,114.260,22.345,200.660,242.140,283.620,270.980,341.260,411.530,349.460,427.360,505.270
2,18,114.260,22.345,212.740,257.480,302.210,284.300,359.550,434.790,376.650,465.220,553.790
2,24,114.260,22.345,219.770,266.730,313.680,298.500,379.290,460.080,387.900,482.470,577.030
2,48,114.260,22.345,239.460,291.460,343.470,328.060,410.680,493.300,401.260,502.900,604.540
2,72,114.260,22.345,248.350,301.000,353.660,334.340,417.580,500.830,404.040,505.910,607.780
2,96,114.260,22.345,256.630,310.680,364.730,347.420,430.460,513.490,429.970,535.280,640.590
2,120,114.260,22.345,262.620,317.220,371.820,359.220,444.230,529.240,429.680,535.340,640.990
2,144,114.260,22.345,263.910,318.800,373.690,378.690,469.160,559.620,430.050,537.730,645.410
2,168,114.260,22.345,267.340,323.190,379.040,381.510,473.500,565.500,434.690,545.410,656.130
5,1,114.260,22.345,113.910,132.730,151.540,157.970,191.460,224.950,176.820,219.430,262.040
5,2,114.260,22.345,175.020,208.650,242.290,239.670,293.000,346.330,281.240,346.800,412.360
5,3,114.260,22.345,214.920,258.650,302.390,296.830,366.960,437.090,345.570,430.810,516.050
5,4,114.260,22.345,240.340,291.810,343.290,337.520,417.900,498.280,396.850,496.360,595.880
5,5,114.260,22.345,263.800,323.030,382.270,366.220,458.620,551.020,441.300,548.780,656.250
5,6,114.260,22.345,279.000,342.020,405.040,400.340,501.570,602.800,465.690,579.140,692.600
5,9,114.260,22.345,312.390,388.590,464.800,440.760,555.500,670.240,526.800,651.310,775.810
5,12,114.260,22.345,328.460,410.290,492.120,475.940,599.960,723.970,579.720,711.930,844.140
5,18,114.260,22.345,349.790,436.060,522.330,505.670,641.560,777.440,635.810,780.250,924.690
5,24,114.260,22.345,363.350,453.630,543.910,532.550,682.110,831.680,663.010,825.320,987.630
5,48,114.260,22.345,395.330,494.300,593.260,574.900,727.160,879.410,696.510,891.810,1087.120
5,72,114.260,22.345,406.460,504.190,601.920,582.270,737.570,892.880,702.500,899.190,1095.890
5,96,114.260,22.345,418.530,516.250,613.970,597.350,749.460,901.570,735.670,933.720,1131.770
5,120,114.260,22.345,426.190,527.750,629.310,614.150,768.400,922.660,738.120,934.990,1131.860
5,144,114.260,22.345,428.490,531.660,634.830,646.490,806.410,966.320,745.580,946.840,1148.110
5,168,114.260,22.345,434.610,541.690,648.760,654.170,821.320,988.470,759.330,970.280,1181.230
10,1,114.260,22.345,135.400,163.510,191.630,194.670,246.990,299.300,217.590,290.840,364.090
10,2,114.260,22.345,212.270,264.970,317.670,295.370,380.510,465.650,344.050,456.550,569.040
10,3,114.260,22.345,262.980,332.080,401.170,366.470,481.850,597.230,426.150,576.010,725.880
10,4,114.260,22.345,297.510,380.300,463.100,418.070,550.700,683.320,492.810,666.050,839.280
10,5,114.260,22.345,327.770,424.180,520.590,456.480,613.790,771.090,546.510,728.220,909.930
10,6,114.260,22.345,346.840,449.370,551.910,496.550,664.980,833.400,578.510,771.290,964.070
10,9,114.260,22.345,392.250,520.820,649.390,553.190,748.780,944.370,654.750,859.670,1064.600
10,12,114.260,22.345,412.810,551.930,691.060,598.570,807.440,1016.320,718.870,929.930,1141.000
10,18,114.260,22.345,439.140,584.530,729.910,640.340,871.300,1102.270,788.880,1017.380,1245.890
10,24,114.260,22.345,456.630,609.550,762.470,675.670,932.240,1188.800,826.440,1092.350,1358.250
10,48,114.260,22.345,493.890,662.400,830.910,729.870,984.990,1240.100,878.790,1221.680,1564.560
10,72,114.260,22.345,506.110,669.540,832.960,737.990,1001.000,1264.020,885.900,1237.720,1589.530
10,96,114.260,22.345,519.140,679.790,840.440,754.860,1007.340,1259.820,923.340,1266.500,1609.650
10,120,114.260,22.345,529.110,699.070,869.030,773.990,1028.750,1283.500,927.540,1269.700,1611.850
10,144,114.260,22.345,532.150,706.160,880.160,811.440,1072.020,1332.590,937.100,1291.550,1646.010
10,168,114.260,22.345,541.120,723.400,905.680,823.660,1101.330,1379.010,957.910,1333.660,1709.400
25,1,114.260,22.345,158.270,205.860,253.450,232.340,326.360,420.380,250.950,400.240,549.540
25,2,114.260,22.345,252.920,346.560,440.210,343.500,505.300,667.110,392.060,622.610,853.160
25,3,114.260,22.345,315.050,439.180,563.310,421.780,648.660,875.540,492.210,803.670,1115.130
25,4,114.260,22.345,361.220,512.750,664.280,479.950,744.000,1008.040,578.810,932.340,1285.880
25,5,114.260,22.345,398.700,576.850,755.000,527.560,847.990,1168.410,642.050,1002.200,1362.350
25,6,114.260,22.345,422.260,611.270,800.280,572.280,905.860,1239.440,682.870,1066.080,1449.290
25,9,114.260,22.345,479.940,727.450,974.960,644.260,1042.100,1439.950,776.600,1170.300,1564.010
25,12,114.260,22.345,504.570,774.910,1045.240,702.330,1119.610,1536.890,849.710,1244.420,1639.140
25,18,114.260,22.345,534.410,815.430,1096.460,757.910,1221.990,1686.060,924.930,1354.020,1783.110
25,24,114.260,22.345,554.430,852.790,1151.160,800.420,1318.890,1837.370,968.590,1483.410,1998.240
25,48,114.260,22.345,590.420,923.080,1255.750,880.600,1378.550,1876.490,1036.770,1744.260,2451.750
25,72,114.260,22.345,605.010,921.660,1238.320,887.510,1407.000,1926.480,1037.610,1781.380,2525.140
25,96,114.260,22.345,618.020,924.010,1230.010,911.660,1398.180,1884.700,1086.610,1786.260,2485.900
25,120,114.260,22.345,630.870,960.300,1289.740,931.950,1420.940,1909.920,1090.530,1793.770,2497.020
25,144,114.260,22.345,634.140,974.060,1313.980,969.820,1465.020,1960.220,1093.880,1834.330,2574.780
25,168,114.260,22.345,647.140,1006.100,1365.050,986.160,1524.090,2062.030,1120.420,1913.790,2707.150
50,1,114.260,22.345,171.300,239.950,308.610,251.700,392.710,533.710,256.480,497.980,739.480
50,2,114.260,22.345,276.250,415.660,555.080,358.850,609.370,859.900,395.990,769.210,1142.430
50,3,114.260,22.345,344.360,530.470,716.580,432.310,790.200,1148.080,501.250,1011.580,1521.910
50,4,114.260,22.345,398.280,628.450,858.610,488.890,908.410,1327.930,601.860,1175.770,1749.680
50,5,114.260,22.345,439.250,711.310,983.370,536.910,1054.250,1571.590,672.260,1246.170,1820.080
50,6,114.260,22.345,465.630,753.730,1041.830,584.180,1113.250,1642.330,718.020,1329.780,1941.540
50,9,114.260,22.345,527.320,915.570,1303.820,659.300,1301.780,1944.270,825.320,1440.650,2055.990
50,12,114.260,22.345,552.610,979.330,1406.040,726.870,1393.700,2060.530,903.340,1509.630,2115.920
50,18,114.260,22.345,582.720,1024.700,1466.670,788.880,1534.160,2279.440,973.470,1633.540,2293.600
50,24,114.260,22.345,601.790,1073.900,1546.000,830.980,1667.300,2503.630,1011.400,1818.010,2624.630
50,48,114.260,22.345,629.160,1158.690,1688.220,941.850,1728.900,2515.950,1069.230,2226.280,3383.330
50,72,114.260,22.345,647.790,1145.890,1643.990,944.510,1771.760,2599.000,1055.150,2289.410,3523.670
50,96,114.260,22.345,661.180,1136.920,1612.650,980.860,1743.750,2506.630,1124.060,2259.220,3394.380
50,120,114.260,22.345,674.390,1192.630,1710.860,1000.950,1765.690,2530.430,1125.100,2271.800,3418.510
50,144,114.260,22.345,676.540,1213.870,1751.200,1035.540,1804.600,2573.660,1114.090,2332.070,3550.050
50,168,114.260,22.345,691.620,1262.370,1833.130,1050.660,1896.510,2742.370,1137.910,2452.840,3767.770
100,1,114.260,22.345,180.330,276.240,372.150,261.820,465.610,669.400,239.550,611.650,983.750
100,2,114.260,22.345,291.740,492.440,693.140,353.380,723.480,1093.590,364.050,937.970,1511.890
100,3,114.260,22.345,362.870,632.460,902.040,410.830,947.700,1484.580,461.420,1258.010,2054.590
100,4,114.260,22.345,422.650,760.450,1098.260,459.100,1091.770,1724.450,574.160,1464.520,2354.880
100,5,114.260,22.345,464.510,865.800,1267.090,497.280,1291.220,2085.160,654.300,1529.120,2403.940
100,6,114.260,22.345,493.050,917.290,1341.520,548.190,1346.950,2145.720,702.400,1636.810,2571.210
