return_period,duration,longitude,latitude,historical_low,historical,historical_upp,ssp245_low,ssp245,ssp245_upp,ssp585_low,ssp585,ssp585_upp
2,1,114.10,22.50,84.79,99.19,113.58,94.70,114.45,134.20,105.90,125.80,145.71
2,2,114.10,22.50,125.78,148.97,172.17,141.79,172.72,203.65,162.47,192.75,223.03
2,3,114.10,22.50,147.28,176.01,204.75,169.56,207.37,245.17,193.29,232.65,272.00
2,4,114.10,22.50,163.80,196.12,228.44,187.80,230.17,272.55,211.69,256.48,301.27
2,5,114.10,22.50,174.47,209.25,244.03,199.19,244.75,290.31,225.99,275.12,324.24
2,6,114.10,22.50,182.81,219.70,256.59,206.95,255.17,303.39,238.64,292.09,345.55
2,9,114.10,22.50,194.11,235.18,276.25,223.96,279.34,334.73,270.53,332.10,393.67
2,12,114.10,22.50,201.85,244.97,288.09,237.10,298.40,359.70,286.13,352.21,418.29
2,18,114.10,22.50,211.14,256.54,301.93,252.20,319.27,386.34,301.55,373.73,445.91
2,24,114.10,22.50,219.56,267.47,315.39,260.19,330.18,400.17,307.30,381.48,455.67
2,48,114.10,22.50,245.00,293.50,342.00,274.45,348.45,422.44,321.11,401.56,482.02
2,72,114.10,22.50,255.17,303.51,351.86,295.50,369.54,443.58,331.07,413.06,495.04
2,96,114.10,22.50,264.61,313.79,362.97,303.52,378.50,453.49,338.46,419.65,500.84
2,120,114.10,22.50,268.50,317.04,365.57,312.54,390.27,468.00,347.56,429.70,511.85
2,144,114.10,22.50,279.05,327.79,376.53,320.10,401.39,482.67,352.37,436.10,519.82
2,168,114.10,22.50,286.04,335.27,384.51,321.75,404.18,486.62,361.20,445.98,530.77
5,1,114.10,22.50,129.58,156.17,182.77,154.96,193.01,231.06,166.07,201.43,236.78
5,2,114.10,22.50,197.71,241.11,284.50,235.67,297.24,358.81,253.94,310.11,366.27
5,3,114.10,22.50,236.45,292.03,347.61,284.49,359.53,434.56,309.54,383.35,457.16
5,4,114.10,22.50,264.25,326.87,389.49,316.59,401.53,486.47,343.22,429.00,514.77
5,5,114.10,22.50,282.50,350.65,418.79,337.74,429.04,520.35,370.29,465.50,560.71
5,6,114.10,22.50,297.23,369.39,441.55,353.43,449.95,546.48,395.62,499.93,604.24
5,9,114.10,22.50,320.30,401.83,483.36,390.52,504.43,618.34,450.51,565.90,681.29
5,12,114.10,22.50,333.39,418.33,503.27,417.08,541.96,666.83,478.88,602.02,725.15
5,18,114.10,22.50,347.15,436.25,525.35,446.43,584.35,722.27,511.07,644.77,778.48
5,24,114.10,22.50,361.34,453.58,545.82,463.01,610.24,757.47,524.77,664.28,803.79
5,48,114.10,22.50,392.07,481.50,570.93,496.66,656.54,816.41,558.48,727.95,897.43
5,72,114.10,22.50,403.64,491.31,578.98,519.63,674.35,829.07,573.79,744.37,914.95
5,96,114.10,22.50,415.19,503.62,592.04,529.40,685.07,840.74,581.71,751.04,920.36
5,120,114.10,22.50,417.70,508.09,598.48,545.31,706.50,867.69,595.59,762.65,929.70
5,144,114.10,22.50,429.03,517.91,606.79,562.13,727.21,892.29,605.08,776.68,948.27
5,168,114.10,22.50,437.31,527.29,617.28,568.70,742.00,915.30,619.46,814.57,1009.68
10,1,114.10,22.50,158.80,201.30,243.81,194.35,258.62,322.88,203.58,260.84,318.09
10,2,114.10,22.50,244.74,315.10,385.47,296.88,404.02,511.15,311.82,405.60,499.37
10,3,114.10,22.50,295.41,387.58,479.76,359.43,490.38,621.33,381.06,508.99,636.93
10,4,114.10,22.50,330.94,435.11,539.28,400.67,549.42,698.18,423.74,576.46,729.19
10,5,114.10,22.50,354.44,468.32,582.20,428.14,587.94,747.73,458.58,629.64,800.71
10,6,114.10,22.50,373.32,493.98,614.65,448.97,618.30,787.62,491.61,680.00,868.39
10,9,114.10,22.50,403.87,543.41,682.94,498.87,703.24,907.60,559.60,761.43,963.26
10,12,114.10,22.50,419.52,566.52,713.52,531.11,756.38,981.65,596.26,810.34,1024.42
10,18,114.10,22.50,434.49,590.26,746.02,568.32,819.56,1070.80,638.03,871.09,1104.15
10,24,114.10,22.50,451.14,611.19,771.25,591.18,862.41,1133.64,657.16,902.88,1148.59
10,48,114.10,22.50,486.19,633.91,781.62,641.89,940.95,1240.01,710.98,1023.01,1335.05
10,72,114.10,22.50,498.64,640.56,782.48,666.32,945.58,1224.84,729.43,1041.98,1354.52
