return_period,duration,longitude,latitude,historical_low,historical,historical_upp,ssp245_low,ssp245,ssp245_upp,ssp585_low,ssp585,ssp585_upp
2,1,114.01,22.33,74.17,88.60,103.03,91.20,109.39,127.58,90.65,109.80,128.94
2,2,114.01,22.33,108.41,132.07,155.74,130.28,160.24,190.20,137.38,166.96,196.54
2,3,114.01,22.33,126.18,154.31,182.44,151.37,190.22,229.06,161.51,197.98,234.45
2,4,114.01,22.33,138.17,169.87,201.57,164.23,209.28,254.33,180.81,222.24,263.68
2,5,114.01,22.33,146.33,181.06,215.79,172.91,222.01,271.10,196.01,242.92,289.82
2,6,114.01,22.33,154.97,191.72,228.48,179.96,231.44,282.92,209.80,259.93,310.06
2,9,114.01,22.33,171.91,212.81,253.71,205.37,263.26,321.15,242.62,301.04,359.46
2,12,114.01,22.33,183.23,226.43,269.62,216.27,277.58,338.89,259.94,324.33,388.73
2,18,114.01,22.33,193.76,241.07,288.38,223.08,287.38,351.67,287.12,357.76,428.41
2,24,114.01,22.33,200.34,249.09,297.85,230.16,296.86,363.57,302.93,378.66,454.39
2,48,114.01,22.33,223.37,277.12,330.87,241.86,312.76,383.66,315.28,396.52,477.76
2,72,114.01,22.33,232.29,287.11,341.93,249.36,320.56,391.75,322.81,403.37,483.93
2,96,114.01,22.33,237.06,291.92,346.78,254.00,325.91,397.82,334.77,415.40,496.04
2,120,114.01,22.33,240.87,295.30,349.73,262.73,337.30,411.86,340.79,421.43,502.06
2,144,114.01,22.33,243.70,298.53,353.36,267.41,344.83,422.25,346.57,427.54,508.51
2,168,114.01,22.33,246.87,301.84,356.82,271.57,350.75,429.92,354.06,438.28,522.49
5,1,114.01,22.33,116.19,137.82,159.44,145.62,172.59,199.55,147.95,179.13,210.31
5,2,114.01,22.33,177.58,215.84,254.10,217.75,263.09,308.43,226.20,278.68,331.15
5,3,114.01,22.33,209.85,259.37,308.88,265.89,333.42,400.95,271.14,339.65,408.15
5,4,114.01,22.33,232.87,290.97,349.08,297.36,381.91,466.45,305.79,385.26,464.72
5,5,114.01,22.33,250.81,318.13,385.44,318.65,416.44,514.22,336.08,427.11,518.14
5,6,114.01,22.33,265.84,337.91,409.99,333.04,438.60,544.16,359.02,454.88,550.74
5,9,114.01,22.33,295.73,378.95,462.18,374.83,492.30,609.77,416.09,524.76,633.42
5,12,114.01,22.33,313.87,400.81,487.75,396.36,526.48,656.59,451.08,572.45,693.83
5,18,114.01,22.33,334.85,431.37,527.89,414.74,560.91,707.07,497.57,626.99,756.41
5,24,114.01,22.33,347.83,449.17,550.51,429.77,582.11,734.45,527.64,665.62,803.60
5,48,114.01,22.33,384.63,488.35,592.06,453.60,623.08,792.56,558.84,718.82,878.81
5,72,114.01,22.33,396.82,500.60,604.37,462.31,632.11,801.91,567.37,726.69,886.02
5,96,114.01,22.33,402.78,505.28,607.78,469.39,638.78,808.17,580.90,737.84,894.79
5,120,114.01,22.33,406.23,509.90,613.57,485.75,657.58,829.41,588.41,742.55,896.70
5,144,114.01,22.33,410.65,514.69,618.72,497.81,681.19,864.57,597.34,751.17,905.00
5,168,114.01,22.33,415.02,519.84,624.66,508.18,697.40,886.61,613.82,777.99,942.15
10,1,114.01,22.33,140.09,172.27,204.45,177.25,215.39,253.53,182.38,230.33,278.28
10,2,114.01,22.33,217.90,278.16,338.43,267.69,335.48,403.27,281.24,366.49,451.74
10,3,114.01,22.33,260.96,341.97,422.97,334.69,446.01,557.33,340.28,456.10,571.92
10,4,114.01,22.33,291.75,388.97,486.19,379.06,525.89,672.73,385.43,521.25,657.07
10,5,114.01,22.33,317.43,433.29,549.15,410.36,586.05,761.75,424.35,582.63,740.91
10,6,114.01,22.33,337.05,461.69,586.34,430.02,623.12,816.21,452.36,618.19,784.03
10,9,114.01,22.33,376.47,523.48,670.49,481.57,693.79,906.01,523.54,708.08,892.63
10,12,114.01,22.33,398.48,551.60,704.72,511.79,752.65,993.51,570.38,778.17,985.96
10,18,114.01,22.33,426.19,598.06,769.93,539.83,822.86,1105.89,628.82,845.31,1061.80
10,24,114.01,22.33,444.36,626.35,808.35,560.44,856.72,1152.99,667.31,897.34,1127.36
