return_period,duration,longitude,latitude,historical_low_mm/hour,historical_mm/hour,historical_upp_mm/hour,ssp245_low_mm/hour,ssp245_mm/hour,ssp245_upp_mm/hour,ssp585_low_mm/hour,ssp585_mm/hour,ssp585_upp_mm/hour
2,1,113.920,22.395,73.140,86.260,99.380,99.770,119.960,140.150,88.740,105.920,123.100
2,2,113.920,22.395,104.420,124.330,144.240,152.460,185.090,217.710,135.210,160.390,185.570
2,3,113.920,22.395,129.430,154.850,180.270,174.210,214.610,255.000,160.110,191.940,223.770
2,4,113.920,22.395,145.970,175.100,204.220,189.850,234.950,280.040,178.450,216.000,253.550
2,5,113.920,22.395,157.250,189.380,221.520,202.000,249.960,297.920,192.100,234.090,276.080
2,6,113.920,22.395,165.300,199.520,233.740,210.120,260.550,310.990,204.860,250.810,296.770
2,9,113.920,22.395,186.670,225.870,265.060,231.480,288.620,345.750,233.120,286.180,339.240
2,12,113.920,22.395,197.490,238.710,279.930,240.600,302.180,363.750,254.200,314.340,374.490
2,18,113.920,22.395,210.930,254.180,297.440,255.410,323.860,392.320,271.260,338.690,406.120
2,24,113.920,22.395,220.620,265.600,310.570,265.110,336.310,407.500,279.020,350.430,421.850
2,48,113.920,22.395,239.180,287.530,335.880,275.540,352.150,428.750,287.430,362.800,438.170
2,72,113.920,22.395,245.240,293.310,341.380,286.640,364.190,441.730,295.900,370.290,444.670
2,96,113.920,22.395,250.090,297.450,344.820,295.980,373.780,451.580,305.720,379.650,453.570
2,120,113.920,22.395,257.960,305.940,353.910,312.560,391.630,470.710,314.950,388.340,461.740
2,144,113.920,22.395,261.140,309.960,358.790,322.930,405.750,488.570,323.390,398.500,473.610
2,168,113.920,22.395,263.390,313.280,363.170,328.050,411.830,495.600,328.620,406.230,483.850
5,1,113.920,22.395,111.540,131.700,151.870,158.890,189.240,219.590,140.820,173.150,205.470
5,2,113.920,22.395,163.330,199.580,235.830,248.290,299.450,350.620,212.890,263.480,314.070
5,3,113.920,22.395,205.290,250.970,296.640,292.900,362.540,432.190,258.280,325.900,393.520
5,4,113.920,22.395,232.610,284.540,336.460,323.190,406.300,489.410,293.550,374.190,454.840
5,5,113.920,22.395,252.730,310.090,367.450,344.360,435.260,526.160,320.130,410.030,499.930
5,6,113.920,22.395,266.790,328.680,390.570,359.520,455.440,551.360,343.370,438.500,533.630
5,9,113.920,22.395,301.510,368.580,435.660,399.250,504.870,610.490,391.850,497.230,602.610
5,12,113.920,22.395,318.920,388.870,458.810,422.210,540.680,659.150,432.730,547.680,662.640
5,18,113.920,22.395,337.610,408.400,479.190,455.980,594.940,733.900,469.770,604.100,738.430
5,24,113.920,22.395,352.680,425.660,498.640,475.540,615.380,755.220,489.300,634.740,780.170
5,48,113.920,22.395,381.430,459.090,536.750,501.920,659.430,816.940,513.600,678.240,842.880
5,72,113.920,22.395,386.720,463.780,540.840,513.840,674.280,834.730,522.510,686.360,850.200
5,96,113.920,22.395,390.310,467.310,544.300,525.000,683.880,842.770,532.480,693.820,855.160
5,120,113.920,22.395,400.780,478.520,556.270,548.140,703.400,858.670,541.330,697.990,854.660
5,144,113.920,22.395,407.160,487.120,567.090,568.360,728.800,889.240,555.020,713.110,871.200
5,168,113.920,22.395,411.950,496.780,581.620,579.170,743.720,908.270,568.490,736.320,904.150
10,1,113.920,22.395,133.720,164.080,194.440,193.080,237.610,282.140,174.270,228.410,282.540
10,2,113.920,22.395,199.430,260.710,321.990,304.490,382.140,459.800,264.740,351.280,437.820
10,3,113.920,22.395,252.150,327.600,403.040,363.960,478.340,592.710,324.880,445.950,567.020
10,4,113.920,22.395,285.930,371.570,457.220,404.900,546.520,688.140,371.080,517.020,662.970
10,5,113.920,22.395,311.470,406.620,501.770,432.620,589.690,746.760,405.590,569.550,733.500
10,6,113.920,22.395,329.230,432.720,536.210,451.810,619.060,786.310,433.860,605.540,777.210
10,9,113.920,22.395,370.920,479.270,587.620,502.080,683.320,864.560,493.070,679.420,865.770
10,12,113.920,22.395,391.900,504.250,616.600,534.230,742.690,951.150,543.860,744.320,944.790
10,18,113.920,22.395,412.510,524.010,635.510,582.650,832.900,1083.140,595.240,833.920,1072.610
10,24,113.920,22.395,430.590,544.600,658.600,607.310,856.510,1105.710,622.870,885.180,1147.500
10,48,113.920,22.395,464.860,584.820,704.780,644.100,934.010,1223.920,662.020,970.260,1278.500
10,72,113.920,22.395,469.680,588.490,707.300,657.440,951.500,1245.550,675.000,981.240,1287.480
10,96,113.920,22.395,473.550,592.510,711.460,669.970,958.100,1246.220,686.140,982.900,1279.650
10,120,113.920,22.395,485.810,605.060,724.320,697.550,970.420,1243.300,695.380,977.410,1259.440
10,144,113.920,22.395,494.840,618.120,741.400,722.850,1002.870,1282.890,712.050,993.960,1275.880
10,168,113.920,22.395,501.860,636.580,771.310,739.570,1028.230,1316.890,733.030,1036.530,1340.030
25,1,113.920,22.395,153.650,207.810,261.960,224.430,301.720,379.010,208.660,313.460,418.260
25,2,113.920,22.395,232.180,353.780,475.390,356.100,495.310,634.510,322.120,490.930,659.740
25,3,113.920,22.395,297.050,442.270,587.480,427.000,648.690,870.390,396.890,646.110,895.320
25,4,113.920,22.395,336.470,501.520,666.560,478.600,761.430,1044.260,452.570,756.810,1061.050
25,5,113.920,22.395,366.470,551.460,736.440,513.300,830.430,1147.560,492.320,838.390,1184.460
25,6,113.920,22.395,387.290,589.870,792.460,533.970,875.820,1217.670,521.840,882.240,1242.640
25,9,113.920,22.395,434.830,640.750,846.670,593.330,958.960,1324.580,588.640,972.790,1356.940
25,12,113.920,22.395,459.070,671.170,883.280,632.070,1062.290,1492.520,644.390,1053.990,1463.590
25,18,113.920,22.395,479.990,687.520,895.050,695.550,1222.080,1748.610,709.720,1205.060,1700.400
25,24,113.920,22.395,501.400,711.440,921.480,723.770,1245.140,1766.510,743.300,1296.120,1848.940
25,48,113.920,22.395,541.210,759.000,976.780,764.380,1390.580,2016.780,799.580,1472.090,2144.600
25,72,113.920,22.395,545.780,760.980,976.180,781.750,1412.620,2043.480,825.730,1491.680,2157.630
25,96,113.920,22.395,552.150,766.860,981.580,798.550,1409.630,2020.710,845.200,1476.850,2108.490
25,120,113.920,22.395,567.450,780.440,993.430,837.810,1397.270,1956.740,861.200,1446.270,2031.340
25,144,113.920,22.395,580.190,801.080,1021.980,866.340,1437.170,2008.000,881.660,1460.540,2039.420
25,168,113.920,22.395,588.060,837.230,1086.410,893.020,1483.420,2073.810,912.400,1543.960,2175.510
50,1,113.920,22.395,161.680,242.400,323.130,238.050,351.540,465.040,224.780,389.770,554.760
50,2,113.920,22.395,242.610,436.430,630.240,377.700,586.010,794.310,352.950,620.220,887.500
50,3,113.920,22.395,315.180,542.420,769.660,447.350,795.090,1142.830,430.760,839.920,1249.080
50,4,113.920,22.395,356.320,614.760,873.200,500.980,953.500,1406.020,487.100,990.530,1493.970
50,5,113.920,22.395,387.020,678.290,969.570,537.790,1049.080,1560.370,524.260,1101.410,1678.560
50,6,113.920,22.395,408.070,728.380,1048.690,555.250,1110.530,1665.810,550.370,1148.550,1746.720
50,9,113.920,22.395,458.870,778.400,1097.930,618.240,1207.120,1796.010,618.610,1247.630,1876.650
50,12,113.920,22.395,484.750,812.310,1139.880,653.600,1356.730,2059.860,672.290,1338.000,2003.700
50,18,113.920,22.395,505.300,822.810,1140.320,718.730,1592.110,2465.490,739.330,1553.700,2368.070
50,24,113.920,22.395,529.110,848.400,1167.700,748.720,1609.530,2470.330,769.750,1688.050,2606.340
50,48,113.920,22.395,572.330,900.260,1228.190,776.000,1831.560,2887.120,826.920,1972.160,3117.400
50,72,113.920,22.395,577.040,900.650,1224.260,798.340,1858.160,2917.970,870.290,2003.850,3137.400
50,96,113.920,22.395,586.650,909.000,1231.340,822.840,1841.720,2860.600,906.070,1966.420,3026.780
50,120,113.920,22.395,604.970,922.730,1240.490,881.790,1794.390,2707.000,937.160,1903.040,2868.930
50,144,113.920,22.395,620.300,950.640,1280.980,910.480,1837.850,2765.230,961.700,1910.800,2859.890
50,168,113.920,22.395,625.610,1005.610,1385.610,945.140,1907.230,2869.310,996.550,2041.750,3086.950
100,1,113.920,22.395,163.470,278.680,393.890,243.030,402.990,562.960,229.140,478.860,728.570
100,2,113.920,22.395,236.710,532.040,827.380,383.380,682.150,980.920,367.220,775.270,1183.320
100,3,113.920,22.395,315.800,656.680,997.550,438.810,959.790,1480.770,434.990,1081.470,1727.950
100,4,113.920,22.395,355.980,743.710,1131.440,484.850,1176.950,1869.050,482.540,1283.460,2084.390
100,5,113.920,22.395,384.240,823.320,1262.390,518.560,1307.000,2095.450,507.980,1432.110,2356.240
100,6,113.920,22.395,402.860,887.610,1372.360,527.160,1388.920,2250.690,526.940,1478.690,2430.440
100,9,113.920,22.395,457.590,932.200,1406.800,591.610,1497.680,2403.750,594.240,1580.560,2566.890
100,12,113.920,22.395,484.670,968.910,1453.160,610.820,1708.290,2805.770,641.520,1675.830,2710.130
100,18,113.920,22.395,505.490,970.160,1434.830,660.320,2046.090,3431.860,695.790,1977.020,3258.250
100,24,113.920,22.395,531.990,996.580,1461.180,693.410,2051.260,3409.100,710.760,2170.170,3629.570
100,48,113.920,22.395,578.480,1051.520,1524.560,681.090,2379.930,4078.760,743.040,2610.960,4478.880
100,72,113.920,22.395,583.740,1050.010,1516.280,710.560,2412.370,4114.190,811.090,2661.970,4512.860
100,96,113.920,22.395,597.440,1061.850,1526.260,750.290,2374.780,3999.280,878.840,2588.920,4298.990
100,120,113.920,22.395,619.670,1075.150,1530.630,847.260,2272.590,3697.910,941.170,2475.290,4009.420
100,144,113.920,22.395,637.020,1111.860,1586.710,874.810,2316.900,3758.990,972.870,2470.290,3967.720
100,168,113.920,22.395,635.160,1191.230,1747.300,916.080,2417.910,3919.740,1004.070,2669.110,4334.160
