return_period,duration,longitude,latitude,historical_low_mm/hour,historical_mm/hour,historical_upp_mm/hour,ssp245_low_mm/hour,ssp245_mm/hour,ssp245_upp_mm/hour,ssp585_low_mm/hour,ssp585_mm/hour,ssp585_upp_mm/hour
2,1,114.10,22.48,82.89,97.16,111.43,97.53,116.66,135.80,106.26,123.79,141.32
2,2,114.10,22.48,122.03,145.16,168.29,147.70,177.95,208.20,159.44,186.44,213.44
2,3,114.10,22.48,146.19,174.19,202.19,176.76,213.68,250.60,192.67,229.71,266.75
2,4,114.10,22.48,164.37,196.23,228.09,195.13,236.35,277.58,212.35,255.52,298.68
2,5,114.10,22.48,174.46,208.51,242.56,206.45,251.44,296.44,228.57,276.54,324.52
2,6,114.10,22.48,182.24,218.41,254.58,214.68,262.42,310.16,241.32,294.07,346.81
2,9,114.10,22.48,195.73,236.73,277.73,233.37,288.47,343.56,274.06,335.42,396.78
2,12,114.10,22.48,205.41,249.12,292.82,244.33,304.53,364.73,291.90,357.52,423.14
2,18,114.10,22.48,213.16,258.86,304.56,257.48,323.69,389.91,311.93,383.41,454.89
2,24,114.10,22.48,221.68,269.48,317.28,263.77,332.89,402.00,324.17,400.12,476.07
2,48,114.10,22.48,242.10,291.25,340.39,285.86,363.30,440.73,328.11,408.15,488.19
2,72,114.10,22.48,253.73,302.83,351.93,304.89,379.50,454.10,338.19,419.85,501.52
2,96,114.10,22.48,265.49,314.61,363.74,311.98,387.42,462.87,348.02,427.72,507.42
2,120,114.10,22.48,269.16,316.87,364.58,324.78,403.84,482.90,361.01,442.78,524.55
2,144,114.10,22.48,278.33,325.93,373.54,333.77,417.44,501.10,363.43,446.12,528.80
2,168,114.10,22.48,285.13,334.00,382.88,338.84,424.21,509.58,368.27,451.96,535.64
5,1,114.10,22.48,127.04,154.80,182.56,156.00,191.50,226.99,159.30,188.85,218.40
5,2,114.10,22.48,193.21,239.33,285.46,240.10,296.91,353.71,240.63,286.87,333.11
5,3,114.10,22.48,232.46,289.53,346.59,288.98,356.69,424.39,301.40,366.90,432.40
5,4,114.10,22.48,262.08,326.31,390.53,320.45,396.97,473.49,338.17,417.61,497.04
5,5,114.10,22.48,279.12,348.95,418.77,343.11,428.07,513.03,369.62,456.70,543.77
5,6,114.10,22.48,293.39,367.64,441.90,359.25,449.54,539.83,395.80,491.43,587.06
