return_period,duration,longitude,latitude,historical_low_mm/hour,historical_mm/hour,historical_upp_mm/hour,ssp245_low_mm/hour,ssp245_mm/hour,ssp245_upp_mm/hour,ssp585_low_mm/hour,ssp585_mm/hour,ssp585_upp_mm/hour
2,1,114.010,22.285,73.320,88.290,103.260,89.720,110.040,130.360,96.880,116.230,135.580
2,2,114.010,22.285,105.320,127.470,149.630,133.390,165.400,197.410,140.460,171.460,202.460
2,3,114.010,22.285,125.390,151.690,177.980,156.420,196.530,236.630,166.780,203.790,240.810
2,4,114.010,22.285,137.440,167.100,196.750,168.890,215.070,261.260,192.210,234.800,277.390
2,5,114.010,22.285,145.630,177.800,209.970,178.480,228.250,278.020,211.960,259.850,307.740
2,6,114.010,22.285,154.210,188.480,222.760,187.840,240.130,292.430,227.850,279.620,331.400
2,9,114.010,22.285,168.510,205.970,243.440,210.770,269.860,328.950,251.340,309.450,367.560
2,12,114.010,22.285,177.740,217.950,258.160,221.460,285.600,349.750,270.090,332.920,395.750
2,18,114.010,22.285,185.820,229.320,272.810,235.520,303.670,371.820,298.850,369.580,440.320
2,24,114.010,22.285,194.000,240.620,287.240,247.500,319.180,390.850,313.870,390.190,466.510
2,48,114.010,22.285,215.970,269.420,322.860,262.720,338.900,415.070,327.260,408.320,489.380
2,72,114.010,22.285,227.060,282.430,337.800,268.470,345.040,421.610,342.750,423.740,504.740
2,96,114.010,22.285,226.940,281.620,336.290,274.030,351.590,429.160,353.640,434.990,516.330
2,120,114.010,22.285,236.020,291.810,347.600,284.940,366.140,447.340,367.900,450.790,533.680
2,144,114.010,22.285,239.050,294.960,350.870,290.310,373.280,456.240,371.100,454.690,538.290
2,168,114.010,22.285,242.440,297.560,352.680,291.430,374.580,457.730,372.360,456.750,541.150
5,1,114.010,22.285,118.160,144.370,170.580,151.360,184.540,217.720,154.690,185.460,216.220
5,2,114.010,22.285,171.600,212.040,252.480,228.800,279.480,330.160,233.200,287.420,341.640
5,3,114.010,22.285,204.830,255.460,306.080,275.300,343.080,410.870,277.800,346.850,415.900
5,4,114.010,22.285,227.150,286.800,346.450,305.120,390.810,476.500,320.320,400.890,481.460
5,5,114.010,22.285,242.840,309.880,376.920,326.570,425.200,523.840,354.530,445.500,536.470
