return_period,duration,longitude,latitude,historical_low_mm/hour,historical_mm/hour,historical_upp_mm/hour,ssp245_low_mm/hour,ssp245_mm/hour,ssp245_upp_mm/hour,ssp585_low_mm/hour,ssp585_mm/hour,ssp585_upp_mm/hour
2,1,114.07,22.41,75.60,89.00,102.40,93.06,111.38,129.70,105.99,124.46,142.93
2,2,114.07,22.41,114.57,135.74,156.91,143.32,176.71,210.10,153.15,183.14,213.14
2,3,114.07,22.41,135.66,161.78,187.90,168.95,210.39,251.83,185.60,226.03,266.47
2,4,114.07,22.41,149.57,179.12,208.68,189.61,237.83,286.05,208.61,254.05,299.50
2,5,114.07,22.41,162.85,195.66,228.48,200.92,252.58,304.24,227.29,277.87,328.45
2,6,114.07,22.41,170.66,206.27,241.89,212.19,267.19,322.19,247.05,302.09,357.14
2,9,114.07,22.41,184.66,226.38,268.11,233.55,295.84,358.14,284.47,350.27,416.06
2,12,114.07,22.41,191.27,235.27,279.28,244.56,311.42,378.27,313.35,389.48,465.61
2,18,114.07,22.41,203.06,250.03,296.99,263.45,337.55,411.65,336.77,421.52,506.27
2,24,114.07,22.41,211.24,260.13,309.01,276.79,355.87,434.95,344.13,432.94,521.75
2,48,114.07,22.41,226.90,279.53,332.16,296.03,380.94,465.84,360.77,455.55,550.34
2,72,114.07,22.41,236.82,288.62,340.43,309.05,392.02,474.99,379.97,476.84,573.71
2,96,114.07,22.41,242.36,294.38,346.40,315.75,399.32,482.90,389.25,483.69,578.14
2,120,114.07,22.41,249.47,300.86,352.25,324.58,410.98,497.38,398.00,492.61,587.23
2,144,114.07,22.41,256.23,309.02,361.81,331.22,419.93,508.64,407.53,505.46,603.39
2,168,114.07,22.41,260.19,314.06,367.93,337.03,428.85,520.68,406.83,506.56,606.30
5,1,114.07,22.41,116.35,139.79,163.23,147.50,175.89,204.29,160.60,190.89,221.17
5,2,114.07,22.41,178.67,215.31,251.96,240.14,294.63,349.11,240.83,293.90,346.96
5,3,114.07,22.41,215.26,261.58,307.91,289.49,360.93,432.37,303.14,376.98,450.82
5,4,114.07,22.41,240.23,293.37,346.51,328.65,412.80,496.96,342.00,426.26,510.51
5,5,114.07,22.41,262.71,321.66,380.61,351.72,445.47,539.21,375.69,469.24,562.78
5,6,114.07,22.41,279.28,344.73,410.19,372.53,471.79,571.05,408.07,506.21,604.36
5,9,114.07,22.41,310.97,393.35,475.73,414.77,529.13,643.49,474.61,585.89,697.17
5,12,114.07,22.41,323.01,413.28,503.54,441.57,572.55,703.54,526.90,654.20,781.50
5,18,114.07,22.41,343.28,440.55,537.81,482.62,636.61,790.60,577.24,713.65,850.07
5,24,114.07,22.41,356.71,458.02,559.33,510.30,676.21,842.12,599.75,749.23,898.71
5,48,114.07,22.41,383.74,494.73,605.72,548.10,728.79,909.47,640.07,821.47,1002.86
5,72,114.07,22.41,393.93,500.48,607.03,556.92,737.41,917.91,661.54,850.33,1039.12
5,96,114.07,22.41,401.15,506.25,611.36,564.88,744.65,924.42,668.42,853.20,1037.97
5,120,114.07,22.41,405.56,512.96,620.37,580.68,764.52,948.36,679.93,862.46,1045.00
5,144,114.07,22.41,417.00,526.46,635.91,594.52,781.16,967.80,695.99,883.92,1071.84
5,168,114.07,22.41,423.28,535.81,648.34,607.68,804.67,1001.66,703.05,903.78,1104.52
10,1,114.07,22.41,142.11,179.02,215.92,179.62,221.56,263.49,193.05,240.43,287.82
10,2,114.07,22.41,218.78,276.70,334.62,296.39,383.84,471.28,293.28,382.97,472.66
10,3,114.07,22.41,265.54,339.85,414.16,360.71,480.02,599.33,373.29,502.11,630.94
10,4,114.07,22.41,297.95,384.11,470.28,410.69,552.75,694.82,422.89,569.70,716.50
10,5,114.07,22.41,326.14,421.38,516.61,441.89,603.34,764.78,465.73,628.48,791.23
