return_period,duration,longitude,latitude,historical_low_mm/hour,historical_mm/hour,historical_upp_mm/hour,ssp245_low_mm/hour,ssp245_mm/hour,ssp245_upp_mm/hour,ssp585_low_mm/hour,ssp585_mm/hour,ssp585_upp_mm/hour
2,1,114.27,22.41,83.69,96.53,109.37,96.75,112.27,127.79,119.42,140.53,161.64
2,2,114.27,22.41,118.91,138.26,157.61,141.89,167.18,192.47,175.06,206.66,238.26
2,3,114.27,22.41,141.77,165.76,189.74,170.83,203.16,235.50,212.39,250.88,289.37
2,4,114.27,22.41,160.42,188.21,215.99,194.60,233.01,271.41,247.49,292.95,338.42
2,5,114.27,22.41,174.88,205.77,236.66,215.11,257.84,300.57,272.53,324.47,376.41
2,6,114.27,22.41,184.73,217.83,250.93,229.63,275.46,321.28,290.66,347.35,404.04
2,9,114.27,22.41,202.25,238.43,274.61,258.46,311.82,365.18,332.98,398.93,464.87
2,12,114.27,22.41,211.27,248.81,286.35,285.29,344.85,404.42,352.31,426.58,500.84
2,18,114.27,22.41,221.45,260.89,300.33,299.32,363.14,426.95,373.44,459.20,544.95
2,24,114.27,22.41,230.41,272.46,314.52,309.03,375.24,441.46,381.58,470.58,559.59
2,48,114.27,22.41,250.81,297.52,344.24,329.63,399.01,468.39,394.69,489.08,583.48
2,72,114.27,22.41,268.49,317.61,366.73,338.89,407.48,476.08,408.28,502.26,596.23
2,96,114.27,22.41,279.16,329.40,379.65,350.33,418.11,485.90,422.90,518.50,614.09
2,120,114.27,22.41,291.12,343.06,394.99,357.20,425.48,493.76,428.64,526.02,623.40
2,144,114.27,22.41,296.15,349.03,401.91,367.44,437.94,508.43,429.97,529.64,629.31
2,168,114.27,22.41,300.75,353.69,406.62,371.97,443.44,514.91,432.42,536.04,639.67
5,1,114.27,22.41,122.94,145.79,168.65,144.05,169.30,194.55,180.57,212.27,243.97
5,2,114.27,22.41,177.98,213.65,249.32,217.32,258.22,299.13,267.65,320.07,372.50
5,3,114.27,22.41,215.75,261.51,307.26,265.64,317.05,368.46,325.94,390.93,455.91
5,4,114.27,22.41,246.80,302.34,357.88,306.76,365.32,423.89,380.78,453.90,527.01
5,5,114.27,22.41,271.05,332.73,394.41,340.20,403.90,467.60,424.94,507.72,590.51
5,6,114.27,22.41,287.87,354.53,421.19,363.52,429.38,495.25,456.41,545.34,634.28
5,9,114.27,22.41,316.80,390.46,464.12,413.36,487.72,562.08,524.37,623.20,722.04
5,12,114.27,22.41,328.20,408.08,487.97,456.47,537.41,618.35,566.35,678.22,790.08
5,18,114.27,22.41,343.92,427.60,511.27,482.71,571.40,660.09,618.15,749.90,881.65
5,24,114.27,22.41,360.34,449.38,538.42,503.01,602.78,702.54,637.79,778.72,919.64
5,48,114.27,22.41,393.23,494.58,595.92,536.89,655.10,773.32,671.48,854.89,1038.31
5,72,114.27,22.41,418.41,518.89,619.37,545.50,663.66,781.82,685.97,866.44,1046.91
5,96,114.27,22.41,431.30,533.11,634.92,555.58,672.42,789.27,706.04,888.10,1070.17
5,120,114.27,22.41,447.09,552.11,657.13,564.17,681.28,798.38,715.58,899.52,1083.45
5,144,114.27,22.41,453.07,561.24,669.42,580.54,701.78,823.03,723.89,914.71,1105.53
5,168,114.27,22.41,458.03,567.05,676.07,588.41,713.49,838.58,739.42,949.68,1159.95
10,1,114.27,22.41,147.99,184.23,220.47,173.41,210.57,247.72,215.15,262.78,310.41
10,2,114.27,22.41,216.04,274.36,332.68,263.38,324.88,386.38,322.33,406.27,490.22
10,3,114.27,22.41,264.34,340.40,416.46,322.76,400.18,477.59,393.76,497.82,601.89
10,4,114.27,22.41,304.87,398.88,492.90,373.21,459.00,544.79,458.64,572.13,685.62
10,5,114.27,22.41,335.74,439.88,544.02,413.28,503.70,594.12,513.96,641.86,769.75
10,6,114.27,22.41,357.49,470.61,583.73,441.45,532.25,623.05,552.83,689.09,825.35
10,9,114.27,22.41,395.05,520.74,646.42,501.61,603.39,705.16,633.49,779.95,926.42
10,12,114.27,22.41,407.98,548.24,688.51,551.80,661.42,771.04,687.55,855.81,1024.08
10,18,114.27,22.41,427.71,575.45,723.19,585.32,708.50,831.67,755.59,961.10,1166.62
10,24,114.27,22.41,448.32,606.57,764.83,615.66,761.84,908.02,784.39,1008.64,1232.88
10,48,114.27,22.41,488.63,674.46,860.29,664.54,851.02,1037.50,844.41,1165.89,1487.38
10,72,114.27,22.41,517.07,694.60,872.13,673.68,860.68,1047.69,860.08,1173.57,1487.05
10,96,114.27,22.41,530.41,710.21,890.01,683.30,867.28,1051.26,883.75,1196.81,1509.86
10,120,114.27,22.41,548.27,733.80,919.33,692.73,876.88,1061.03,894.48,1209.73,1524.98
10,144,114.27,22.41,553.96,747.80,941.65,711.79,902.95,1094.12,906.46,1238.70,1570.94
10,168,114.27,22.41,559.56,755.28,951.00,724.26,924.11,1123.96,933.98,1314.05,1694.12
25,1,114.27,22.41,175.01,240.62,306.24,205.20,267.08,328.96,244.68,330.25,415.82
25,2,114.27,22.41,256.53,366.03,475.52,309.81,417.13,524.45,370.66,529.73,688.80
25,3,114.27,22.41,317.53,462.07,606.61,377.68,514.91,652.13,455.88,651.51,847.15
25,4,114.27,22.41,370.83,551.43,732.04,436.04,584.76,733.48,528.77,736.29,943.81
25,5,114.27,22.41,409.63,608.86,808.10,483.26,633.43,783.59,594.20,827.48,1060.77
25,6,114.27,22.41,437.24,654.71,872.17,516.73,663.31,809.90,639.23,886.53,1133.84
25,9,114.27,22.41,486.65,729.09,971.53,583.24,748.65,914.06,729.91,987.94,1245.97
25,12,114.27,22.41,498.76,778.01,1057.26,636.54,814.25,991.96,790.52,1093.56,1396.61
25,18,114.27,22.41,522.09,819.60,1117.11,675.61,880.82,1086.03,863.95,1251.39,1638.83
25,24,114.27,22.41,544.47,866.57,1188.66,719.71,972.95,1226.19,902.63,1332.42,1762.21
25,48,114.27,22.41,585.74,979.57,1373.39,791.15,1133.29,1475.43,1000.57,1659.67,2318.78
25,72,114.27,22.41,618.62,980.49,1342.36,803.06,1145.93,1488.80,1020.89,1657.56,2294.24
25,96,114.27,22.41,629.76,997.25,1364.74,814.36,1148.41,1482.47,1051.01,1678.95,2306.89
25,120,114.27,22.41,648.24,1028.22,1408.20,824.21,1158.58,1492.95,1060.64,1691.73,2322.83
25,144,114.27,22.41,649.28,1053.36,1457.43,844.03,1191.91,1539.79,1070.98,1748.17,2425.36
25,168,114.27,22.41,656.25,1064.54,1472.83,863.54,1232.94,1602.35,1107.80,1911.88,2715.97
50,1,114.27,22.41,189.97,288.95,387.94,223.81,312.41,401.01,255.22,383.07,510.92
50,2,114.27,22.41,277.72,446.80,615.88,333.41,491.88,650.36,387.23,633.12,879.00
50,3,114.27,22.41,346.47,571.46,796.46,402.91,607.63,812.35,479.59,780.70,1081.81
50,4,114.27,22.41,408.69,691.81,974.93,464.68,683.70,902.72,555.99,869.71,1183.43
50,5,114.27,22.41,452.62,764.06,1075.50,516.99,732.36,947.74,625.58,977.88,1330.17
50,6,114.27,22.41,483.63,824.68,1165.74,554.21,761.34,968.47,672.94,1045.35,1417.75
50,9,114.27,22.41,541.97,923.01,1304.06,621.12,855.77,1090.41,768.19,1149.74,1531.30
50,12,114.27,22.41,548.84,996.94,1445.04,673.42,924.92,1176.41,826.47,1280.11,1733.75
50,18,114.27,22.41,572.42,1053.86,1535.30,713.40,1008.02,1302.64,890.16,1485.03,2079.90
50,24,114.27,22.41,591.75,1116.42,1641.09,765.55,1137.22,1508.88,931.84,1599.21,2266.58
50,48,114.27,22.41,621.24,1279.86,1938.48,850.80,1371.03,1891.26,1041.76,2116.08,3190.39
50,72,114.27,22.41,661.74,1250.98,1840.22,866.22,1387.30,1908.38,1070.04,2101.75,3133.46
50,96,114.27,22.41,668.69,1267.84,1867.00,880.99,1385.52,1890.04,1108.08,2117.68,3127.27
50,120,114.27,22.41,685.36,1305.70,1926.05,890.71,1395.75,1900.78,1115.14,2128.17,3141.21
