return_period,duration,longitude,latitude,historical_low_mm/hour,historical_mm/hour,historical_upp_mm/hour,ssp245_low_mm/hour,ssp245_mm/hour,ssp245_upp_mm/hour,ssp585_low_mm/hour,ssp585_mm/hour,ssp585_upp_mm/hour
2,1,113.92,22.38,71.95,85.71,99.48,100.81,119.48,138.15,84.54,100.54,116.53
2,2,113.92,22.38,102.16,123.20,144.24,148.93,180.73,212.54,130.54,155.75,180.96
2,3,113.92,22.38,127.56,154.65,181.74,172.59,212.16,251.73,156.52,188.54,220.56
2,4,113.92,22.38,142.75,173.49,204.24,187.56,231.78,275.99,174.85,212.64,250.43
2,5,113.92,22.38,154.31,188.28,222.25,198.84,245.84,292.85,188.35,230.37,272.39
2,6,113.92,22.38,161.29,197.75,234.21,207.25,257.81,308.38,201.65,248.00,294.35
2,9,113.92,22.38,178.36,220.63,262.90,227.96,284.97,341.98,229.95,284.55,339.14
2,12,113.92,22.38,190.22,234.19,278.17,237.07,298.34,359.62,250.08,312.14,374.21
2,18,113.92,22.38,203.48,249.57,295.66,250.33,318.25,386.17,266.06,333.86,401.66
2,24,113.92,22.38,212.27,261.20,310.12,257.64,328.25,398.86,276.19,347.89,419.59
2,48,113.92,22.38,231.02,283.22,335.43,265.01,339.67,414.32,288.37,365.59,442.81
2,72,113.92,22.38,235.37,287.98,340.59,278.52,355.62,432.72,299.38,375.47,451.55
2,96,113.92,22.38,243.93,296.43,348.94,287.56,366.17,444.78,307.03,382.16,457.30
2,120,113.92,22.38,252.81,304.86,356.91,303.09,382.35,461.61,313.02,386.66,460.29
2,144,113.92,22.38,256.51,309.48,362.46,313.04,395.70,478.36,319.68,393.54,467.40
2,168,113.92,22.38,255.63,309.19,362.76,316.59,400.28,483.98,327.66,403.99,480.32
5,1,113.92,22.38,112.96,137.40,161.84,156.11,182.53,208.96,133.76,166.12,198.48
5,2,113.92,22.38,165.09,208.75,252.41,242.89,293.39,343.90,208.92,261.63,314.35
5,3,113.92,22.38,208.32,261.20,314.07,289.03,356.30,423.58,255.39,324.86,394.33
5,4,113.92,22.38,234.12,294.30,354.49,318.39,399.09,479.80,291.17,374.23,457.29
5,5,113.92,22.38,254.90,321.99,389.07,338.68,426.89,515.10,315.72,409.66,503.59
5,6,113.92,22.38,268.80,341.82,414.84,357.44,454.47,551.49,340.34,439.95,539.57
5,9,113.92,22.38,300.90,384.66,468.42,396.75,503.79,610.82,391.48,504.13,616.79
5,12,113.92,22.38,318.52,401.73,484.94,418.35,535.55,652.75,431.70,553.52,675.34
5,18,113.92,22.38,337.92,422.76,507.60,449.37,589.77,730.17,465.99,602.00,738.00
5,24,113.92,22.38,355.27,444.47,533.66,466.72,610.07,753.43,487.83,634.04,780.25
5,48,113.92,22.38,383.16,472.97,562.77,486.90,647.13,807.36,517.52,686.41,855.31
5,72,113.92,22.38,388.26,478.21,568.16,504.17,668.99,833.81,526.97,698.40,869.83
5,96,113.92,22.38,396.71,485.16,573.60,517.73,682.91,848.08,534.95,701.68,868.41
5,120,113.92,22.38,406.27,494.71,583.15,538.59,698.44,858.29,539.02,700.25,861.49
5,144,113.92,22.38,413.05,503.63,594.20,557.47,721.10,884.73,547.68,707.93,868.18
5,168,113.92,22.38,413.25,510.60,607.96,565.61,735.43,905.25,563.67,732.87,902.07
10,1,113.92,22.38,138.27,178.04,217.81,187.82,223.78,259.74,166.29,222.81,279.34
10,2,113.92,22.38,205.60,285.15,364.69,298.69,375.39,452.09,262.43,354.83,447.24
10,3,113.92,22.38,259.28,352.23,445.18,358.62,467.62,576.62,323.18,448.03,572.87
10,4,113.92,22.38,291.48,398.05,504.61,398.43,534.37,670.31,370.73,522.54,674.34
10,5,113.92,22.38,318.06,437.67,557.29,425.74,576.61,727.47,401.02,578.19,755.37
10,6,113.92,22.38,336.03,467.52,599.01,451.09,620.03,788.97,431.16,616.47,801.78
10,9,113.92,22.38,374.69,526.04,677.40,500.79,685.30,869.81,493.45,701.00,908.54
10,12,113.92,22.38,396.86,542.92,688.98,530.56,735.73,940.89,544.22,764.95,985.68
10,18,113.92,22.38,418.26,565.06,711.87,575.96,831.10,1086.24,591.16,840.10,1089.05
10,24,113.92,22.38,440.51,594.95,749.40,598.33,859.20,1120.07,621.37,890.96,1160.56
10,48,113.92,22.38,473.00,622.53,772.07,628.35,932.44,1236.53,666.20,988.06,1309.92
10,72,113.92,22.38,478.18,628.08,777.98,648.20,955.32,1262.44,678.17,1005.23,1332.28
10,96,113.92,22.38,486.52,630.55,774.59,663.92,968.66,1273.41,688.03,1000.74,1313.44
10,120,113.92,22.38,498.46,640.76,783.06,688.72,974.51,1260.29,692.40,990.62,1288.85
10,144,113.92,22.38,507.56,653.54,799.52,711.84,1001.75,1291.67,702.78,996.04,1289.30
10,168,113.92,22.38,509.44,674.61,839.78,724.97,1029.66,1334.35,726.29,1038.20,1350.10
25,1,113.92,22.38,162.93,238.07,313.21,218.68,275.34,332.00,200.52,314.22,427.91
25,2,113.92,22.38,243.01,412.11,581.21,351.46,488.26,625.05,322.68,507.65,692.63
25,3,113.92,22.38,306.44,497.42,688.39,421.14,629.38,837.62,398.17,654.95,911.74
25,4,113.92,22.38,343.24,564.29,785.34,471.72,739.41,1007.11,456.16,775.37,1094.58
25,5,113.92,22.38,374.31,624.36,874.42,507.11,808.29,1109.48,483.52,871.99,1260.47
25,6,113.92,22.38,394.49,671.95,949.41,536.80,880.52,1224.23,515.39,917.91,1320.43
25,9,113.92,22.38,432.41,753.40,1074.40,594.60,967.00,1339.41,580.63,1029.34,1478.05
25,12,113.92,22.38,462.87,765.29,1067.71,630.21,1051.38,1472.56,636.71,1110.04,1583.37
25,18,113.92,22.38,484.22,783.98,1083.75,689.16,1230.39,1771.62,695.74,1233.72,1771.69
25,24,113.92,22.38,509.64,826.33,1143.02,712.62,1269.29,1825.96,733.84,1320.07,1906.30
25,48,113.92,22.38,547.97,844.01,1140.04,745.25,1423.85,2102.46,793.47,1514.02,2234.56
25,72,113.92,22.38,552.02,849.89,1147.77,772.39,1441.38,2110.38,817.07,1545.50,2273.93
25,96,113.92,22.38,563.28,841.39,1119.50,790.70,1448.06,2105.43,837.98,1519.96,2201.95
25,120,113.92,22.38,583.27,852.24,1121.21,827.92,1423.88,2019.84,849.98,1489.70,2129.43
25,144,113.92,22.38,595.38,871.37,1147.36,853.18,1453.30,2053.41,866.07,1486.51,2106.95
25,168,113.92,22.38,595.08,924.84,1254.61,873.15,1510.92,2148.68,900.93,1564.31,2227.70
50,1,113.92,22.38,173.64,289.86,406.09,234.53,313.18,391.84,216.34,399.95,583.56
50,2,113.92,22.38,252.02,534.67,817.33,375.01,579.24,783.47,355.10,653.31,951.52
50,3,113.92,22.38,320.38,632.19,944.00,443.02,766.75,1090.49,435.23,856.79,1278.34
50,4,113.92,22.38,356.33,719.31,1082.29,496.24,920.72,1345.21,493.64,1025.40,1557.17
50,5,113.92,22.38,386.89,799.61,1212.33,534.94,1017.27,1499.61,504.17,1168.76,1833.35
50,6,113.92,22.38,404.70,865.28,1325.87,562.10,1119.22,1676.34,533.10,1216.52,1899.94
50,9,113.92,22.38,433.24,966.11,1498.99,621.75,1221.80,1821.84,590.20,1347.38,2104.57
50,12,113.92,22.38,474.20,969.24,1464.28,655.03,1341.26,2027.48,644.20,1437.52,2230.85
50,18,113.92,22.38,494.99,980.34,1465.68,711.12,1614.23,2517.33,704.91,1611.79,2518.67
50,24,113.92,22.38,519.85,1033.73,1547.61,730.45,1661.60,2592.75,743.29,1736.27,2729.25
50,48,113.92,22.38,565.73,1035.52,1505.31,744.51,1914.59,3084.67,798.02,2045.38,3292.75
50,72,113.92,22.38,567.96,1041.61,1515.26,783.97,1920.17,3056.37,837.25,2096.42,3355.59
50,96,113.92,22.38,585.50,1020.07,1454.64,806.26,1915.02,3023.79,879.39,2042.42,3205.45
50,120,113.92,22.38,615.63,1031.23,1446.84,865.99,1849.23,2832.46,907.48,1987.13,3066.78
50,144,113.92,22.38,629.69,1056.34,1483.00,891.20,1875.98,2860.76,933.36,1970.92,3008.47
50,168,113.92,22.38,619.98,1147.51,1675.03,913.45,1968.54,3023.63,975.76,2089.92,3204.08
