return_period,duration,longitude,latitude,historical_low_mm/hour,historical_mm/hour,historical_upp_mm/hour,ssp245_low_mm/hour,ssp245_mm/hour,ssp245_upp_mm/hour,ssp585_low_mm/hour,ssp585_mm/hour,ssp585_upp_mm/hour
2,1,114.080,22.435,72.560,85.600,98.650,97.520,115.100,132.670,103.880,122.580,141.280
2,2,114.080,22.435,107.820,125.960,144.100,149.710,178.920,208.120,162.550,193.270,223.990
2,3,114.080,22.435,129.630,151.770,173.910,175.600,211.720,247.840,196.420,234.740,273.050
2,4,114.080,22.435,144.220,169.650,195.070,192.270,234.090,275.910,216.860,260.290,303.720
2,5,114.080,22.435,154.370,182.270,210.170,203.010,248.700,294.390,235.590,283.910,332.220
2,6,114.080,22.435,162.390,191.890,221.380,211.590,259.920,308.250,250.520,302.570,354.620
2,9,114.080,22.435,176.570,211.820,247.060,227.580,282.060,336.550,286.640,348.580,410.520
2,12,114.080,22.435,184.320,222.400,260.480,235.570,295.550,355.530,303.610,372.950,442.290
2,18,114.080,22.435,194.440,235.310,276.180,250.340,316.400,382.470,336.350,413.280,490.210
2,24,114.080,22.435,203.110,245.900,288.690,264.030,334.600,405.160,346.730,428.300,509.860
2,48,114.080,22.435,220.830,267.420,314.010,287.210,364.680,442.150,358.250,447.320,536.390
2,72,114.080,22.435,230.250,276.210,322.160,309.460,386.700,463.950,361.560,450.460,539.360
2,96,114.080,22.435,238.790,285.820,332.850,312.630,389.060,465.480,373.900,462.240,550.570
2,120,114.080,22.435,249.060,296.780,344.490,324.230,404.440,484.650,382.650,471.970,561.300
2,144,114.080,22.435,255.930,305.160,354.400,337.260,422.470,507.670,390.060,482.400,574.740
2,168,114.080,22.435,260.180,310.600,361.020,330.690,414.290,497.900,391.460,486.660,581.870
5,1,114.080,22.435,112.770,136.880,161.000,148.980,174.970,200.970,157.640,185.860,214.070
5,2,114.080,22.435,163.460,197.470,231.480,234.670,278.050,321.420,252.030,298.600,345.170
5,3,114.080,22.435,198.110,240.120,282.120,281.190,338.030,394.870,308.750,368.680,428.610
5,4,114.080,22.435,223.150,272.590,322.020,314.280,382.490,450.700,344.790,414.570,484.360
5,5,114.080,22.435,241.000,296.140,351.280,337.770,416.860,495.950,377.630,456.150,534.660
5,6,114.080,22.435,254.840,312.510,370.180,354.190,438.250,522.320,403.840,489.050,574.250
5,9,114.080,22.435,285.560,360.150,434.750,387.880,485.560,583.230,467.040,564.000,660.960
5,12,114.080,22.435,300.120,385.450,470.790,410.640,525.990,641.340,503.560,611.070,718.590
5,18,114.080,22.435,317.360,410.620,503.880,443.430,578.290,713.140,558.120,675.240,792.360
5,24,114.080,22.435,332.150,428.100,524.040,470.990,613.960,756.930,583.240,714.100,844.960
5,48,114.080,22.435,363.370,466.100,568.820,513.630,671.280,828.920,620.410,784.110,947.820
5,72,114.080,22.435,371.820,472.990,574.170,536.240,691.450,846.670,626.710,791.060,955.420
5,96,114.080,22.435,383.960,484.800,585.640,539.000,692.980,846.950,638.120,803.700,969.270
5,120,114.080,22.435,397.100,497.870,598.650,560.190,716.000,871.820,651.670,818.160,984.650
5,144,114.080,22.435,408.570,511.930,615.290,580.880,745.700,910.520,667.220,838.760,1010.300
5,168,114.080,22.435,415.350,523.490,631.630,577.330,743.540,909.740,678.120,865.380,1052.650
10,1,114.080,22.435,139.000,177.960,216.910,178.400,216.040,253.680,188.010,231.030,274.050
10,2,114.080,22.435,199.700,255.480,311.270,282.890,346.900,410.900,303.230,373.170,443.100
10,3,114.080,22.435,243.220,311.980,380.750,342.490,429.940,517.390,374.220,465.220,556.210
10,4,114.080,22.435,275.750,357.890,440.020,385.690,493.810,601.920,420.420,528.130,635.830
10,5,114.080,22.435,298.720,391.480,484.250,418.930,548.240,677.540,461.690,584.260,706.830
10,6,114.080,22.435,317.330,414.150,510.970,440.250,578.120,715.990,494.880,628.480,762.080
10,9,114.080,22.435,360.200,492.300,624.390,485.220,649.780,814.350,571.820,720.170,868.510
10,12,114.080,22.435,378.930,538.280,697.640,517.160,723.830,930.490,617.620,784.390,951.150
10,18,114.080,22.435,400.070,578.360,756.650,561.200,814.210,1067.220,684.850,862.210,1039.570
10,24,114.080,22.435,418.470,599.610,780.750,598.110,864.860,1131.610,723.050,926.960,1130.860
10,48,114.080,22.435,459.970,650.680,841.380,655.260,945.610,1235.970,784.410,1058.000,1331.590
10,72,114.080,22.435,468.740,653.850,838.960,679.450,956.490,1233.540,794.580,1071.370,1348.160
