return_period,duration,longitude,latitude,historical_low_mm/hour,historical_mm/hour,historical_upp_mm/hour,ssp245_low_mm/hour,ssp245_mm/hour,ssp245_upp_mm/hour,ssp585_low_mm/hour,ssp585_mm/hour,ssp585_upp_mm/hour
2,1,114.31,22.30,78.18,90.86,103.54,87.66,108.01,128.36,105.71,128.15,150.58
2,2,114.31,22.30,113.94,134.11,154.28,132.99,164.95,196.91,167.36,200.06,232.75
2,3,114.31,22.30,136.82,161.73,186.63,161.13,200.89,240.64,202.99,243.41,283.83
2,4,114.31,22.30,150.55,178.91,207.28,178.82,225.17,271.52,228.61,275.99,323.37
2,5,114.31,22.30,162.54,193.30,224.06,192.55,243.04,293.53,245.20,297.02,348.85
2,6,114.31,22.30,175.29,208.38,241.48,203.96,257.48,311.00,260.73,317.44,374.16
2,9,114.31,22.30,194.94,233.39,271.83,226.23,287.13,348.02,291.55,356.49,421.44
2,12,114.31,22.30,204.65,245.38,286.11,239.71,304.46,369.21,309.83,380.51,451.20
2,18,114.31,22.30,214.40,257.74,301.08,246.73,314.65,382.56,332.46,410.95,489.43
2,24,114.31,22.30,222.70,268.41,314.12,254.47,324.96,395.45,344.99,428.23,511.46
2,48,114.31,22.30,236.78,287.62,338.46,284.81,360.41,436.02,353.83,444.61,535.39
2,72,114.31,22.30,242.82,293.30,343.79,287.74,363.17,438.61,374.30,472.30,570.29
2,96,114.31,22.30,247.48,297.81,348.15,296.92,371.01,445.10,374.67,469.35,564.03
2,120,114.31,22.30,251.97,303.32,354.68,308.14,384.35,460.56,386.37,484.06,581.75
2,144,114.31,22.30,255.16,307.86,360.57,319.03,400.13,481.23,387.81,487.80,587.79
2,168,114.31,22.30,258.28,311.83,365.38,327.21,410.70,494.20,393.75,497.72,601.69
5,1,114.31,22.30,116.44,135.29,154.14,148.73,182.75,216.76,171.56,211.37,251.19
5,2,114.31,22.30,175.27,207.23,239.18,228.64,283.46,338.29,265.42,325.08,384.73
5,3,114.31,22.30,212.57,252.68,292.79,279.78,348.18,416.58,324.85,402.36,479.86
5,4,114.31,22.30,237.19,284.47,331.75,316.21,397.68,479.14,372.17,469.48,566.78
5,5,114.31,22.30,256.98,308.99,361.01,342.28,431.48,520.69,402.47,509.80,617.12
5,6,114.31,22.30,276.47,332.27,388.06,362.93,458.08,553.23,432.13,549.49,666.86
5,9,114.31,22.30,312.53,380.76,448.99,406.99,515.50,624.01,486.03,615.77,745.51
5,12,114.31,22.30,329.21,401.55,473.89,432.56,549.22,665.89,519.73,657.25,794.77
5,18,114.31,22.30,346.76,422.55,498.33,451.41,580.26,709.12,562.28,710.17,858.07
5,24,114.31,22.30,361.15,439.33,517.51,467.54,603.76,739.98,590.95,747.16,903.36
5,48,114.31,22.30,388.02,474.55,561.08,513.49,660.47,807.45,621.13,802.81,984.48
5,72,114.31,22.30,393.76,480.91,568.05,515.90,664.93,813.96,650.25,848.96,1047.67
5,96,114.31,22.30,398.66,484.95,571.23,523.24,669.82,816.40,651.43,839.15,1026.86
5,120,114.31,22.30,405.15,493.28,581.42,540.66,689.03,837.39,669.45,859.64,1049.84
5,144,114.31,22.30,411.78,502.96,594.14,564.46,721.98,879.50,678.59,872.85,1067.12
5,168,114.31,22.30,416.96,509.21,601.46,580.17,743.37,906.57,696.06,906.14,1116.22
10,1,114.31,22.30,139.08,165.20,191.31,185.97,238.79,291.62,210.99,277.82,344.64
10,2,114.31,22.30,212.41,258.93,305.45,287.30,374.63,461.96,326.70,425.41,524.11
10,3,114.31,22.30,258.62,318.19,377.76,352.44,462.00,571.57,402.55,534.61,666.67
10,4,114.31,22.30,290.75,362.67,434.58,400.71,533.67,666.63,466.42,638.29,810.16
10,5,114.31,22.30,316.03,395.75,475.47,434.28,581.04,727.80,506.16,696.52,886.88
10,6,114.31,22.30,339.30,424.53,509.77,460.84,617.15,773.46,544.75,753.27,961.78
10,9,114.31,22.30,386.77,495.03,603.29,518.67,696.97,875.28,611.53,838.14,1064.75
10,12,114.31,22.30,407.94,523.06,638.18,553.09,745.38,937.67,652.83,890.49,1128.15
10,18,114.31,22.30,429.43,549.25,669.08,582.19,801.14,1020.08,704.45,957.42,1210.40
10,24,114.31,22.30,446.74,569.26,691.79,604.57,839.26,1073.96,743.67,1011.91,1280.14
10,48,114.31,22.30,479.88,617.20,754.51,661.16,914.29,1167.41,787.45,1120.01,1452.58
10,72,114.31,22.30,485.89,624.82,763.74,663.49,925.51,1187.53,817.28,1183.20,1549.11
10,96,114.31,22.30,491.00,627.49,763.98,670.52,925.97,1181.42,820.72,1165.85,1510.99
10,120,114.31,22.30,498.51,638.88,779.25,691.79,947.20,1202.60,841.28,1185.48,1529.68
10,144,114.31,22.30,507.20,653.60,800.01,722.46,994.93,1267.39,854.02,1209.68,1565.33
10,168,114.31,22.30,513.24,661.26,809.27,743.52,1027.09,1310.67,879.76,1272.22,1664.68
25,1,114.31,22.30,162.56,203.55,244.55,223.02,318.08,413.14,245.15,377.37,509.59
25,2,114.31,22.30,251.50,328.28,405.06,344.75,506.65,668.54,387.14,576.45,765.77
25,3,114.31,22.30,306.60,407.52,508.45,422.79,627.52,832.26,480.13,740.45,1000.78
25,4,114.31,22.30,347.31,472.06,596.81,481.19,735.08,988.97,562.74,912.82,1262.91
25,5,114.31,22.30,379.36,518.49,657.62,520.81,803.88,1086.95,612.60,1001.80,1391.01
25,6,114.31,22.30,406.16,554.25,702.34,554.00,854.03,1154.05,659.08,1086.64,1514.21
25,9,114.31,22.30,465.80,661.70,857.59,625.39,967.68,1309.98,736.14,1194.08,1652.02
25,12,114.31,22.30,491.54,700.85,910.16,670.67,1040.32,1409.97,781.18,1257.83,1734.48
25,18,114.31,22.30,515.63,732.64,949.65,712.30,1144.71,1577.12,834.85,1339.77,1844.70
25,24,114.31,22.30,534.26,755.38,976.50,740.72,1210.93,1681.14,883.68,1423.08,1962.48
25,48,114.31,22.30,568.53,822.25,1075.98,809.81,1315.40,1820.99,924.15,1643.06,2361.97
25,72,114.31,22.30,575.92,832.66,1089.40,808.08,1345.24,1882.39,941.07,1735.37,2529.66
25,96,114.31,22.30,582.31,832.03,1081.75,819.83,1335.78,1851.73,951.53,1703.38,2455.24
25,120,114.31,22.30,589.21,849.00,1108.78,846.55,1355.85,1865.14,975.30,1712.58,2449.86
25,144,114.31,22.30,598.94,872.49,1146.04,879.50,1427.31,1975.12,984.42,1758.75,2533.08
25,168,114.31,22.30,604.97,881.70,1158.44,906.00,1478.89,2051.79,1013.83,1882.68,2751.52
50,1,114.31,22.30,175.81,232.43,289.04,241.03,383.70,526.37,254.46,464.43,674.40
50,2,114.31,22.30,273.63,382.79,491.94,370.86,618.38,865.90,413.41,709.15,1004.88
50,3,114.31,22.30,333.05,478.88,624.71,453.62,768.18,1082.74,512.94,927.14,1341.33
50,4,114.31,22.30,378.68,561.63,744.58,513.78,909.25,1304.73,602.63,1172.45,1742.27
50,5,114.31,22.30,415.20,620.07,824.93,554.13,997.73,1441.34,656.81,1291.99,1927.17
50,6,114.31,22.30,443.64,660.95,878.27,591.16,1059.95,1528.73,704.69,1403.72,2102.74
50,9,114.31,22.30,508.80,803.74,1098.68,668.37,1203.43,1738.49,784.69,1525.63,2266.58
50,12,114.31,22.30,536.64,852.84,1169.03,720.27,1299.11,1877.95,828.09,1594.77,2361.46
50,18,114.31,22.30,560.88,887.77,1214.66,766.80,1456.14,2145.48,875.97,1684.42,2492.86
50,24,114.31,22.30,578.81,911.27,1243.73,795.87,1552.52,2309.17,927.28,1795.21,2663.14
50,48,114.31,22.30,607.71,994.58,1381.45,872.37,1684.50,2496.64,932.77,2144.25,3355.73
50,72,114.31,22.30,616.74,1008.13,1399.51,861.11,1738.57,2616.03,924.41,2265.40,3606.39
50,96,114.31,22.30,625.32,1003.65,1381.97,882.51,1717.34,2552.17,946.07,2217.37,3488.67
50,120,114.31,22.30,629.81,1026.26,1422.71,915.03,1732.46,2549.89,975.88,2208.55,3441.22
50,144,114.31,22.30,638.44,1058.35,1478.25,942.66,1826.10,2709.54,972.21,2279.18,3586.16
50,168,114.31,22.30,643.63,1068.50,1493.37,970.76,1897.66,2824.57,989.93,2473.89,3957.86
100,1,114.31,22.30,185.37,261.44,337.51,249.16,455.18,661.20,245.64,563.85,882.06
100,2,114.31,22.30,289.15,439.62,590.08,379.04,742.46,1105.88,417.78,861.27,1304.76
100,3,114.31,22.30,350.48,554.31,758.14,461.15,924.91,1388.68,514.42,1147.07,1779.73
100,4,114.31,22.30,398.98,658.32,917.65,515.83,1106.27,1696.70,598.42,1489.51,2380.61
100,5,114.31,22.30,439.04,730.72,1022.41,552.34,1218.11,1883.88,651.84,1647.92,2644.00
