return_period,duration,longitude,latitude,historical_low_mm/hour,historical_mm/hour,historical_upp_mm/hour,ssp245_low_mm/hour,ssp245_mm/hour,ssp245_upp_mm/hour,ssp585_low_mm/hour,ssp585_mm/hour,ssp585_upp_mm/hour
2,1,114.040,22.325,71.740,85.690,99.650,89.230,107.890,126.550,91.440,110.270,129.100
2,2,114.040,22.325,104.160,126.360,148.560,129.260,160.340,191.420,135.810,165.910,196.000
2,3,114.040,22.325,122.290,149.790,177.300,151.290,192.720,234.140,164.520,202.880,241.250
2,4,114.040,22.325,133.020,164.620,196.220,164.620,211.670,258.720,185.030,229.120,273.200
2,5,114.040,22.325,139.840,174.260,208.680,174.420,225.480,276.540,201.080,251.130,301.170
2,6,114.040,22.325,150.500,187.390,224.290,185.400,240.350,295.300,215.060,268.180,321.300
2,9,114.040,22.325,167.390,208.580,249.780,206.150,267.830,329.510,242.390,302.090,361.800
2,12,114.040,22.325,179.100,222.700,266.290,208.570,271.920,335.260,261.970,328.430,394.890
2,18,114.040,22.325,188.220,234.970,281.720,219.140,285.850,352.570,285.410,357.500,429.580
2,24,114.040,22.325,197.330,246.540,295.750,224.520,293.360,362.210,299.950,376.580,453.220
2,48,114.040,22.325,218.720,273.030,327.340,237.670,309.990,382.320,315.140,397.390,479.630
2,72,114.040,22.325,226.310,281.480,336.650,244.840,317.420,390.000,323.590,404.360,485.140
2,96,114.040,22.325,233.330,289.290,345.240,249.560,322.860,396.160,335.680,415.820,495.950
2,120,114.040,22.325,237.610,293.020,348.440,266.590,347.290,427.980,341.950,422.540,503.130
2,144,114.040,22.325,240.450,296.460,352.470,261.000,339.190,417.380,348.820,429.660,510.500
2,168,114.040,22.325,242.200,298.550,354.890,265.480,345.980,426.470,356.180,439.580,522.980
5,1,114.040,22.325,114.160,139.430,164.710,145.330,174.630,203.940,148.080,179.380,210.680
5,2,114.040,22.325,170.490,212.810,255.130,221.000,271.120,321.250,226.060,279.970,333.890
5,3,114.040,22.325,204.490,259.370,314.260,272.630,349.370,426.100,279.280,349.180,419.090
5,4,114.040,22.325,226.840,292.350,357.870,303.690,395.170,486.640,316.790,399.900,483.010
5,5,114.040,22.325,242.610,317.270,391.930,325.910,430.330,534.760,348.060,445.750,543.440
5,6,114.040,22.325,260.980,339.960,418.950,345.590,460.900,576.210,371.000,473.350,575.690
5,9,114.040,22.325,291.380,380.640,469.890,384.510,515.390,646.280,419.890,533.520,647.150
5,12,114.040,22.325,310.300,402.570,494.830,396.080,540.670,685.270,457.470,586.260,715.060
5,18,114.040,22.325,328.730,427.640,526.560,415.830,574.570,733.300,499.480,633.810,768.140
5,24,114.040,22.325,344.960,448.770,552.590,428.740,593.230,757.730,526.900,669.260,811.610
