return_period,duration,longitude,latitude,historical_low_mm/hour,historical_mm/hour,historical_upp_mm/hour,ssp245_low_mm/hour,ssp245_mm/hour,ssp245_upp_mm/hour,ssp585_low_mm/hour,ssp585_mm/hour,ssp585_upp_mm/hour
2,1,114.320,22.435,78.210,92.110,106.010,103.640,121.840,140.040,116.270,139.400,162.530
2,2,114.320,22.435,112.160,131.330,150.500,150.730,178.270,205.810,173.100,207.270,241.440
2,3,114.320,22.435,132.380,155.710,179.040,181.070,214.870,248.660,215.840,257.810,299.780
2,4,114.320,22.435,149.390,175.860,202.330,202.760,242.380,281.990,251.050,300.080,349.110
2,5,114.320,22.435,162.590,191.440,220.300,221.920,265.910,309.900,279.130,336.260,393.390
2,6,114.320,22.435,170.440,201.150,231.860,234.260,281.860,329.450,302.410,366.450,430.500
2,9,114.320,22.435,189.410,225.460,261.510,265.370,322.750,380.130,345.340,419.610,493.890
2,12,114.320,22.435,197.970,236.260,274.560,287.940,352.990,418.030,366.320,447.180,528.050
2,18,114.320,22.435,209.520,250.500,291.480,302.480,371.830,441.190,381.010,470.450,559.890
2,24,114.320,22.435,219.440,262.910,306.390,315.870,386.750,457.630,392.820,486.250,579.680
2,48,114.320,22.435,240.700,287.460,334.220,333.270,409.740,486.200,402.470,500.470,598.480
2,72,114.320,22.435,255.840,302.490,349.150,347.850,424.960,502.070,420.490,520.390,620.290
2,96,114.320,22.435,273.450,322.660,371.870,358.180,436.320,514.470,433.730,532.320,630.920
2,120,114.320,22.435,281.540,332.730,383.930,369.220,445.820,522.420,438.320,538.920,639.510
2,144,114.320,22.435,286.340,338.700,391.060,380.800,458.800,536.800,440.220,543.860,647.490
2,168,114.320,22.435,289.670,342.310,394.950,387.140,467.290,547.440,443.120,549.180,655.250
5,1,114.320,22.435,118.980,143.240,167.500,159.020,190.340,221.660,187.610,234.380,281.140
5,2,114.320,22.435,170.040,206.190,242.340,233.340,280.550,327.750,278.140,347.550,416.960
5,3,114.320,22.435,203.970,249.830,295.700,281.970,337.350,392.740,344.960,427.850,510.750
5,4,114.320,22.435,231.840,286.580,341.330,319.480,383.080,446.670,401.810,495.680,589.560
5,5,114.320,22.435,252.410,311.370,370.330,350.900,419.860,488.830,451.720,557.640,663.570
5,6,114.320,22.435,266.060,328.810,391.560,372.740,446.270,519.800,492.680,608.940,725.200
5,9,114.320,22.435,301.290,373.740,446.180,429.050,511.840,594.640,565.610,696.370,827.120
5,12,114.320,22.435,315.820,393.580,471.350,469.950,559.490,649.040,603.360,743.070,882.780
5,18,114.320,22.435,334.780,418.690,502.600,498.640,599.480,700.330,643.910,800.120,956.340
5,24,114.320,22.435,350.770,438.530,526.290,519.980,627.010,734.050,667.310,833.760,1000.210
5,48,114.320,22.435,380.910,471.900,562.880,555.180,683.840,812.510,695.000,894.820,1094.650
5,72,114.320,22.435,397.430,483.670,569.910,573.520,703.660,833.810,717.350,917.100,1116.860
5,96,114.320,22.435,420.310,507.540,594.760,587.090,719.100,851.110,729.830,922.740,1115.660
