return_period,duration,longitude,latitude,historical_low,historical,historical_upp,ssp245_low,ssp245,ssp245_upp,ssp585_low,ssp585,ssp585_upp
2,1,114.14,22.45,83.09,96.68,110.26,106.10,125.15,144.20,117.10,138.66,160.22
2,2,114.14,22.45,124.69,144.73,164.77,156.27,186.94,217.61,177.05,209.73,242.41
2,3,114.14,22.45,149.06,173.34,197.61,187.47,225.32,263.17,209.35,249.12,288.90
2,4,114.14,22.45,166.45,193.52,220.60,206.68,250.86,295.03,235.82,280.51,325.20
2,5,114.14,22.45,178.08,206.29,234.51,221.29,269.70,318.12,255.55,305.10,354.65
2,6,114.14,22.45,185.40,215.50,245.59,231.50,282.85,334.20,271.10,324.37,377.63
2,9,114.14,22.45,200.91,234.21,267.52,254.91,312.37,369.84,307.38,368.72,430.06
2,12,114.14,22.45,207.19,242.64,278.10,274.97,338.24,401.50,325.93,395.63,465.32
2,18,114.14,22.45,215.95,254.38,292.81,295.43,365.32,435.21,355.24,433.30,511.35
2,24,114.14,22.45,224.04,264.03,304.02,308.13,382.36,456.59,366.80,448.63,530.45
2,48,114.14,22.45,250.74,295.16,339.59,329.10,409.84,490.59,376.19,460.92,545.66
2,72,114.14,22.45,259.96,303.42,346.88,344.95,422.51,500.07,390.27,477.33,564.39
2,96,114.14,22.45,277.86,320.91,363.95,358.29,436.27,514.24,399.70,485.23,570.77
2,120,114.14,22.45,285.58,329.43,373.29,369.07,448.39,527.71,405.75,491.33,576.91
2,144,114.14,22.45,290.84,333.77,376.71,379.26,460.56,541.86,416.04,504.94,593.84
2,168,114.14,22.45,297.47,342.62,387.77,386.48,469.34,552.20,414.18,504.45,594.72
5,1,114.14,22.45,125.98,150.29,174.59,164.47,195.37,226.27,181.49,214.78,248.08
5,2,114.14,22.45,187.89,226.10,264.31,248.40,299.08,349.76,273.97,323.87,373.77
5,3,114.14,22.45,225.41,271.88,318.36,300.59,361.84,423.09,326.07,388.90,451.74
5,4,114.14,22.45,251.97,304.83,357.69,338.27,412.32,486.36,367.56,439.44,511.32
5,5,114.14,22.45,268.81,324.17,379.53,365.33,448.19,531.04,401.63,483.19,564.75
5,6,114.14,22.45,280.59,343.26,405.93,383.87,471.43,558.99,428.36,516.66,604.96
5,9,114.14,22.45,305.19,380.26,455.32,424.71,521.55,618.39,488.52,588.55,688.58
5,12,114.14,22.45,317.11,401.75,486.40,461.35,568.10,674.84,530.94,644.67,758.39
5,18,114.14,22.45,330.43,427.34,524.26,500.59,620.49,740.39,582.70,709.12,835.53
5,24,114.14,22.45,343.55,443.08,542.62,525.92,653.38,780.84,605.97,744.41,882.85
5,48,114.14,22.45,379.68,485.60,591.52,565.73,716.53,867.32,629.53,797.09,964.66
5,72,114.14,22.45,390.54,488.65,586.76,576.55,723.42,870.29,650.51,822.43,994.35
5,96,114.14,22.45,408.80,501.90,595.01,591.14,735.48,879.82,658.42,828.54,998.65
5,120,114.14,22.45,417.35,513.77,610.19,605.05,750.09,895.12,666.77,836.48,1006.19
5,144,114.14,22.45,419.57,516.74,613.92,620.84,770.85,920.86,686.31,860.61,1034.91
5,168,114.14,22.45,430.89,537.14,643.39,635.27,789.80,944.33,688.39,880.64,1072.89
10,1,114.14,22.45,154.12,191.72,229.31,200.98,245.99,290.99,219.30,268.32,317.35
10,2,114.14,22.45,230.21,292.24,354.28,305.09,382.24,459.40,330.34,403.95,477.57
10,3,114.14,22.45,276.68,352.18,427.69,369.44,461.49,553.54,394.06,490.38,586.70
10,4,114.14,22.45,309.79,396.47,483.15,418.62,534.36,650.09,445.05,556.03,667.00
10,5,114.14,22.45,331.20,422.59,513.98,453.29,585.23,717.17,488.24,616.19,744.13
10,6,114.14,22.45,346.66,453.58,560.49,476.54,615.96,755.37,521.97,660.94,799.92
10,9,114.14,22.45,379.25,514.62,649.98,527.20,681.27,835.34,596.79,750.84,904.88
10,12,114.14,22.45,395.41,556.62,717.84,573.22,744.13,915.05,652.76,830.98,1009.20
10,18,114.14,22.45,408.79,604.13,799.46,622.47,818.22,1013.96,716.56,914.78,1113.00
10,24,114.14,22.45,423.61,627.13,830.65,656.34,864.71,1073.08,748.85,971.68,1194.51
10,48,114.14,22.45,463.10,674.36,885.61,712.13,969.66,1227.19,792.05,1084.93,1377.82
10,72,114.14,22.45,476.67,665.70,854.74,722.08,973.04,1224.01,817.98,1118.27,1418.55
10,96,114.14,22.45,496.09,668.11,840.13,737.46,978.93,1220.40,826.83,1122.43,1418.03
10,120,114.14,22.45,504.41,685.96,867.52,752.27,993.53,1234.79,836.19,1129.69,1423.20
10,144,114.14,22.45,504.35,692.41,880.47,771.60,1022.73,1273.86,861.64,1162.02,1462.41
10,168,114.14,22.45,517.73,728.34,938.95,792.59,1051.86,1311.12,870.54,1223.52,1576.50
25,1,114.14,22.45,187.23,251.97,316.70,241.37,315.07,388.77,256.04,339.77,423.49
25,2,114.14,22.45,279.95,393.00,506.04,363.14,498.70,634.25,383.54,510.59,637.64
25,3,114.14,22.45,337.13,474.76,612.38,438.97,599.04,759.11,455.56,629.77,803.98
25,4,114.14,22.45,378.65,537.71,696.76,497.41,708.26,919.10,516.50,717.69,918.88
25,5,114.14,22.45,407.12,576.27,745.42,538.28,783.32,1028.37,568.10,803.64,1039.18
25,6,114.14,22.45,426.53,631.26,835.98,565.23,824.52,1083.81,608.77,865.15,1121.54
25,9,114.14,22.45,467.34,744.18,1021.02,623.34,911.00,1198.67,700.07,977.16,1254.25
25,12,114.14,22.45,482.14,835.57,1189.01,675.99,998.01,1320.03,764.20,1093.98,1423.77
25,18,114.14,22.45,478.59,937.50,1396.41,729.78,1106.46,1483.14,835.63,1204.22,1572.81
25,24,114.14,22.45,487.48,976.07,1464.67,772.40,1174.56,1576.73,877.30,1300.44,1723.58
25,48,114.14,22.45,526.41,1020.17,1513.92,845.89,1360.72,1875.54,949.80,1544.95,2140.10
25,72,114.14,22.45,552.95,979.23,1405.51,861.18,1360.48,1859.77,981.36,1591.58,2201.79
25,96,114.14,22.45,582.26,951.58,1320.90,880.92,1350.11,1819.30,997.95,1592.06,2186.17
25,120,114.14,22.45,585.34,984.38,1383.41,894.96,1361.86,1828.76,1009.68,1594.90,2180.12
25,144,114.14,22.45,578.28,1004.74,1431.20,917.01,1405.93,1894.84,1040.56,1639.18,2237.79
25,168,114.14,22.45,586.83,1075.89,1564.95,948.74,1453.25,1957.77,1049.60,1804.25,2558.89
50,1,114.14,22.45,208.83,303.16,397.50,265.89,370.30,474.71,274.08,395.65,517.22
50,2,114.14,22.45,311.45,482.51,653.57,393.35,594.14,794.92,408.18,593.83,779.48
50,3,114.14,22.45,375.56,583.89,792.22,474.58,710.21,945.84,480.17,741.88,1003.59
50,4,114.14,22.45,422.91,664.61,906.31,534.05,853.19,1172.32,546.15,848.92,1151.68
50,5,114.14,22.45,457.35,716.07,974.79,575.63,950.70,1325.77,600.32,958.21,1316.10
50,6,114.14,22.45,477.50,797.75,1117.99,603.34,1000.46,1397.58,644.12,1034.24,1424.35
50,9,114.14,22.45,518.41,971.69,1424.96,662.65,1104.18,1545.71,746.29,1161.91,1577.52
50,12,114.14,22.45,519.16,1126.17,1733.17,715.29,1212.04,1708.78,808.07,1311.19,1814.31
50,18,114.14,22.45,475.32,1300.14,2124.95,764.19,1351.99,1939.78,878.92,1442.56,2006.19
50,24,114.14,22.45,468.13,1357.56,2246.99,810.68,1439.95,2069.22,922.67,1578.40,2234.14
50,48,114.14,22.45,505.41,1386.23,2267.06,887.57,1712.87,2538.16,1006.53,1972.83,2939.13
50,72,114.14,22.45,558.32,1300.64,2042.96,912.44,1710.92,2509.40,1041.14,2032.27,3023.40
50,96,114.14,22.45,609.17,1232.05,1854.94,940.72,1680.17,2419.61,1070.27,2028.80,2987.33
50,120,114.14,22.45,600.90,1284.13,1967.37,953.30,1686.99,2420.68,1085.88,2024.61,2963.34
50,144,114.14,22.45,580.80,1326.17,2071.53,974.88,1745.97,2517.07,1118.77,2078.98,3039.19
50,168,114.14,22.45,572.79,1441.09,2309.39,1015.72,1811.77,2607.82,1105.96,2375.03,3644.10
100,1,114.14,22.45,226.68,360.22,493.76,284.80,428.71,572.61,283.60,453.68,623.75
100,2,114.14,22.45,335.38,586.12,836.87,410.27,697.24,984.21,419.31,680.11,940.92
100,3,114.14,22.45,404.90,710.44,1015.98,494.24,828.90,1163.56,484.65,861.09,1237.52
100,4,114.14,22.45,457.06,812.92,1168.78,547.74,1012.01,1476.28,552.91,989.55,1426.18
100,5,114.14,22.45,497.72,881.21,1264.71,585.25,1136.30,1687.34,605.18,1126.09,1646.99
100,6,114.14,22.45,514.54,999.47,1484.40,611.77,1195.28,1778.79,649.73,1218.51,1787.28
100,9,114.14,22.45,543.87,1260.94,1978.00,668.09,1317.50,1966.91,762.10,1360.82,1959.53
100,12,114.14,22.45,507.60,1511.85,2516.10,715.47,1448.91,2182.35,812.64,1547.39,2282.14
100,18,114.14,22.45,377.24,1799.75,3222.27,750.04,1626.13,2502.23,877.11,1701.10,2525.10
100,24,114.14,22.45,335.78,1885.44,3435.10,796.98,1737.68,2678.39,915.09,1886.81,2858.53
100,48,114.14,22.45,376.21,1878.86,3381.51,859.38,2125.22,3391.06,983.61,2487.96,3992.31
100,72,114.14,22.45,484.39,1721.36,2958.33,899.24,2122.84,3346.44,1019.52,2563.30,4107.08
100,96,114.14,22.45,580.49,1588.14,2595.78,944.27,2062.50,3180.73,1069.11,2554.53,4039.95
100,120,114.14,22.45,549.19,1669.68,2790.17,955.38,2061.26,3167.14,1092.09,2538.86,3985.64
100,144,114.14,22.45,502.07,1748.31,2994.55,972.95,2139.19,3305.42,1124.85,2604.35,4083.86
100,168,114.14,22.45,455.40,1929.43,3403.47,1022.91,2228.65,3434.38,1049.20,3095.56,5141.92
