return_period,duration,longitude,latitude,historical_low_mm/hour,historical_mm/hour,historical_upp_mm/hour,ssp245_low_mm/hour,ssp245_mm/hour,ssp245_upp_mm/hour,ssp585_low_mm/hour,ssp585_mm/hour,ssp585_upp_mm/hour
2,1,114.20,22.36,82.23,95.09,107.95,99.73,119.07,138.41,116.87,138.98,161.10
2,2,114.20,22.36,122.16,141.32,160.47,149.50,181.80,214.10,172.21,210.94,249.67
2,3,114.20,22.36,143.88,168.11,192.35,186.57,230.37,274.17,217.76,265.33,312.89
2,4,114.20,22.36,161.57,190.71,219.85,212.26,264.10,315.93,247.89,301.05,354.20
2,5,114.20,22.36,177.47,210.17,242.86,231.86,288.40,344.95,271.02,327.70,384.39
2,6,114.20,22.36,188.81,224.24,259.68,244.20,304.16,364.12,289.91,350.11,410.32
2,9,114.20,22.36,209.12,250.59,292.06,269.86,338.95,408.03,330.38,399.74,469.10
2,12,114.20,22.36,218.79,262.37,305.95,286.08,361.19,436.29,353.27,430.55,507.84
2,18,114.20,22.36,231.97,278.84,325.72,306.90,387.22,467.54,386.35,475.63,564.90
2,24,114.20,22.36,241.97,291.92,341.87,322.04,407.61,493.18,395.19,489.08,582.96
2,48,114.20,22.36,267.53,323.80,380.08,347.38,436.26,525.13,413.51,516.22,618.93
2,72,114.20,22.36,281.18,337.25,393.33,354.27,441.87,529.47,419.98,522.82,625.67
2,96,114.20,22.36,286.98,342.70,398.42,365.94,452.80,539.67,425.93,527.45,628.98
2,120,114.20,22.36,295.06,351.27,407.47,376.90,465.02,553.15,432.97,536.52,640.07
2,144,114.20,22.36,298.58,355.25,411.92,393.73,488.33,582.93,441.54,547.34,653.14
2,168,114.20,22.36,302.84,360.75,418.66,396.30,492.23,588.16,445.07,551.50,657.93
5,1,114.20,22.36,120.87,140.44,160.02,158.26,190.56,222.87,179.35,208.35,237.35
5,2,114.20,22.36,180.49,212.39,244.28,244.08,294.35,344.62,278.55,334.57,390.59
5,3,114.20,22.36,217.85,259.40,300.96,312.57,377.78,442.98,351.81,423.87,495.92
5,4,114.20,22.36,250.09,300.75,351.41,358.86,433.56,508.26,400.37,484.69,569.02
5,5,114.20,22.36,276.74,333.78,390.83,392.43,475.10,557.77,436.69,528.67,620.65
5,6,114.20,22.36,296.87,360.01,423.16,415.90,507.11,598.31,467.69,566.52,665.36
5,9,114.20,22.36,335.98,413.69,491.39,469.01,579.82,690.63,536.03,647.98,759.93
5,12,114.20,22.36,352.23,434.61,517.00,504.57,631.97,759.36,582.33,707.78,833.23
5,18,114.20,22.36,375.01,462.13,549.26,540.98,679.22,817.45,648.03,790.21,932.39
5,24,114.20,22.36,393.35,486.07,578.79,570.37,721.10,871.83,672.03,826.54,981.06
5,48,114.20,22.36,436.27,537.43,638.59,611.71,774.77,937.84,718.29,907.18,1096.08
5,72,114.20,22.36,449.91,548.96,648.02,616.83,782.03,947.23,725.63,917.33,1109.04
5,96,114.20,22.36,455.17,553.10,651.04,628.37,789.28,950.19,729.10,919.28,1109.47
5,120,114.20,22.36,465.69,566.18,666.66,642.58,803.70,964.83,740.66,934.51,1128.36
5,144,114.20,22.36,470.56,572.93,675.30,673.86,844.09,1014.33,754.98,950.56,1146.14
5,168,114.20,22.36,478.70,584.45,690.21,681.80,859.47,1037.13,762.34,961.18,1160.02
10,1,114.20,22.36,143.69,171.75,199.81,194.35,243.83,293.31,212.87,252.76,292.66
10,2,114.20,22.36,216.52,264.83,313.15,299.41,375.39,451.37,334.75,424.29,513.83
10,3,114.20,22.36,264.11,328.43,392.75,384.33,481.41,578.50,426.30,539.89,653.48
10,4,114.20,22.36,305.40,384.95,464.49,440.31,551.50,662.70,487.67,622.03,756.40
10,5,114.20,22.36,338.85,428.73,518.62,482.26,605.93,729.61,534.69,679.40,824.11
10,6,114.20,22.36,365.17,466.00,566.84,513.64,653.08,792.52,574.33,728.50,882.66
10,9,114.20,22.36,418.25,545.81,673.38,584.84,760.60,936.35,660.58,829.17,997.75
10,12,114.20,22.36,438.65,574.88,711.11,634.41,843.54,1052.66,720.40,911.45,1102.50
10,18,114.20,22.36,467.01,610.40,753.79,681.05,907.90,1134.75,804.00,1021.15,1238.30
10,24,114.20,22.36,489.89,643.14,796.38,720.45,970.22,1219.98,838.27,1080.69,1323.11
10,48,114.20,22.36,542.01,706.83,871.65,776.55,1050.39,1324.24,910.29,1225.50,1540.72
10,72,114.20,22.36,555.29,714.29,873.30,782.10,1062.46,1342.83,918.97,1242.31,1565.65
10,96,114.20,22.36,560.30,716.50,872.71,794.65,1063.44,1332.24,921.87,1243.23,1564.60
10,120,114.20,22.36,573.16,734.56,895.95,809.74,1076.49,1343.24,935.51,1263.01,1590.50
10,144,114.20,22.36,579.41,745.18,910.95,846.78,1129.00,1411.22,952.79,1280.05,1607.30
10,168,114.20,22.36,590.33,763.00,935.66,860.30,1160.30,1460.30,964.44,1298.83,1633.22
25,1,114.20,22.36,166.65,212.82,258.99,231.73,318.73,405.73,239.43,307.20,374.97
25,2,114.20,22.36,254.57,337.95,421.33,349.89,485.87,621.84,367.77,547.48,727.18
25,3,114.20,22.36,313.33,426.82,540.31,445.64,619.66,793.69,480.77,700.40,920.04
25,4,114.20,22.36,363.26,506.27,649.28,504.39,707.41,910.42,557.54,815.85,1074.15
25,5,114.20,22.36,403.77,566.04,728.30,554.32,779.95,1005.59,622.26,892.66,1163.06
25,6,114.20,22.36,437.21,621.56,805.90,594.35,851.88,1109.40,674.59,957.25,1239.90
25,9,114.20,22.36,507.16,746.45,985.73,681.98,1016.51,1351.05,784.33,1079.24,1374.15
25,12,114.20,22.36,531.40,788.90,1046.41,745.23,1154.29,1563.35,854.93,1194.23,1533.53
25,18,114.20,22.36,564.29,835.24,1106.19,803.93,1244.54,1685.16,949.92,1341.58,1733.24
25,24,114.20,22.36,589.63,881.35,1173.08,853.79,1341.87,1829.95,992.86,1441.62,1890.38
25,48,114.20,22.36,648.16,959.04,1269.92,933.77,1470.88,2007.98,1097.51,1711.13,2324.75
25,72,114.20,22.36,662.17,957.03,1251.89,942.68,1495.23,2047.77,1106.90,1743.43,2379.96
25,96,114.20,22.36,667.98,955.19,1242.39,961.37,1482.00,2002.62,1111.36,1744.47,2377.57
25,120,114.20,22.36,684.81,982.51,1280.21,976.62,1488.52,2000.42,1125.28,1770.48,2415.68
25,144,114.20,22.36,692.58,1001.17,1309.76,1010.47,1557.07,2103.66,1145.75,1784.36,2422.98
25,168,114.20,22.36,706.30,1030.42,1354.54,1030.55,1621.83,2213.11,1164.60,1819.75,2474.90
50,1,114.20,22.36,178.85,244.43,310.01,251.59,380.36,509.13,248.30,346.41,444.53
50,2,114.20,22.36,275.71,397.61,519.51,370.78,574.08,777.39,362.50,646.53,930.56
50,3,114.20,22.36,340.58,508.84,677.11,467.52,727.78,988.03,488.43,830.42,1172.41
50,4,114.20,22.36,393.96,608.47,822.99,521.92,828.25,1134.57,573.92,975.86,1377.80
50,5,114.20,22.36,438.04,682.09,926.14,575.22,915.64,1256.07,654.26,1069.18,1484.10
50,6,114.20,22.36,475.40,754.92,1034.44,618.86,1010.48,1402.09,717.08,1146.24,1575.40
50,9,114.20,22.36,554.98,924.17,1293.35,710.02,1228.45,1746.89,845.58,1281.34,1717.10
50,12,114.20,22.36,580.26,979.36,1378.47,775.72,1420.93,2066.15,918.38,1424.08,1929.77
50,18,114.20,22.36,614.22,1034.14,1454.06,841.69,1533.99,2226.30,1012.53,1601.84,2191.15
50,24,114.20,22.36,638.03,1092.11,1546.19,895.13,1665.54,2435.96,1055.85,1741.44,2427.02
50,48,114.20,22.36,697.38,1178.27,1659.17,993.84,1845.00,2696.17,1174.03,2143.21,3112.39
50,72,114.20,22.36,713.98,1165.21,1616.45,1006.16,1884.53,2762.90,1181.30,2193.91,3206.52
50,96,114.20,22.36,721.73,1158.89,1596.06,1035.55,1854.65,2673.75,1188.61,2196.50,3204.39
50,120,114.20,22.36,741.80,1195.78,1649.76,1051.28,1851.64,2652.01,1200.55,2227.45,3254.36
50,144,114.20,22.36,749.85,1223.29,1696.73,1073.53,1932.41,2791.30,1224.18,2234.50,3244.82
50,168,114.20,22.36,764.32,1264.21,1764.10,1094.69,2034.68,2974.67,1248.54,2288.23,3327.93
100,1,114.20,22.36,186.64,276.79,366.95,263.21,447.17,631.14,249.02,384.37,519.72
100,2,114.20,22.36,289.48,461.82,634.15,376.00,667.30,958.60,329.99,751.82,1173.65
100,3,114.20,22.36,357.73,598.76,839.79,468.30,840.00,1211.70,465.24,969.49,1473.73
100,4,114.20,22.36,411.13,721.51,1031.90,513.46,952.74,1392.02,555.18,1149.83,1744.47
100,5,114.20,22.36,456.84,810.81,1164.78,567.48,1056.16,1544.83,652.90,1261.51,1870.11
100,6,114.20,22.36,495.98,904.66,1313.34,610.62,1177.94,1745.25,727.02,1351.84,1976.65
100,9,114.20,22.36,580.00,1129.36,1678.73,693.97,1459.48,2224.99,876.51,1497.09,2117.68
100,12,114.20,22.36,603.87,1200.13,1796.38,750.24,1720.51,2690.77,945.56,1670.65,2395.73
100,18,114.20,22.36,636.69,1263.54,1890.39,821.09,1859.78,2898.48,1030.32,1880.89,2731.47
100,24,114.20,22.36,655.21,1335.20,2015.19,871.66,2033.87,3196.08,1065.67,2069.10,3072.54
100,48,114.20,22.36,712.33,1427.34,2142.35,986.19,2278.61,3571.02,1175.42,2643.98,4112.55
100,72,114.20,22.36,734.68,1399.03,2063.37,1000.99,2339.99,3678.99,1175.73,2720.62,4265.50
100,96,114.20,22.36,746.07,1386.73,2027.38,1049.35,2286.79,3524.23,1187.16,2726.48,4265.80
100,120,114.20,22.36,769.02,1435.90,2102.78,1067.36,2269.08,3470.79,1194.88,2762.55,4330.23
100,144,114.20,22.36,775.78,1475.25,2174.72,1068.95,2362.03,3655.12,1224.09,2757.62,4291.14
100,168,114.20,22.36,788.94,1531.12,2273.30,1083.59,2515.37,3947.15,1252.50,2836.21,4419.92
